layer_name,num_weights,spearman_rho,p_value,importance_mean,importance_std,gender_mean,gender_std
features.0.0,864,0.996138620945925,0.0,8.945008460335158e-08,4.509442827326899e-07,3.6844934068248645e-06,2.129721862134728e-05
features.1.conv.0.0,288,0.9965042669987819,2.1852581883195e-310,1.8096592505968524e-05,9.511421309894673e-05,0.0008578635935163356,0.004482506707511638
features.1.conv.1,512,0.994961716137558,0.0,4.324343175082895e-07,1.2252095206258563e-06,1.3870403798643258e-05,4.4885805384603966e-05
features.10.conv.0.0,24576,nan,nan,6.405816115085899e-11,1.8292080320428022e-10,3.024914414730177e-09,9.891642426346682e-09
features.10.conv.1.0,3456,0.9698466715232218,0.0,1.917013106091579e-09,1.4104157918686818e-08,8.997821183085746e-08,9.021764039662102e-07
features.10.conv.2,24576,0.9623008041067199,0.0,2.638974285517249e-10,1.068774434228131e-09,7.675946768704373e-09,3.8419032301006054e-08
features.11.conv.0.0,24576,0.967861553183435,0.0,2.758662635777883e-10,7.956417230185361e-10,1.2282900604787493e-08,3.829119551658817e-08
features.11.conv.1.0,3456,0.9641543818232381,0.0,1.7240590925908225e-08,1.1099203392334895e-07,5.742401200927655e-07,3.4313499414868625e-06
features.11.conv.2,36864,0.9508364245798877,0.0,8.161804705134429e-10,2.8310996056426685e-09,3.107005292511761e-08,1.2129977757689666e-07
features.12.conv.0.0,55296,0.9641061884026912,0.0,7.351490704865458e-11,3.022671662794961e-10,3.6801356390345604e-09,1.8184909634274164e-08
features.12.conv.1.0,5184,0.9551393217550787,0.0,3.52700951599349e-09,2.2388913073477205e-08,1.505377445848585e-07,1.0803000597317121e-06
features.12.conv.2,55296,0.9488259465402916,0.0,2.254907532519826e-10,9.343223473282987e-10,9.416496809268144e-09,5.06371148353345e-08
features.13.conv.0.0,55296,0.9604045786343286,0.0,8.293761848324281e-11,3.258869994918889e-10,3.846791962036575e-09,1.6991170855049874e-08
features.13.conv.1.0,5184,0.940514358554473,0.0,2.385859634473909e-09,1.3378190723513016e-08,1.1725957731022225e-07,6.735524603331247e-07
features.13.conv.2,55296,0.9474421379176371,0.0,2.905039472363e-10,1.2389132533648229e-09,1.3744006103404529e-08,7.431638816016589e-08
features.14.conv.0.0,55296,0.9503040119473072,0.0,2.1515703703177252e-10,1.1555512794085054e-09,1.0371944633656388e-08,6.945453973962785e-08
