layer,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,phi,perf
features.6.conv.1.0,0,0.22893262511892457,0.23220874371599803,0.0032761185970734685,0.0032761185970734685,4.883580206893612e-09,6.977047206646603e-08
features.6.conv.1.0,1,0.22893262511892457,0.2258191593781046,-0.0031134657408199706,0.0031134657408199706,1.1585191472818224e-08,1.8226228348794393e-07
features.6.conv.1.0,2,0.22893262511892457,0.23343153375970502,0.004498908640780452,0.004498908640780452,2.4626865879895377e-08,1.0672447814386032e-07
features.6.conv.1.0,3,0.22893262511892457,0.23142066672386724,0.0024880416049426757,0.0024880416049426757,2.6922311491262008e-08,3.4597369449329562e-06
features.6.conv.1.0,4,0.22893262511892457,0.26053730960265964,0.031604684483735074,0.031604684483735074,3.3985397607239065e-08,5.965976157540354e-08
features.6.conv.1.0,5,0.22893262511892457,0.2304363164083157,0.0015036912893911236,0.0015036912893911236,4.716242330005116e-08,5.892607291002605e-09
features.6.conv.1.0,6,0.22893262511892457,0.22893262511892457,0.0,0.0,0.0,0.0
features.6.conv.1.0,7,0.22893262511892457,0.23025923130172285,0.0013266061827982845,0.0013266061827982845,3.175982499215024e-08,1.2834521889715234e-08
features.6.conv.1.0,8,0.22893262511892457,0.22858681918994123,-0.0003458059289833393,0.0003458059289833393,4.354984817211971e-09,7.000907231713427e-08
features.6.conv.1.0,9,0.22893262511892457,0.22964669755037284,0.000714072431448276,0.000714072431448276,2.883272065545839e-09,1.782438552311305e-08
features.6.conv.1.0,10,0.22893262511892457,0.22969778566413745,0.0007651605452128896,0.0007651605452128896,8.699766240738427e-09,1.6451806583717143e-09
features.6.conv.1.0,11,0.22893262511892457,0.22291293758971759,-0.00601968752920698,0.00601968752920698,2.508209284712848e-08,1.3242591911932777e-08
features.6.conv.1.0,12,0.22893262511892457,0.2303557477598184,0.0014231226408938369,0.0014231226408938369,9.841492243367611e-08,1.9837987963455816e-07
features.6.conv.1.0,13,0.22893262511892457,0.22924089405988107,0.0003082689409565076,0.0003082689409565076,4.659427510489422e-09,1.0277455331220153e-08
features.6.conv.1.0,14,0.22893262511892457,0.23157363597135655,0.0026410108524319853,0.0026410108524319853,9.010951984578242e-09,2.7340263386577135e-08
features.6.conv.1.0,15,0.22893262511892457,0.22933198275357625,0.0003993576346516814,0.0003993576346516814,6.330072910287754e-09,1.5612716453006215e-08
features.6.conv.1.0,16,0.22893262511892457,0.22757377177175792,-0.0013588533471666497,0.0013588533471666497,2.455994518868465e-09,3.8973531957253726e-08
features.6.conv.1.0,17,0.22893262511892457,0.23036633651766963,0.001433711398745069,0.001433711398745069,4.299633094007049e-09,5.512841383392697e-08
features.6.conv.1.0,18,0.22893262511892457,0.22206458317313638,-0.006868041945788189,0.006868041945788189,8.624997605011231e-08,7.6202744114795e-10
features.6.conv.1.0,19,0.22893262511892457,0.22668315987471566,-0.002249465244208909,0.002249465244208909,4.526830910123181e-09,6.673892727349084e-08
features.6.conv.1.0,20,0.22893262511892457,0.23071827516297416,0.001785650044049597,0.001785650044049597,9.755431129576664e-09,5.134743332746439e-07
features.6.conv.1.0,21,0.22893262511892457,0.2313832024299518,0.002450577311027241,0.002450577311027241,2.1271331362981982e-09,5.815872583525561e-08
features.6.conv.1.0,22,0.22893262511892457,0.23085671411437428,0.0019240889954497131,0.0019240889954497131,2.476804539242039e-09,1.2877974242542223e-08
features.6.conv.1.0,23,0.22893262511892457,0.2296285694968248,0.0006959443779002428,0.0006959443779002428,7.3714008230751915e-09,7.528969092618354e-08
features.6.conv.1.0,24,0.22893262511892457,0.2304103399010103,0.0014777147820857484,0.0014777147820857484,7.653843669963578e-10,2.235507245984536e-08
features.6.conv.1.0,25,0.22893262511892457,0.22531859806950014,-0.0036140270494244287,0.0036140270494244287,3.654712088518863e-08,1.3299001011546352e-07
features.6.conv.1.0,26,0.22893262511892457,0.2398441812598922,0.010911556140967643,0.010911556140967643,3.445021334869125e-08,2.0020055058189712e-10
features.6.conv.1.0,27,0.22893262511892457,0.237350917732227,0.00841829261330243,0.00841829261330243,1.2340814592448623e-08,5.7807639564089186e-08
features.6.conv.1.0,28,0.22893262511892457,0.22781599489383625,-0.0011166302250883164,0.0011166302250883164,2.7163583382616707e-08,9.712444182241597e-08
features.6.conv.1.0,29,0.22893262511892457,0.21550910542071414,-0.013423519698210429,0.013423519698210429,8.61631690440845e-08,3.2417861461908615e-07
features.6.conv.1.0,30,0.22893262511892457,0.23827964275635796,0.009347017637433397,0.009347017637433397,8.554972907859337e-08,1.2700690499301004e-09
features.6.conv.1.0,31,0.22893262511892457,0.22783218265239552,-0.0011004424665290446,0.0011004424665290446,3.561492656345422e-09,9.046131310697092e-08
features.6.conv.1.0,32,0.22893262511892457,0.22716436174917348,-0.001768263369751083,0.001768263369751083,7.778877098019166e-09,1.496604937756274e-07
features.6.conv.1.0,33,0.22893262511892457,0.22596949248921877,-0.0029631326297057947,0.0029631326297057947,7.664431223020074e-08,9.404762524312105e-10
features.6.conv.1.0,34,0.22893262511892457,0.234688590096198,0.005755964977273431,0.005755964977273431,1.5805788677880628e-08,5.253835411167529e-07
features.6.conv.1.0,35,0.22893262511892457,0.2254831917171886,-0.003449433401735952,0.003449433401735952,1.1734807792151969e-08,6.95645185899707e-09
features.6.conv.1.0,36,0.22893262511892457,0.23078055464239133,0.001847929523466768,0.001847929523466768,3.4171139251526483e-09,8.988288868749805e-08
features.6.conv.1.0,37,0.22893262511892457,0.23022470402405576,0.0012920789051311943,0.0012920789051311943,6.32658858634727e-09,1.6794567514466507e-08
features.6.conv.1.0,38,0.22893262511892457,0.2399780595072376,0.011045434388313041,0.011045434388313041,5.764261956642258e-08,1.4160583816646977e-09
features.6.conv.1.0,39,0.22893262511892457,0.2296591176423184,0.0007264925233938235,0.0007264925233938235,5.183931950369924e-09,6.53926264249094e-08
features.6.conv.1.0,40,0.22893262511892457,0.22967427803835772,0.00074165291943315,0.00074165291943315,4.206724746325108e-09,9.628845276665743e-09
features.6.conv.1.0,41,0.22893262511892457,0.22977069943926892,0.0008380743203443564,0.0008380743203443564,3.5835627798519454e-09,8.716282451359803e-08
features.6.conv.1.0,42,0.22893262511892457,0.23327142198264236,0.004338796863717798,0.004338796863717798,1.9525682404264444e-08,3.086778974648041e-07
features.6.conv.1.0,43,0.22893262511892457,0.22637074488099612,-0.0025618802379284433,0.0025618802379284433,1.8606719498492907e-09,4.0824136249284493e-07
features.6.conv.1.0,44,0.22893262511892457,0.22883784014456338,-9.478497436118949e-05,9.478497436118949e-05,2.428494205730658e-08,4.9311510430527505e-09
features.6.conv.1.0,45,0.22893262511892457,0.22577148338533454,-0.0031611417335900283,0.0031611417335900283,5.7213213722207e-08,2.435601442751789e-10
features.6.conv.1.0,46,0.22893262511892457,0.22725573725684553,-0.001676887862079035,0.001676887862079035,8.763427317148853e-09,1.3976155344153085e-07
features.6.conv.1.0,47,0.22893262511892457,0.23144519244108663,0.002512567322162068,0.002512567322162068,2.90974777605868e-09,5.084564236312872e-08
features.6.conv.1.0,48,0.22893262511892457,0.24350027056696222,0.014567645448037653,0.014567645448037653,1.3155221800786876e-08,1.7133650942469103e-08
features.6.conv.1.0,49,0.22893262511892457,0.23619578674016897,0.007263161621244407,0.007263161621244407,1.286829753865959e-08,2.742629234830929e-08
features.6.conv.1.0,50,0.22893262511892457,0.22794127851335866,-0.000991346605565907,0.000991346605565907,1.1482857331657215e-08,7.665153844982342e-08
features.6.conv.1.0,51,0.22893262511892457,0.22901776673276278,8.514161383821328e-05,8.514161383821328e-05,2.3772108725950147e-09,9.907127340724742e-10
features.6.conv.1.0,52,0.22893262511892457,0.23012221598416022,0.0011895908652356513,0.0011895908652356513,1.0485381096714264e-07,1.516273506751986e-08
features.6.conv.1.0,53,0.22893262511892457,0.22829210666434457,-0.0006405184545799913,0.0006405184545799913,1.4773386070032757e-08,1.605825161732355e-08
features.6.conv.1.0,54,0.22893262511892457,0.23591455314264503,0.006981928023720468,0.006981928023720468,8.449917210384683e-09,3.8803125335107325e-07
features.6.conv.1.0,55,0.22893262511892457,0.22506627353661418,-0.0038663515823103844,0.0038663515823103844,2.9368882437097454e-08,3.5260669051240257e-08
features.6.conv.1.0,56,0.22893262511892457,0.24477536338483072,0.015842738265906153,0.015842738265906153,2.6029896460499913e-08,9.206932105598753e-09
features.6.conv.1.0,57,0.22893262511892457,0.22671370536590368,-0.0022189197530208815,0.0022189197530208815,4.175959578134325e-09,1.200350538965722e-07
features.6.conv.1.0,58,0.22893262511892457,0.22747384236196122,-0.001458782756963345,0.001458782756963345,2.3105178215132582e-08,1.1297299096213465e-08
features.6.conv.1.0,59,0.22893262511892457,0.22675133691466853,-0.002181288204256032,0.002181288204256032,1.0204668221547308e-08,2.467149151641479e-08
features.6.conv.1.0,60,0.22893262511892457,0.23032595672088352,0.0013933316019589526,0.0013933316019589526,2.893921768887253e-09,5.559259363963065e-08
features.6.conv.1.0,61,0.22893262511892457,0.261099452677443,0.032166827558518435,0.032166827558518435,4.2996646243409486e-08,1.7737723112531967e-07
features.6.conv.1.0,62,0.22893262511892457,0.2244045196734909,-0.004528105445433667,0.004528105445433667,5.447699891192315e-08,5.093792410093556e-08
features.6.conv.1.0,63,0.22893262511892457,0.2297741373893593,0.0008415122704347466,0.0008415122704347466,2.3744687993598745e-08,2.720995695426609e-08
features.6.conv.1.0,64,0.22893262511892457,0.22767621246918024,-0.0012564126497443262,0.0012564126497443262,5.893206278528851e-08,6.151326115144684e-10
features.6.conv.1.0,65,0.22893262511892457,0.2286528873529032,-0.0002797377660213596,0.0002797377660213596,1.6816525061358334e-08,2.2109198027919774e-08
features.6.conv.1.0,66,0.22893262511892457,0.22871319672677778,-0.000219428392146781,0.000219428392146781,4.393352792675387e-09,9.354039320896845e-09
features.6.conv.1.0,67,0.22893262511892457,0.22204173462715426,-0.006890890491770302,0.006890890491770302,7.519768985275732e-08,3.6552501025965967e-09
features.6.conv.1.0,68,0.22893262511892457,0.2354752697800335,0.006542644661108932,0.006542644661108932,4.840303446940197e-08,5.397960411990255e-10
features.6.conv.1.0,69,0.22893262511892457,0.22486383422029554,-0.004068790898629021,0.004068790898629021,2.4809940768477645e-09,6.345246106320701e-08
features.6.conv.1.0,70,0.22893262511892457,0.23205255725505836,0.0031199321361337906,0.0031199321361337906,8.786857463860542e-09,1.8021719228045185e-08
features.6.conv.1.0,71,0.22893262511892457,0.2303992055021603,0.0014665803832357438,0.0014665803832357438,6.90438328732057e-09,4.3095013779748115e-08
features.6.conv.1.0,72,0.22893262511892457,0.22905106179912485,0.00011843668020028453,0.00011843668020028453,1.3354198635795456e-08,1.9258648009667922e-08
features.6.conv.1.0,73,0.22893262511892457,0.23292492286657804,0.003992297747653473,0.003992297747653473,5.899445820745086e-09,6.219705994681135e-08
features.6.conv.1.0,74,0.22893262511892457,0.23132784920074312,0.0023952240818185533,0.0023952240818185533,9.169891512783579e-09,3.090780253955927e-08
features.6.conv.1.0,75,0.22893262511892457,0.23004465654957634,0.0011120314306517776,0.0011120314306517776,1.6725437035347568e-08,1.125269548651886e-07
features.6.conv.1.0,76,0.22893262511892457,0.22477712790011517,-0.004155497218809395,0.004155497218809395,1.709344132905244e-08,2.5512829893159505e-07
features.6.conv.1.0,77,0.22893262511892457,0.22938563215174548,0.0004530070328209179,0.0004530070328209179,2.448441982494387e-08,1.1908268815474798e-10
features.6.conv.1.0,78,0.22893262511892457,0.2290513214568532,0.00011869633792863099,0.00011869633792863099,1.373424751704988e-08,8.045272181789187e-08
features.6.conv.1.0,79,0.22893262511892457,0.23199236744031115,0.003059742321386588,0.003059742321386588,9.966528935478891e-09,1.0207020295638358e-07
features.6.conv.1.0,80,0.22893262511892457,0.2307236105244957,0.0017909854055711272,0.0017909854055711272,2.499664031319071e-09,7.895011577829791e-08
features.6.conv.1.0,81,0.22893262511892457,0.23369146150776532,0.004758836388840754,0.004758836388840754,3.05806135969533e-09,4.735751701900881e-08
features.6.conv.1.0,82,0.22893262511892457,0.22588389763726072,-0.0030487274816638488,0.0030487274816638488,2.2036872326935963e-09,7.098397247773391e-08
features.6.conv.1.0,83,0.22893262511892457,0.23440214548945548,0.005469520370530917,0.005469520370530917,2.491879813604214e-09,1.9160543374141525e-08
features.6.conv.1.0,84,0.22893262511892457,0.22898665373394947,5.402861502490364e-05,5.402861502490364e-05,1.3677960097879804e-08,1.6868227703525918e-08
features.6.conv.1.0,85,0.22893262511892457,0.22622996455112518,-0.0027026605677993865,0.0027026605677993865,4.724428848135176e-08,1.5860507351916908e-09
features.6.conv.1.0,86,0.22893262511892457,0.22812734576180663,-0.0008052793571179384,0.0008052793571179384,8.202456491801513e-09,3.938282144844152e-09
features.6.conv.1.0,87,0.22893262511892457,0.22701889370699901,-0.001913731411925551,0.001913731411925551,3.939268022890019e-09,4.5338069298850314e-08
features.6.conv.1.0,88,0.22893262511892457,0.22525100822695082,-0.0036816168919737435,0.0036816168919737435,1.2921393732767683e-08,4.663738550902963e-08
features.6.conv.1.0,89,0.22893262511892457,0.22121797333228205,-0.007714651786642518,0.007714651786642518,6.08090511278192e-09,7.202039142839567e-08
