layer,channel,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,perf,phi
features.1.conv.1,0,0.827492596248766,0.7766535044422508,-0.050839091806515246,0.050839091806515246,2.1083210413053166e-06,9.177610849064877e-08
features.1.conv.1,1,0.827492596248766,0.8234452122408688,-0.004047384007897281,0.004047384007897281,6.311883566922916e-07,3.8280109748711766e-08
features.1.conv.1,2,0.827492596248766,0.7945212240868706,-0.032971372161895385,0.032971372161895385,2.632878704389441e-06,4.462062364041231e-08
features.1.conv.1,3,0.827492596248766,0.7862290227048371,-0.041263573543928955,0.041263573543928955,2.6354932742833626e-06,1.769597872680606e-07
features.1.conv.1,4,0.827492596248766,0.8265547877591313,-0.0009378084896347616,0.0009378084896347616,1.2020501571896602e-06,2.6799824581758006e-08
features.1.conv.1,5,0.827492596248766,0.8215695952615992,-0.005923000987166804,0.005923000987166804,3.507168912619818e-06,8.618192737230856e-08
features.1.conv.1,6,0.827492596248766,0.811599210266535,-0.015893385982231,0.015893385982231,1.1745430583687266e-06,9.632163511241745e-08
features.1.conv.1,7,0.827492596248766,0.8164856860809476,-0.011006910167818407,0.011006910167818407,2.2245687887334498e-06,7.404000967881076e-08
features.1.conv.1,8,0.827492596248766,0.8243830207305034,-0.0031095755182626306,0.0031095755182626306,8.49906655275845e-07,2.8327743706313413e-08
features.1.conv.1,9,0.827492596248766,0.8101184600197433,-0.01737413622902273,0.01737413622902273,3.856781859212788e-06,7.990488626319349e-08
features.1.conv.1,10,0.827492596248766,0.8150542941757157,-0.0124383020730503,0.0124383020730503,2.348578163946513e-06,1.5184775747911774e-07
features.1.conv.1,11,0.827492596248766,0.8228035538005923,-0.004689042448173697,0.004689042448173697,2.55969735007966e-06,8.035960519237052e-08
features.1.conv.1,12,0.827492596248766,0.8091312931885488,-0.018361303060217216,0.018361303060217216,1.2124830846005352e-06,5.0849639166017375e-08
features.1.conv.1,13,0.827492596248766,0.8226554787759132,-0.00483711747285287,0.00483711747285287,4.013330453744857e-06,1.1606518768303432e-07
features.1.conv.1,14,0.827492596248766,0.8073543928923989,-0.02013820335636718,0.02013820335636718,2.254134187751333e-06,7.092694431776182e-08
features.1.conv.1,15,0.827492596248766,0.7734945705824284,-0.0539980256663376,0.0539980256663376,2.0337779460533056e-06,6.342603597886409e-08
