layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.2.conv.1.0,features.2,0,0.22893262511892457,0.22681123991543894,-0.0021213852034856207,0.0021213852034856207,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,1.775262319370086e-07,2.5473454456914624e-09
features.2.conv.1.0,features.2,1,0.22893262511892457,0.2339734005536565,0.005040775434731942,0.005040775434731942,0.827492596248766,0.8263079960513326,-0.001184600197433383,0.001184600197433383,9.568796599523921e-08,2.844045221550573e-09
features.2.conv.1.0,features.2,2,0.22893262511892457,0.22864392840482728,-0.00028869671409728626,0.00028869671409728626,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,5.625414800647377e-09,1.390624447594746e-06
features.2.conv.1.0,features.2,3,0.22893262511892457,0.2734478503148545,0.04451522519592996,0.04451522519592996,0.827492596248766,0.7975814412635736,-0.02991115498519248,0.02991115498519248,4.2258096755176666e-07,7.104338237695629e-07
features.2.conv.1.0,features.2,4,0.22893262511892457,0.23542972021516256,0.006497095096237998,0.006497095096237998,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,6.7876739784367154e-09,9.818019179874682e-07
features.2.conv.1.0,features.2,5,0.22893262511892457,0.2379630250674456,0.009030399948521034,0.009030399948521034,0.827492596248766,0.826061204343534,-0.0014313919052320045,0.0014313919052320045,9.504048215092098e-09,2.523337343518506e-07
features.2.conv.1.0,features.2,6,0.22893262511892457,0.23803582144130886,0.009103196322384294,0.009103196322384294,0.827492596248766,0.8256663376110562,-0.001826258637709799,0.001826258637709799,8.096514392263998e-08,3.4231931067552075e-08
features.2.conv.1.0,features.2,7,0.22893262511892457,0.22816390706449396,-0.0007687180544306005,0.0007687180544306005,0.827492596248766,0.8269002961500493,-0.0005923000987166915,0.0005923000987166915,3.9046144095777885e-10,4.774628692416627e-09
features.2.conv.1.0,features.2,8,0.22893262511892457,0.2264724781822439,-0.002460146936680674,0.002460146936680674,0.827492596248766,0.8239881539980257,-0.003504442250740314,0.003504442250740314,1.519780568060014e-07,3.071015441946656e-08
features.2.conv.1.0,features.2,9,0.22893262511892457,0.22755583068182672,-0.0013767944370978447,0.0013767944370978447,0.827492596248766,0.8273445212240869,-0.00014807502467917288,0.00014807502467917288,8.910976401210745e-10,1.0506972358825807e-07
features.2.conv.1.0,features.2,10,0.22893262511892457,0.2270984184349608,-0.0018342066839637516,0.0018342066839637516,0.827492596248766,0.8283810463968411,0.0008884501480750373,0.0008884501480750373,4.2573315539584655e-08,8.212139412933084e-09
features.2.conv.1.0,features.2,11,0.22893262511892457,0.23765769828916206,0.00872507317023749,0.00872507317023749,0.827492596248766,0.8262092793682132,-0.0012833168805528317,0.0012833168805528317,6.0569902871066e-08,1.0957794671639933e-08
features.2.conv.1.0,features.2,12,0.22893262511892457,0.23134005649997613,0.002407431381051567,0.002407431381051567,0.827492596248766,0.827492596248766,0.0,0.0,3.6798484259747966e-09,3.165326234011445e-06
features.2.conv.1.0,features.2,13,0.22893262511892457,0.22881518731784306,-0.0001174378010815047,0.0001174378010815047,0.827492596248766,0.8279861796643633,0.000493583415597243,0.000493583415597243,1.7523852591239123e-08,3.122582938885899e-07
features.2.conv.1.0,features.2,14,0.22893262511892457,0.2293310373562481,0.0003984122373235366,0.0003984122373235366,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,5.358256505161307e-09,3.625301587817376e-07
features.2.conv.1.0,features.2,15,0.22893262511892457,0.23160092831821188,0.0026683031992873196,0.0026683031992873196,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,1.601462571443335e-07,5.6833817652091065e-09
features.2.conv.1.0,features.2,16,0.22893262511892457,0.22787073773186212,-0.001061887387062449,0.001061887387062449,0.827492596248766,0.8280848963474827,0.0005923000987166915,0.0005923000987166915,2.2907547858608268e-08,9.013126245349667e-09
features.2.conv.1.0,features.2,17,0.22893262511892457,0.22991958837707202,0.0009869632581474552,0.0009869632581474552,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,9.697956926402185e-08,5.5280477084806996e-08
features.2.conv.1.0,features.2,18,0.22893262511892457,0.23871392671850813,0.00978130159958357,0.00978130159958357,0.827492596248766,0.8279368213228036,0.00044422507403751865,0.00044422507403751865,4.063504377427307e-08,1.2093735790585924e-08
