layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.16.conv.1.0,features.16,0,0.2289326251189245,0.2295013661217874,0.0005687410028628,0.0005687410028628,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,4.0763136865962224e-08,6.124183382638646e-10,6.124183382638646e-10,7.334919026324993e-10
features.16.conv.1.0,features.16,1,0.2289326251189245,0.2290027192790759,7.009416015135717e-05,7.009416015135717e-05,0.827492596248766,0.8273938795656466,-9.87166831194486e-05,9.87166831194486e-05,2.993993319932997e-08,2.2698672108578677e-10,2.2698672108578677e-10,2.434978334416027e-10
features.16.conv.1.0,features.16,2,0.2289326251189245,0.2281617513224872,-0.0007708737964373,0.0007708737964373,0.827492596248766,0.827147087857848,-0.000345508390918,0.000345508390918,3.110132240635721e-08,6.540215036210384e-09,6.540215036210384e-09,6.761994450488196e-09
features.16.conv.1.0,features.16,3,0.2289326251189245,0.2280825826176019,-0.0008500425013226,0.0008500425013226,0.827492596248766,0.8277887462981244,0.0002961500493583,0.0002961500493583,7.366297438693439e-08,9.191353234072608e-11,9.191353234072608e-11,1.7551007262112117e-10
features.16.conv.1.0,features.16,4,0.2289326251189245,0.2250710829659042,-0.0038615421530203,0.0038615421530203,0.827492596248766,0.8276900296150049,0.0001974333662388,0.0001974333662388,2.051102541145156e-07,8.827613307005322e-09,8.827613307005322e-09,1.0484735857296812e-08
features.16.conv.1.0,features.16,5,0.2289326251189245,0.2304933984669532,0.0015607733480287,0.0015607733480287,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,6.855704270947173e-08,1.4634237155419783e-09,1.4634237155419783e-09,1.59237729252526e-09
features.16.conv.1.0,features.16,6,0.2289326251189245,0.2288771991956043,-5.5425923320195913e-05,5.5425923320195913e-05,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,8.85146000939585e-09,9.713551490930783e-11,9.713551490930783e-11,1.0057986800197927e-10
features.16.conv.1.0,features.16,7,0.2289326251189245,0.2292035961901088,0.0002709710711842,0.0002709710711842,0.827492596248766,0.8272458045409674,-0.0002467917077986,0.0002467917077986,1.2556903072891148e-07,4.181420543147851e-09,4.181420543147851e-09,4.698667913083376e-09
features.16.conv.1.0,features.16,8,0.2289326251189245,0.2286044266008797,-0.0003281985180448,0.0003281985180448,0.827492596248766,0.8272951628825271,-0.0001974333662388,0.0001974333662388,2.1825664475727533e-07,2.950297339765484e-09,2.950297339765484e-09,3.1216655163590623e-09
features.16.conv.1.0,features.16,9,0.2289326251189245,0.2441221433139503,0.0151895181950258,0.0151895181950258,0.827492596248766,0.8266535044422507,-0.0008390918065153,0.0008390918065153,1.205659856395869e-07,1.5418983423387544e-08,1.5418983423387544e-08,1.6908998458353697e-08
features.16.conv.1.0,features.16,10,0.2289326251189245,0.2088772761225936,-0.0200553489963309,0.0200553489963309,0.827492596248766,0.8264067127344521,-0.0010858835143139,0.0010858835143139,3.211872297015361e-07,6.030512089694184e-09,6.030512089694184e-09,1.0799112964976487e-08
