layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.13.conv.1.0,features.13,0,0.22893262511892457,0.22990522666298502,0.000972601544060453,0.000972601544060453,0.827492596248766,0.827492596248766,0.0,0.0,4.778147655315479e-08,2.023191378319744e-09
features.13.conv.1.0,features.13,1,0.22893262511892457,0.24279251119703688,0.01385988607811231,0.01385988607811231,0.827492596248766,0.8260118460019743,-0.0014807502467917288,0.0014807502467917288,1.280213002274877e-08,9.341113155203473e-08
features.13.conv.1.0,features.13,2,0.22893262511892457,0.22879321494110053,-0.00013941017782403975,0.00013941017782403975,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,2.4418508104417924e-08,1.7111167649463965e-08
features.13.conv.1.0,features.13,3,0.22893262511892457,0.22663325362222825,-0.0022993714966963175,0.0022993714966963175,0.827492596248766,0.827492596248766,0.0,0.0,7.949795133299631e-08,1.4062957187643832e-09
features.13.conv.1.0,features.13,4,0.22893262511892457,0.23051806693707927,0.0015854418181547036,0.0015854418181547036,0.827492596248766,0.8269002961500493,-0.0005923000987166915,0.0005923000987166915,9.487825280984907e-08,2.9849411498084066e-08
features.13.conv.1.0,features.13,5,0.22893262511892457,0.22930508800519117,0.00037246288626660573,0.00037246288626660573,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,9.127715117074331e-08,8.261215184157678e-10
features.13.conv.1.0,features.13,6,0.22893262511892457,0.23545977703215432,0.006527151913229751,0.006527151913229751,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,1.1030053315153054e-08,5.773542374742924e-08
features.13.conv.1.0,features.13,7,0.22893262511892457,0.23034276148740035,0.001410136368475784,0.001410136368475784,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,9.573243886507043e-08,9.722050942073679e-10
features.13.conv.1.0,features.13,8,0.22893262511892457,0.2291043306532856,0.00017170553436102187,0.00017170553436102187,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,4.5371955081918713e-08,2.657228923008681e-09
features.13.conv.1.0,features.13,9,0.22893262511892457,0.22782057314879914,-0.0011120519701254272,0.0011120519701254272,0.827492596248766,0.8284304047384008,0.0009378084896347616,0.0009378084896347616,1.6624687182442699e-09,5.080314252614571e-09
