layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.11.conv.1.0,features.11,0,0.17054892370443422,0.16884950804876714,-0.0016994156556670859,0.0016994156556670859,6.333915081313536e-08,8.38376804646046e-08
features.11.conv.1.0,features.11,1,0.17054892370443422,0.17387460769220445,0.0033256839877702227,0.0033256839877702227,6.711242406254314e-08,8.717708599448316e-08
features.11.conv.1.0,features.11,2,0.17054892370443422,0.16955069238228454,-0.0009982313221496841,0.0009982313221496841,5.550298709522394e-08,7.737835261423243e-09
features.11.conv.1.0,features.11,3,0.17054892370443422,0.1686858313412454,-0.001863092363188823,0.001863092363188823,1.690066540049884e-07,2.3800004522733783e-08
features.11.conv.1.0,features.11,4,0.17054892370443422,0.17070204561995372,0.0001531219155194996,0.0001531219155194996,5.272849890047838e-08,2.5776381584741163e-08
features.11.conv.1.0,features.11,5,0.17054892370443422,0.1703472491654562,-0.0002016745389780139,0.0002016745389780139,9.271222012330328e-08,2.311965063839238e-09
features.11.conv.1.0,features.11,6,0.17054892370443422,0.16933058845040355,-0.0012183352540306724,0.0012183352540306724,9.548533341785514e-08,9.856054961066009e-08
features.11.conv.1.0,features.11,7,0.17054892370443422,0.17118639814496683,0.0006374744405326094,0.0006374744405326094,2.053339898111517e-07,9.142366552694625e-08
features.11.conv.1.0,features.11,8,0.17054892370443422,0.17747136371021824,0.006922440005784014,0.006922440005784014,1.107219489426825e-07,8.639277215838349e-08
features.11.conv.1.0,features.11,9,0.17054892370443422,0.17408433181745187,0.0035354081130176407,0.0035354081130176407,6.77405722626645e-08,2.093606534803172e-07
features.11.conv.1.0,features.11,10,0.17054892370443422,0.17060124147612726,5.231777169303897e-05,5.231777169303897e-05,1.410370344956391e-07,1.9158508690608758e-07
features.11.conv.1.0,features.11,11,0.17054892370443422,0.1702575166027604,-0.00029140710167382955,0.00029140710167382955,1.083467395801563e-07,4.269108788701459e-09
features.11.conv.1.0,features.11,12,0.17054892370443422,0.1704951660083937,-5.375769604051839e-05,5.375769604051839e-05,8.557716313362108e-08,1.8230412734965282e-09
features.11.conv.1.0,features.11,13,0.17054892370443422,0.1704544224082183,-9.45012962159375e-05,9.45012962159375e-05,3.607918586112646e-08,1.14774746651225e-09
features.11.conv.1.0,features.11,14,0.17054892370443422,0.16963478556507264,-0.0009141381393615866,0.0009141381393615866,9.792196209446048e-08,4.2835737734669985e-09
features.11.conv.1.0,features.11,15,0.17054892370443422,0.1690046002287727,-0.0015443234756615243,0.0015443234756615243,2.303993440477825e-08,7.491488140942694e-08
features.11.conv.1.0,features.11,16,0.17054892370443422,0.17062609355300673,7.716984857250586e-05,7.716984857250586e-05,8.914405924542734e-08,1.9719291199926662e-08
features.11.conv.1.0,features.11,17,0.17054892370443422,0.168482046438474,-0.002066877265960221,0.002066877265960221,1.877305635389348e-07,1.8030719561856761e-07
features.11.conv.1.0,features.11,18,0.17054892370443422,0.17033415935319807,-0.00021476435123615745,0.00021476435123615745,5.324637797343713e-08,5.322725477041602e-08
features.11.conv.1.0,features.11,19,0.17054892370443422,0.17398114026568448,0.0034322165612502564,0.0034322165612502564,3.592025521470532e-08,6.215769121631354e-09
features.11.conv.1.0,features.11,20,0.17054892370443422,0.1695425518303376,-0.0010063718740966343,0.0010063718740966343,5.3224351148628564e-08,1.903891178045569e-08
features.11.conv.1.0,features.11,21,0.17054892370443422,0.16899436548477054,-0.0015545582196636876,0.0015545582196636876,3.9312720190309847e-08,6.187824563852473e-08
features.11.conv.1.0,features.11,22,0.17054892370443422,0.17087472836330436,0.000325804658870138,0.000325804658870138,2.963264300603896e-08,1.5987911383685827e-08
features.11.conv.1.0,features.11,23,0.17054892370443422,0.16989918939303866,-0.0006497343113955611,0.0006497343113955611,2.0808279543871322e-07,2.5718636109672843e-09
features.11.conv.1.0,features.11,24,0.17054892370443422,0.17045170251434646,-9.722119008775953e-05,9.722119008775953e-05,1.1756627316117375e-07,5.375460632173201e-08
features.11.conv.1.0,features.11,25,0.17054892370443422,0.17070099710214764,0.00015207339771342032,0.00015207339771342032,1.8373498278378975e-07,2.6206436465336935e-07
features.11.conv.1.0,features.11,26,0.17054892370443422,0.16880355470886654,-0.001745368995567681,0.001745368995567681,1.5385811735768584e-08,3.692443240055354e-08
features.11.conv.1.0,features.11,27,0.17054892370443422,0.16973265858003514,-0.0008162651243990848,0.0008162651243990848,5.147863646470797e-08,8.278650986959235e-09
features.11.conv.1.0,features.11,28,0.17054892370443422,0.17074920035491298,0.00020027665047875343,0.00020027665047875343,1.1925482112928876e-07,1.159043763743206e-09
features.11.conv.1.0,features.11,29,0.17054892370443422,0.16990837804640027,-0.000640545658033953,0.000640545658033953,2.9132284140587217e-08,3.243990609469449e-08
features.11.conv.1.0,features.11,30,0.17054892370443422,0.170467968272169,-8.095543226521729e-05,8.095543226521729e-05,4.3706513963570615e-08,6.395941831716101e-09
features.11.conv.1.0,features.11,31,0.17054892370443422,0.17091429017026902,0.00036536646583479326,0.00036536646583479326,3.73702029321521e-08,1.882319882184902e-07
features.11.conv.1.0,features.11,32,0.17054892370443422,0.17024884595656395,-0.0003000777478702754,0.0003000777478702754,5.3596618698747995e-08,1.0583711296252574e-08
features.11.conv.1.0,features.11,33,0.17054892370443422,0.16516890529711406,-0.005380018407320164,0.005380018407320164,2.0024218727598964e-08,4.5065412368483493e-07
features.11.conv.1.0,features.11,34,0.17054892370443422,0.1702964143531352,-0.0002525093512990295,0.0002525093512990295,5.166706529280418e-08,1.5487274906966775e-08
features.11.conv.1.0,features.11,35,0.17054892370443422,0.1704650187478578,-8.390495657642494e-05,8.390495657642494e-05,1.2082246314548686e-07,2.286718053801096e-08
features.11.conv.1.0,features.11,36,0.17054892370443422,0.17023610913696754,-0.00031281456746667935,0.00031281456746667935,8.73535057621666e-08,2.0449562820878956e-08
features.11.conv.1.0,features.11,37,0.17054892370443422,0.17249468203862803,0.0019457583341938034,0.0019457583341938034,4.973819400788671e-08,8.17498588268073e-08
features.11.conv.1.0,features.11,38,0.17054892370443422,0.16967134749056148,-0.0008775762138727439,0.0008775762138727439,6.649599981756182e-08,3.1723529914096105e-08
features.11.conv.1.0,features.11,39,0.17054892370443422,0.17020334671461318,-0.0003455769898210448,0.0003455769898210448,6.448266987035822e-08,1.3373177676356818e-08
features.11.conv.1.0,features.11,40,0.17054892370443422,0.17037019949345034,-0.00017872421098388824,0.00017872421098388824,2.3154395734081845e-08,1.967583047879362e-09
features.11.conv.1.0,features.11,41,0.17054892370443422,0.17033516160971546,-0.00021376209471876684,0.00021376209471876684,3.3239583530075834e-08,2.4100546475169796e-08
features.11.conv.1.0,features.11,42,0.17054892370443422,0.17461430652686127,0.004065382822427049,0.004065382822427049,1.540131044919235e-08,4.222447457236101e-07
features.11.conv.1.0,features.11,43,0.17054892370443422,0.16996728259679988,-0.0005816411076343397,0.0005816411076343397,8.36544913340731e-08,1.7317480283107756e-08
features.11.conv.1.0,features.11,44,0.17054892370443422,0.17212447843193085,0.0015755547274966253,0.0015755547274966253,1.328728558291914e-07,5.13024356108005e-07
features.11.conv.1.0,features.11,45,0.17054892370443422,0.17359190649697723,0.003042982792543003,0.003042982792543003,1.1715876269136061e-07,3.645813578811996e-08
features.11.conv.1.0,features.11,46,0.17054892370443422,0.17511530646522083,0.004566382760786608,0.004566382760786608,5.173082939791129e-08,4.6885558879772304e-08
features.11.conv.1.0,features.11,47,0.17054892370443422,0.16932844396502475,-0.0012204797394094746,0.0012204797394094746,1.4234271361601716e-07,2.0128707978184224e-08
features.11.conv.1.0,features.11,48,0.17054892370443422,0.17097138250540328,0.0004224588009690555,0.0004224588009690555,5.7025122401910266e-08,1.864963961040189e-09
features.11.conv.1.0,features.11,49,0.17054892370443422,0.1705123256203389,-3.6598084095312844e-05,3.6598084095312844e-05,5.7000036690624256e-08,1.6811795844340336e-09
features.11.conv.1.0,features.11,50,0.17054892370443422,0.170287856352805,-0.00026106735162922945,0.00026106735162922945,7.197462537078536e-08,2.987970384449312e-07
features.11.conv.1.0,features.11,51,0.17054892370443422,0.17249013483481934,0.0019412111303851176,0.0019412111303851176,1.2684699868259486e-07,9.254485422438564e-08
