layer_name,num_channels,score_name,activation_metric,num_points,pearson,pearson_p,spearman,spearman_p
classifier.1,78,importance_score,phi,78,0.1415288903370494,0.21645809789036308,0.15836024885696895,0.1661213419312737
classifier.1,78,importance_score,gap_y0,78,-0.31622841854022177,0.004794436601451215,-0.3232337282970194,0.003894903585288039
classifier.1,78,importance_score,gap_y1,78,-0.2359087417306878,0.037590047278924676,-0.1913403052643559,0.09332129157985487
classifier.1,78,importance_score,activation_gap,78,-0.2735442940535322,0.0153808080506857,-0.22791132917715196,0.044764977665380484
classifier.1,78,importance_score,mean_gradient,78,0.1480697980386394,0.195752311995961,0.1586373446554938,0.1653719474701124
features.0.0,32,importance_score,phi,32,0.004532198345272123,0.9803596367211389,0.6370370370370371,8.837262479284759e-05
features.0.0,32,importance_score,gap_y0,32,-0.029803946286323883,0.8713652696628973,0.3669908812768669,0.0388157923571859
features.0.0,32,importance_score,gap_y1,32,-0.032559567532348864,0.8595842354512112,0.2969825806316815,0.09881452013018993
features.0.0,32,importance_score,activation_gap,32,-0.031419561895323085,0.8644546219095806,0.32793361881165817,0.06690538462292182
features.0.0,32,importance_score,mean_gradient,32,0.2965098874552306,0.09937815859710936,0.6418518518518518,7.509367315245348e-05
features.1.conv.0.0,32,importance_score,phi,32,-0.057544387305610734,0.7544110305803602,0.5281481481481481,0.001890094121837472
features.1.conv.0.0,32,importance_score,gap_y0,32,-0.09265340226614102,0.614007628324833,0.4104775992289021,0.019620293785008174
features.1.conv.0.0,32,importance_score,gap_y1,32,-0.09044303935521059,0.6225223637334019,0.4742804965034755,0.006098741676647175
features.1.conv.0.0,32,importance_score,activation_gap,32,-0.09146845716209126,0.6185662122747654,0.4403506320568816,0.011660224395154836
features.1.conv.0.0,32,importance_score,mean_gradient,32,0.21027223523887917,0.24803884852280417,0.7328113114715441,1.8504042790300115e-06
features.1.conv.1,16,importance_score,phi,16,0.7062091582913184,0.0022306541976515196,0.8323529411764706,6.328124573232542e-05
