channel_index,baseline_eo,pruned_eo,delta_eo_abs,phi,gap_y0,gap_y1,activation_gap,mean_gradient,importance_channel
0,0.22731779732677534,0.228415020421995,0.001097223095219646,4.664900859825341e-08,0.0006998130928773522,0.0024596851668462344,0.0031594982597235866,1.4764688809271434e-05,7.834109538862322e-08
1,0.22731779732677534,0.22834658322786738,0.0010287859010920386,1.149259924875891e-06,0.035727566586077654,0.027028987006095365,0.06275655359217303,1.8312986598091744e-05,1.6469803654217685e-07
2,0.22731779732677534,0.2298911259337792,0.0025733286070038497,9.785318542111028e-08,0.0016204823101818294,0.0022551778512114873,0.0038756601613933166,2.5248133568535494e-05,4.7130274793971694e-08
3,0.22731779732677534,0.2267708092911677,0.000546988035607654,1.0806501265646288e-06,0.03237181647035636,0.05517095996142985,0.0875427764317862,1.2344252382795709e-05,7.884476360686676e-08
4,0.22731779732677534,0.22581837511529756,0.00149942221147778,1.7543538260885222e-06,0.012236782041666353,0.060270296364838834,0.0725070784065052,2.4195621512328444e-05,4.3264162030709485e-08
5,0.22731779732677534,0.2272149068762449,0.00010289045053044066,2.208626960900958e-06,0.10743385847768469,0.14509723317097195,0.2525310916486566,8.74596053294615e-06,7.477714092374299e-08
6,0.22731779732677534,0.22335448001071873,0.003963317316056619,7.427673440746874e-06,0.07188009061054386,0.09446620013691895,0.16634629074746282,4.465187295353121e-05,6.395508478362899e-08
7,0.22731779732677534,0.22691047696886096,0.00040732035791438137,6.074132191015656e-07,0.03406743808804579,0.014233347226196989,0.04830078531424278,1.2575638577090661e-05,9.510840470738913e-08
8,0.22731779732677534,0.22591243146650136,0.0014053658602739827,2.011834077020061e-06,0.03843422747192282,0.03288591343328773,0.07132014090521055,2.82084983496307e-05,1.366227309063106e-07
9,0.22731779732677534,0.22388094249720059,0.003436854829574759,4.877249221374049e-06,0.08951661516065694,0.10352212657201842,0.19303874173267538,2.5265649670096687e-05,9.488160657156186e-08
10,0.22731779732677534,0.2306938974882832,0.0033761001615078556,1.5920484116287573e-06,0.02702951841979566,0.06423695510606361,0.09126647352585927,1.7443956692132618e-05,4.503855066673168e-08
11,0.22731779732677534,0.22785206007484607,0.000534262748070724,8.290618999913598e-07,0.017753464625840237,0.05867228645466578,0.07642575108050602,1.0847939186335708e-05,1.1989889969754586e-07
12,0.22731779732677534,0.22961283018320983,0.0022950328564344813,1.8613921308337234e-06,0.0203885231709775,0.03189980202059317,0.05228832519157067,3.559861831516064e-05,9.282234003649137e-08
13,0.22731779732677534,0.22449056074567983,0.002827236581095516,6.685075285833703e-07,0.03391202490664845,0.01976682267896826,0.05367884758561671,1.2453835330892935e-05,1.0610321510284848e-07
14,0.22731779732677534,0.22357471287088632,0.0037430844558890286,3.4870019665118857e-06,0.03737584716597308,0.0607204680113074,0.09809631517728049,3.554671712398316e-05,7.664192480660859e-08
15,0.22731779732677534,0.23278864892826484,0.005470851601489496,1.0444464852225463e-06,0.016645970697931875,0.01723218097004571,0.033878151667977585,3.082950024719859e-05,6.059791246570967e-08
