layer_name,num_units,gap_y0_mean,gap_y1_mean,activation_gap_mean,activation_gap_max,mean_gradient_mean,mean_gradient_max,phi_mean,phi_max,top_unit_index
features.0.0,32,0.033638225781662694,0.04772287090242164,0.08136109668408434,0.5735104313537343,3.4871675936471886e-06,1.2249111744862601e-05,2.1518075925057614e-07,2.9270351553265353e-06,5
features.1.conv.0.0,32,0.0016217635620317905,0.0021748716988996535,0.0037966352609314444,0.04346184760533925,1.4113146676948885e-05,5.1405756359764574e-05,3.545536486429422e-08,3.98820722384163e-07,30
features.1.conv.1,16,0.008339517280403145,0.011337959527450805,0.01967747680785395,0.05507467026358581,5.7606706549305345e-06,6.696151562816868e-06,1.1151781872696966e-07,3.219245008951279e-07,13
features.2.conv.0.0,96,0.004433901881578698,0.0058391120906020584,0.010273013972180757,0.08210451944564837,1.7393764757374467e-06,4.018148994937541e-06,1.7761963975086063e-08,1.6363237394117825e-07,81
features.2.conv.1.0,96,0.003133750514271696,0.004293358313739873,0.007427108828011568,0.04219294306238852,1.9534986285388656e-05,0.0001488066198415787,1.044995587762067e-07,7.403522006607183e-07,81
features.2.conv.2,24,0.01883141813694914,0.026399101417165383,0.04523051955411452,0.14183377812398967,1.1095538190233915e-05,1.3746415492652548e-05,5.149148654584505e-07,1.6692203825195025e-06,11
features.3.conv.0.0,144,0.013705340920671555,0.018559264661322766,0.03226460558199432,0.1560485335520671,3.16631778805747e-06,6.9627347915247165e-06,1.0528657828370915e-07,6.122891606977041e-07,69
features.3.conv.1.0,144,0.0007226187754815114,0.0009562687909047746,0.001678887566386286,0.015888236198523628,1.4373251378696074e-05,5.046623029500126e-05,2.3222248993586704e-08,2.574226842721063e-07,51
features.3.conv.2,24,0.00693885916387539,0.009175193733567776,0.016114052897443165,0.058310238096717204,8.502150498740954e-06,1.0206591728955811e-05,1.3899024439162e-07,4.904129184710311e-07,23
features.4.conv.0.0,144,0.02248729555029223,0.028326598344679186,0.05081389389497141,0.24008960804175417,1.3091130431821772e-06,3.542455605912995e-06,7.530862220741172e-08,6.275892250581434e-07,138
features.4.conv.1.0,144,0.004262681335691527,0.005168912882560389,0.009431594218251916,0.07867622558730644,3.6246195505615195e-05,0.0004716699231563564,3.0695376850048804e-07,2.3772572301683344e-06,138
features.4.conv.2,32,0.028086707187575992,0.03430318698152497,0.062389894169100964,0.27876242668690104,1.7684794620748347e-05,2.164041802872976e-05,1.1480250934011465e-06,5.8505312617247976e-06,14
features.5.conv.0.0,192,0.02047598750704741,0.024297302770957496,0.0447732902780049,0.17405106387143945,4.441897144688955e-06,1.0759878526363953e-05,2.0869046438705807e-07,1.1369088441491877e-06,41
features.5.conv.1.0,192,0.0010040233312938586,0.0012073520146462056,0.002211375345940064,0.02608527212791223,3.062673568961758e-05,0.00010958962892183499,6.389704757247968e-08,1.023061217116313e-06,106
features.5.conv.2,32,0.005964972985111988,0.007924298031628696,0.013889271016740685,0.03365553638103347,2.2559021322224055e-05,3.0295987612624863e-05,3.078896948813557e-07,6.710813655483131e-07,29
features.6.conv.0.0,192,0.020491330872270636,0.025265383141948945,0.045756714014219574,0.13970892074939714,2.997099749146657e-06,8.376275297844235e-06,1.3929926043742197e-07,9.125187099409649e-07,140
features.6.conv.1.0,192,0.0007433153354933974,0.0008930946630669742,0.0016364099985603719,0.015346707385952181,2.7032354732312777e-05,8.525062051798168e-05,4.1904308802494395e-08,4.200449076517868e-07,12
features.6.conv.2,32,0.004481807813729734,0.005027254182593871,0.009509061996323606,0.022133310299176756,2.364385377749103e-05,3.225179097054712e-05,2.2550329156642674e-07,5.909868707598984e-07,14
features.7.conv.0.0,192,0.03440598189403166,0.0427706363847139,0.07717661827874556,0.2109687806090494,2.75108301855917e-06,6.832725848222102e-06,2.1065777306689454e-07,1.1577560643671676e-06,126
features.7.conv.1.0,192,0.00444858077821887,0.005588351352406712,0.010036932130625582,0.050929874689142285,8.729766620210217e-05,0.00020551738570661054,8.12736145698133e-07,5.432174220872085e-06,126
features.7.conv.2,64,0.02738806103400161,0.03373895094624926,0.061127011980250875,0.1888166031224624,3.772686494063731e-05,5.263293604288044e-05,2.3836536656112885e-06,9.116044079642179e-06,54
features.8.conv.0.0,384,0.02143996748109145,0.025679522282561342,0.04711948976365279,0.22886620799713886,8.148505694733727e-06,2.238568131218381e-05,3.993521373372621e-07,4.0846728659878015e-06,192
features.8.conv.1.0,384,0.0008189250365145136,0.0010048417121511905,0.001823766748665704,0.012844145910293654,6.1338847824921e-05,0.00024226297292682545,1.016886434079468e-07,1.1455398949970636e-06,86
features.8.conv.2,64,0.006146975951552315,0.00762539959804253,0.013772375549594845,0.03916712820795702,4.302755938759589e-05,5.640969653127176e-05,5.933089337711842e-07,1.8313408098141599e-06,3
features.9.conv.0.0,384,0.020813662464468908,0.02465088236189072,0.04546454482635962,0.15773538456245,5.326809832780273e-06,2.2842443169273193e-05,2.3229888071287703e-07,1.3945363497595255e-06,118
features.9.conv.1.0,384,0.000952872507386239,0.0011749094943472736,0.0021277820017335126,0.017635728584870246,6.37163853298674e-05,0.00027390593239963484,1.3407837419643207e-07,1.9659334240858754e-06,256
features.9.conv.2,64,0.005637140823503947,0.006491731495341063,0.01212887231884501,0.03378567076623375,4.047626636783889e-05,6.011176583684179e-05,4.987037065362516e-07,2.0309163297404742e-06,1
features.10.conv.0.0,384,0.018405692262996733,0.020831718909523903,0.039237411172520636,0.16484278671047187,4.221793227432139e-06,1.4849526745157042e-05,1.6350657427043298e-07,1.079248376849548e-06,70
features.10.conv.1.0,384,0.0008445515166013558,0.0009485811290013387,0.0017931326456026946,0.01330289512082665,6.0114558854079666e-05,0.00021125240211038822,1.0049244323835923e-07,1.1694377553963187e-06,280
features.10.conv.2,64,0.007227171505846999,0.007560551892284575,0.014787723398131574,0.05366071339544068,3.705281313462245e-05,5.5861931614076186e-05,5.54717662371539e-07,2.332636503720489e-06,61
