================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 1
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-24 16:46:19
  remove_target  : 177930
  accum_removed  : 178090
  selected_channels : 794
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 2111510
  model_sparsity : 7.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        0     0.0%
  features.2                 96         15       15    15.6%
  features.3                144         15       15    10.4%
  features.4                144          9        9     6.2%
  features.5                192         22       22    11.5%
  features.6                192         30       30    15.6%
  features.7                192         22       22    11.5%
  features.8                384         66       66    17.2%
  features.9                384         55       55    14.3%
  features.10               384         43       43    11.2%
  features.11               384         43       43    11.2%
  features.12               576         87       87    15.1%
  features.13               576         89       89    15.5%
  features.14               576         36       36     6.2%
  features.15               960        132      132    13.8%
  features.16               960         74       74     7.7%
  features.17               960         56       56     5.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 96          1       1.0%
  features.3                144          1       0.7%
  features.4                144          1       0.7%
  features.5                192          1       0.5%
  features.6                192          1       0.5%
  features.7                192          1       0.5%
  features.8                384          2       0.5%
  features.9                384          2       0.5%
  features.10               384          2       0.5%
  features.11               384          2       0.5%
  features.12               576          3       0.5%
  features.13               576          3       0.5%
  features.14               576          3       0.5%
  features.15               960          5       0.5%
  features.16               960          5       0.5%
  features.17               960          5       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 43채널 제거
  features.11: 43채널 제거
  features.12: 87채널 제거
  features.13: 89채널 제거
  features.14: 36채널 제거
  features.15: 132채널 제거
  features.16: 74채널 제거
  features.17: 56채널 제거
  features.2: 15채널 제거
  features.3: 15채널 제거
  features.4: 9채널 제거
  features.5: 22채널 제거
  features.6: 30채널 제거
  features.7: 22채널 제거
  features.8: 66채널 제거
  features.9: 55채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      744    -0.298227 9.503628e-07 1.271470e-11   0.9990   0.0021      489
features.5                       155    -0.285864 8.644916e-08 1.674931e-09   0.9895   0.0157       73
features.8                       153    -0.277024 9.364825e-08 3.387011e-10   0.9661   0.0183      137
features.9                        46    -0.273368 1.686359e-07 3.155990e-10   0.9843   0.0313      137
features.12                      339    -0.264870 1.714574e-07 3.580123e-10   0.9965   0.0487      201
features.15                      861    -0.262044 1.580847e-06 1.241605e-10   1.0000   0.0542      329
features.11                      109    -0.259530 1.073994e-07 7.054127e-10   0.9138   0.0209      169
features.9                       373    -0.259008 7.750991e-08 2.899944e-10   0.9243   0.0261      137
features.9                       133    -0.258486 6.846047e-08 2.287192e-10   0.8982   0.0157      137
features.9                       208    -0.256397 1.292027e-07 4.141276e-10   0.9765   0.0522      137
features.8                        23    -0.255352 6.542805e-08 4.207855e-10   0.9243   0.0313      137
features.5                        30    -0.252880 2.118180e-08 6.130002e-10   0.8429   0.0000       73
features.16                      850    -0.251408 4.933324e-07 7.779120e-11   0.9864   0.0636      329
features.6                        77    -0.250785 1.433621e-08 1.164564e-10   0.8482   0.0052       73
features.6                        45    -0.249738 2.875110e-08 1.196532e-09   0.9424   0.0471       73
features.6                        68    -0.249215 3.575182e-08 1.407224e-09   0.9529   0.0524       73
features.5                        64    -0.248691 2.197191e-08 1.278239e-09   0.8534   0.0105       73
features.5                        85    -0.248691 5.036345e-08 3.257349e-09   0.9634   0.0576       73
features.10                      310    -0.247781 4.957264e-08 3.122866e-10   0.9295   0.0444      137
features.12                      516    -0.246957 7.297000e-08 3.006338e-10   0.9165   0.0400      201
features.6                       172    -0.245026 7.398985e-08 1.976884e-09   1.0000   0.0785       73
features.9                       141    -0.244386 6.017594e-08 2.812408e-10   0.8695   0.0235      137
features.13                      536    -0.244348 6.507280e-08 2.585983e-10   0.9200   0.0452      201
features.11                      174    -0.244125 9.045936e-08 6.206120e-10   0.8564   0.0183      169
features.13                      498    -0.243652 4.966182e-08 1.407586e-10   0.8730   0.0261      201
features.8                       343    -0.243603 4.184299e-08 3.597597e-10   0.8668   0.0235      137
features.11                      304    -0.243342 8.583419e-08 4.706201e-10   0.8172   0.0026      169
features.11                       28    -0.242298 8.963350e-08 5.560431e-10   0.8381   0.0131      169
features.6                        64    -0.241361 3.609485e-08 1.487111e-09   0.9634   0.0681       73
features.9                       250    -0.240992 1.002737e-07 4.527993e-10   0.9556   0.0653      137
features.8                        95    -0.240209 1.269076e-07 6.537577e-10   0.9896   0.0809      137
features.12                      387    -0.239130 9.124027e-08 3.789795e-10   0.9391   0.0609      201
features.10                      195    -0.236292 4.748460e-08 3.990780e-10   0.9217   0.0574      137
