================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 2
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-24 18:01:58
  remove_target  : 160121
  accum_removed  : 160164
  selected_channels : 676
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1951346
  model_sparsity : 14.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        1     3.1%
  features.2                 96         14       29    30.2%
  features.3                144         10       25    17.4%
  features.4                144         12       21    14.6%
  features.5                192         16       38    19.8%
  features.6                192         20       50    26.0%
  features.7                192         19       41    21.4%
  features.8                384         45      111    28.9%
  features.9                384         35       90    23.4%
  features.10               384         35       78    20.3%
  features.11               384         40       83    21.6%
  features.12               576         72      159    27.6%
  features.13               576         69      158    27.4%
  features.14               576         32       68    11.8%
  features.15               960        133      265    27.6%
  features.16               960         61      135    14.1%
  features.17               960         62      118    12.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 81          1       1.2%
  features.3                129          1       0.8%
  features.4                135          1       0.7%
  features.5                170          1       0.6%
  features.6                162          1       0.6%
  features.7                170          1       0.6%
  features.8                318          2       0.6%
  features.9                329          2       0.6%
  features.10               341          2       0.6%
  features.11               341          2       0.6%
  features.12               489          3       0.6%
  features.13               487          3       0.6%
  features.14               540          3       0.6%
  features.15               828          5       0.6%
  features.16               886          5       0.6%
  features.17               904          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 35채널 제거
  features.11: 40채널 제거
  features.12: 72채널 제거
  features.13: 69채널 제거
  features.14: 32채널 제거
  features.15: 133채널 제거
  features.16: 61채널 제거
  features.17: 62채널 제거
  features.2: 14채널 제거
  features.3: 10채널 제거
  features.4: 12채널 제거
  features.5: 16채널 제거
  features.6: 20채널 제거
  features.7: 19채널 제거
  features.8: 45채널 제거
  features.9: 35채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       170    -0.220820 3.155475e-08 1.608632e-09   0.8612   0.0536      137
features.13                      194    -0.216461 5.236485e-08 1.129371e-09   0.9136   0.0823      201
features.8                       371    -0.211672 8.671339e-08 2.819320e-09   0.9779   0.1167      137
features.10                      194    -0.209412 6.709476e-08 9.219844e-10   0.9588   0.1118      137
features.8                        79    -0.209148 3.375116e-08 2.118051e-09   0.8738   0.0757      137
features.8                       183    -0.196215 1.798906e-08 1.189157e-09   0.7129   0.0252      137
features.6                       190    -0.195031 7.429505e-09 7.037460e-09   0.7516   0.0435       73
features.8                       350    -0.194322 3.024863e-08 2.130972e-09   0.8391   0.0820      137
features.11                      330    -0.194118 1.127220e-07 4.253921e-09   0.8941   0.1059      169
features.8                        14    -0.194006 3.039013e-08 2.135334e-09   0.8454   0.0852      137
features.12                      185    -0.193852 4.356068e-08 1.182521e-09   0.8852   0.1025      201
features.10                       67    -0.192353 2.490419e-08 6.927467e-10   0.7853   0.0618      137
features.9                       221    -0.191463 8.234172e-08 1.623832e-09   0.9726   0.1433      137
features.6                       185    -0.191304 1.800856e-08 1.031164e-08   0.9565   0.1366       73
features.6                        84    -0.189441 1.146992e-08 8.299260e-09   0.8634   0.0994       73
features.12                      135    -0.185656 2.467424e-08 6.739170e-10   0.7480   0.0553      201
features.13                      347    -0.185185 2.864677e-08 1.193031e-09   0.8189   0.0864      201
features.13                      277    -0.185185 2.302878e-08 8.438896e-10   0.7757   0.0679      201
features.10                      131    -0.183529 2.404214e-08 7.180384e-10   0.7765   0.0706      137
features.8                       298    -0.183281 1.617728e-08 1.265568e-09   0.6845   0.0315      137
features.13                      343    -0.181481 8.938191e-08 1.603615e-09   0.9650   0.1543      201
features.12                      343    -0.179303 2.542242e-08 8.576228e-10   0.7602   0.0697      201
features.8                        80    -0.179180 1.606550e-08 1.340508e-09   0.6782   0.0347      137
features.2                        10    -0.178750 2.168816e-08 2.848658e-08   0.6250   0.0125       49
features.13                      265    -0.178601 2.144563e-08 8.387396e-10   0.7490   0.0658      201
features.12                      419    -0.178074 9.303218e-08 1.535812e-09   0.9570   0.1557      201
features.8                       240    -0.177918 7.303898e-08 3.599414e-09   0.9685   0.1609      137
