================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 3
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-24 19:16:24
  remove_target  : 144104
  accum_removed  : 144222
  selected_channels : 598
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1807124
  model_sparsity : 21.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        2     6.2%
  features.2                 96         15       44    45.8%
  features.3                144         15       40    27.8%
  features.4                144          8       29    20.1%
  features.5                192         15       53    27.6%
  features.6                192         17       67    34.9%
  features.7                192         20       61    31.8%
  features.8                384         36      147    38.3%
  features.9                384         33      123    32.0%
  features.10               384         30      108    28.1%
  features.11               384         26      109    28.4%
  features.12               576         49      208    36.1%
  features.13               576         61      219    38.0%
  features.14               576         36      104    18.1%
  features.15               960        102      367    38.2%
  features.16               960         69      204    21.2%
  features.17               960         65      183    19.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 31          1       3.2%
  features.2                 67          1       1.5%
  features.3                119          1       0.8%
  features.4                123          1       0.8%
  features.5                154          1       0.6%
  features.6                142          1       0.7%
  features.7                151          1       0.7%
  features.8                273          2       0.7%
  features.9                294          2       0.7%
  features.10               306          2       0.7%
  features.11               301          2       0.7%
  features.12               417          3       0.7%
  features.13               418          3       0.7%
  features.14               508          3       0.6%
  features.15               695          4       0.6%
  features.16               825          5       0.6%
  features.17               842          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 30채널 제거
  features.11: 26채널 제거
  features.12: 49채널 제거
  features.13: 61채널 제거
  features.14: 36채널 제거
  features.15: 102채널 제거
  features.16: 69채널 제거
  features.17: 65채널 제거
  features.2: 15채널 제거
  features.3: 15채널 제거
  features.4: 8채널 제거
  features.5: 15채널 제거
  features.6: 17채널 제거
  features.7: 20채널 제거
  features.8: 36채널 제거
  features.9: 33채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                        87    -0.215074 3.150011e-08 3.143115e-09   0.8456   0.0551      137
features.8                       231    -0.210294 3.478028e-08 3.843065e-09   0.8640   0.0699      137
features.13                       81    -0.198082 2.971638e-08 1.634362e-09   0.8393   0.0767      201
features.13                      440    -0.183933 5.987728e-08 2.462193e-09   0.9376   0.1391      201
features.8                       317    -0.173162 4.874528e-08 5.139443e-09   0.9118   0.1434      137
features.6                       145    -0.170922 7.565030e-09 1.209334e-08   0.7518   0.0780       73
features.8                       253    -0.170588 3.458549e-08 4.877014e-09   0.8603   0.1250      137
features.13                      512    -0.168825 2.950927e-08 2.251819e-09   0.8369   0.1175      201
features.2                        40    -0.166667 3.190090e-08 9.476764e-08   0.6970   0.0606       49
features.13                       10    -0.164269 3.990892e-08 2.523986e-09   0.8945   0.1487      201
features.15                      388    -0.159942 1.515836e-07 1.347149e-09   0.8761   0.1470      329
features.2                        36    -0.159091 1.331732e-07 1.438760e-07   0.9545   0.1818       49
features.10                       35    -0.158361 1.169010e-07 1.993865e-09   0.9869   0.1967      137
features.2                        39    -0.157576 4.425645e-08 1.161516e-07   0.7727   0.1061       49
features.12                      162    -0.154808 1.233329e-07 3.410260e-09   0.9760   0.1971      201
features.8                       124    -0.154779 1.995348e-08 4.654792e-09   0.7647   0.1066      137
features.10                      172    -0.154426 1.816347e-08 1.097142e-09   0.6754   0.0689      137
features.12                      259    -0.154327 2.370573e-08 2.412019e-09   0.7837   0.1154      201
features.15                      144    -0.154323 1.923506e-07 1.509799e-09   0.9078   0.1686      329
features.9                       171    -0.153925 2.701410e-08 2.027347e-09   0.7679   0.1092      137
features.8                        86    -0.153309 2.270950e-07 6.322862e-09   1.0000   0.2096      137
features.13                      396    -0.152278 4.621435e-08 2.834129e-09   0.9161   0.1751      201
features.15                      161    -0.150144 1.366601e-07 1.368639e-09   0.8501   0.1499      329
features.15                      810    -0.147262 2.425134e-07 1.662768e-09   0.9481   0.1960      329
features.13                      111    -0.147242 2.036151e-07 3.270530e-09   1.0000   0.2182      201
features.15                      799    -0.146974 8.826975e-08 1.073661e-09   0.7723   0.1210      329
features.15                      104    -0.145533 3.367037e-07 1.778690e-09   0.9726   0.2089      329
