================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 11
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-25 06:59:32
  remove_target  : 61956
  accum_removed  : 62078
  selected_channels : 222
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1067785
  model_sparsity : 53.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2        9    28.1%
  features.2                 96          2       80    83.3%
  features.3                144          7      118    81.9%
  features.4                144          6       99    68.8%
  features.5                192          7      132    68.8%
  features.6                192          5      133    69.3%
  features.7                192          2      146    76.0%
  features.8                384         11      283    73.7%
  features.9                384         11      267    69.5%
  features.10               384          6      270    70.3%
  features.11               384         16      282    73.4%
  features.12               576          9      407    70.7%
  features.13               576         12      416    72.2%
  features.14               576         15      333    57.8%
  features.15               960         25      713    74.3%
  features.16               960         31      649    67.6%
  features.17               960         55      630    65.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 25          1       4.0%
  features.2                 18          1       5.6%
  features.3                 33          1       3.0%
  features.4                 51          1       2.0%
  features.5                 67          1       1.5%
  features.6                 64          1       1.6%
  features.7                 48          1       2.1%
  features.8                112          1       0.9%
  features.9                128          1       0.8%
  features.10               120          1       0.8%
  features.11               118          1       0.8%
  features.12               178          1       0.6%
  features.13               172          1       0.6%
  features.14               258          2       0.8%
  features.15               272          2       0.7%
  features.16               342          2       0.6%
  features.17               385          2       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 6채널 제거
  features.11: 16채널 제거
  features.12: 9채널 제거
  features.13: 12채널 제거
  features.14: 15채널 제거
  features.15: 25채널 제거
  features.16: 31채널 제거
  features.17: 55채널 제거
  features.2: 2채널 제거
  features.3: 7채널 제거
  features.4: 6채널 제거
  features.5: 7채널 제거
  features.6: 5채널 제거
  features.7: 2채널 제거
  features.8: 11채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      547    -0.164407 8.702367e-08 2.784546e-08   0.9435   0.1695      201
features.15                      229    -0.154244 1.811552e-07 1.919520e-08   0.8413   0.1402      329
features.17                       80    -0.133073 6.167076e-07 1.841101e-09   0.8203   0.1615      489
features.10                       68    -0.129412 4.597999e-08 1.445227e-08   0.8235   0.1681      137
features.15                      277    -0.122878 2.765442e-07 2.201490e-08   0.9262   0.2214      329
features.17                       69    -0.114323 4.311172e-07 1.771487e-09   0.7031   0.1380      489
features.14                      377    -0.112840 6.818709e-07 1.360746e-08   0.8755   0.2140      265
features.16                      277    -0.112610 2.583876e-07 8.570861e-09   0.7859   0.1760      329
features.5                       149    -0.112121 1.876976e-08 2.247591e-07   0.7273   0.1515       73
features.16                       16    -0.104985 4.190121e-07 1.033052e-08   0.8974   0.2346      329
features.17                      796    -0.104688 2.858652e-07 1.434136e-09   0.5495   0.0859      489
features.17                      579    -0.103385 1.530764e-06 2.247067e-09   0.9948   0.2786      489
features.11                      130    -0.102564 3.073796e-07 2.245373e-07   0.9402   0.2564      169
features.17                       90    -0.100781 6.710176e-07 2.058807e-09   0.8464   0.2188      489
features.9                       187    -0.099213 1.637896e-07 3.255320e-08   0.9921   0.2835      137
features.8                       161    -0.098198 1.298662e-08 3.740240e-08   0.4324   0.0450      137
features.5                        24    -0.095455 1.219467e-08 1.892349e-07   0.5303   0.0909       73
features.17                      824    -0.094792 1.964678e-07 1.139392e-09   0.4375   0.0521      489
features.17                      831    -0.092708 5.138572e-07 1.974590e-09   0.7526   0.1901      489
features.16                      590    -0.091496 3.115638e-07 1.011667e-08   0.8387   0.2287      329
features.17                      346    -0.090885 4.260599e-07 1.865215e-09   0.6979   0.1693      489
features.11                      261    -0.090598 2.062551e-07 2.134547e-07   0.8205   0.2222      169
features.8                         4    -0.090090 2.604748e-08 6.246592e-08   0.6577   0.1532      137
features.13                      514    -0.089474 9.582772e-08 3.894987e-08   0.9532   0.2807      201
features.16                       96    -0.087390 2.536602e-07 9.509046e-09   0.7771   0.2082      329
features.17                      558    -0.086458 2.236032e-07 1.336979e-09   0.4766   0.0807      489
features.12                      180    -0.086441 1.637992e-08 2.683777e-08   0.6441   0.1525      201
