================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-25 14:34:09
  remove_target  : 32793
  accum_removed  : 32873
  selected_channels : 121
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 805365
  model_sparsity : 64.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       18    56.2%
  features.2                 96          0       91    94.8%
  features.3                144          2      139    96.5%
  features.4                144          1      133    92.4%
  features.5                192          5      163    84.9%
  features.6                192          4      164    85.4%
  features.7                192          2      163    84.9%
  features.8                384          4      341    88.8%
  features.9                384          5      314    81.8%
  features.10               384          7      321    83.6%
  features.11               384          4      343    89.3%
  features.12               576         10      467    81.1%
  features.13               576          7      463    80.4%
  features.14               576         16      424    73.6%
  features.15               960         15      822    85.6%
  features.16               960         14      778    81.0%
  features.17               960         24      827    86.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                  5          1      20.0%
  features.3                  7          1      14.3%
  features.4                 12          1       8.3%
  features.5                 34          1       2.9%
  features.6                 32          1       3.1%
  features.7                 31          1       3.2%
  features.8                 47          1       2.1%
  features.9                 75          1       1.3%
  features.10                70          1       1.4%
  features.11                45          1       2.2%
  features.12               119          1       0.8%
  features.13               120          1       0.8%
  features.14               168          1       0.6%
  features.15               153          1       0.7%
  features.16               196          1       0.5%
  features.17               157          1       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 4채널 제거
  features.12: 10채널 제거
  features.13: 7채널 제거
  features.14: 16채널 제거
  features.15: 15채널 제거
  features.16: 14채널 제거
  features.17: 24채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 5채널 제거
  features.6: 4채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      158    -0.216447 2.096206e-07 4.408101e-08   0.8289   0.0461      329
features.17                      367    -0.192308 7.320119e-07 5.607160e-09   0.6859   0.0192      489
features.16                      783    -0.188205 2.954963e-07 6.394477e-09   0.7590   0.0564      329
features.10                      351    -0.184058 5.833191e-08 2.853115e-08   0.8841   0.1159      137
features.8                        71    -0.167391 3.917059e-08 1.041564e-07   0.6087   0.0217      137
features.17                      262    -0.150000 1.252696e-06 9.899969e-09   0.8590   0.1538      489
features.3                        42    -0.150000 5.657795e-09 2.474876e-05   0.5000   0.0000       57
features.17                      292    -0.148077 7.154372e-07 8.857045e-09   0.6731   0.0769      489
features.10                      207    -0.147826 3.086877e-08 2.666894e-08   0.6957   0.0870      137
features.11                       44    -0.147727 3.516116e-07 1.746314e-06   0.8636   0.1591      169
features.15                      358    -0.145395 4.407054e-07 6.969006e-08   0.9605   0.2039      329
features.8                       104    -0.141304 4.901595e-08 2.925577e-07   0.6739   0.0870      137
features.3                        48    -0.133333 5.109564e-08 6.507438e-05   0.8333   0.1667       57
features.5                       153    -0.130303 1.673268e-08 4.900919e-07   0.5758   0.0606       73
features.17                       32    -0.124359 4.053216e-07 6.482725e-09   0.4744   0.0256      489
features.8                       306    -0.123913 8.432713e-08 3.317667e-07   0.8696   0.1957      137
features.16                      473    -0.115897 1.431508e-07 2.674441e-08   0.6256   0.1026      329
features.9                       154    -0.114865 4.309675e-08 7.171134e-08   0.8243   0.1892      137
features.14                      114    -0.109581 4.903302e-07 2.584226e-08   0.7844   0.1796      265
features.15                      263    -0.107237 9.269736e-08 5.724110e-08   0.6184   0.1118      329
features.17                       14    -0.105769 6.062904e-07 9.587424e-09   0.6218   0.1154      489
features.16                       55    -0.103077 9.038179e-08 2.513158e-08   0.5590   0.0923      329
features.13                      537    -0.100000 5.653136e-08 9.897053e-08   0.8824   0.2353      201
features.17                      887    -0.098077 3.118584e-07 6.886658e-09   0.4167   0.0385      489
features.17                      171    -0.097436 4.570500e-07 8.933156e-09   0.5192   0.0833      489
features.5                        99    -0.096970 8.685051e-09 3.791833e-07   0.3939   0.0303       73
features.12                       85    -0.096610 7.052837e-08 1.091803e-07   0.9153   0.2542      201
features.9                        69    -0.095946 8.337880e-08 9.219222e-08   0.9189   0.2568      137
features.16                      101    -0.095897 5.697021e-07 3.886278e-08   0.8821   0.2410      329
features.10                      183    -0.095652 3.383190e-08 3.473016e-08   0.7246   0.1739      137
features.15                      347    -0.095395 1.117267e-07 6.116220e-08   0.6711   0.1513      329
features.14                      313    -0.094611 4.975963e-07 2.660840e-08   0.7904   0.2036      265
features.17                      430    -0.091667 4.991831e-07 9.377205e-09   0.5449   0.1026      489
features.17                      793    -0.091667 7.287388e-07 1.000283e-08   0.6795   0.1603      489
features.5                       109    -0.090909 1.181390e-08 5.932575e-07   0.5152   0.0909       73
features.15                      131    -0.089474 4.905875e-08 4.449615e-08   0.4211   0.0526      329
