================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 18
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-25 15:45:18
  remove_target  : 29506
  accum_removed  : 29699
  selected_channels : 107
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 775666
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       18    56.2%
  features.2                 96          0       91    94.8%
  features.3                144          0      139    96.5%
  features.4                144          0      133    92.4%
  features.5                192          4      167    87.0%
  features.6                192          2      166    86.5%
  features.7                192          1      164    85.4%
  features.8                384          4      345    89.8%
  features.9                384          7      321    83.6%
  features.10               384          8      329    85.7%
  features.11               384          6      349    90.9%
  features.12               576         10      477    82.8%
  features.13               576          5      468    81.2%
  features.14               576          9      433    75.2%
  features.15               960          9      831    86.6%
  features.16               960         21      799    83.2%
  features.17               960         21      848    88.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 14          1       7.1%
  features.2                  5          1      20.0%
  features.3                  5          1      20.0%
  features.4                 11          1       9.1%
  features.5                 29          1       3.4%
  features.6                 28          1       3.6%
  features.7                 29          1       3.4%
  features.8                 43          1       2.3%
  features.9                 70          1       1.4%
  features.10                63          1       1.6%
  features.11                41          1       2.4%
  features.12               109          1       0.9%
  features.13               113          1       0.9%
  features.14               152          1       0.7%
  features.15               138          1       0.7%
  features.16               182          1       0.5%
  features.17               133          1       0.8%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 6채널 제거
  features.12: 10채널 제거
  features.13: 5채널 제거
  features.14: 9채널 제거
  features.15: 9채널 제거
  features.16: 21채널 제거
  features.17: 21채널 제거
  features.5: 4채널 제거
  features.6: 2채널 제거
  features.7: 1채널 제거
  features.8: 4채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      949    -0.134849 1.457975e-06 1.423499e-08   0.8561   0.1742      489
features.17                      794    -0.125000 9.781976e-07 1.382616e-08   0.7348   0.1364      489
features.16                      808    -0.118785 6.404818e-07 4.644649e-08   0.9116   0.2210      329
features.11                      116    -0.117500 1.702991e-07 1.823190e-06   0.6250   0.1000      169
features.15                      845    -0.103650 3.052489e-07 8.789841e-08   0.8905   0.2336      329
features.9                        98    -0.102899 1.257435e-07 1.165415e-07   0.9855   0.2754      137
features.5                       113    -0.100000 1.879905e-07 1.741629e-06   1.0000   0.2857       73
features.17                      394    -0.096970 1.013124e-06 1.436503e-08   0.7652   0.1894      489
features.16                      445    -0.092265 1.124928e-06 5.083663e-08   0.9779   0.2873      329
features.17                      858    -0.091667 2.789072e-07 1.122430e-08   0.3939   0.0379      489
features.16                      703    -0.090608 8.629418e-08 3.149032e-08   0.5083   0.0884      329
features.14                      189    -0.086755 5.975365e-07 3.625139e-08   0.8146   0.2252      265
features.9                       264    -0.082609 3.257257e-08 9.186826e-08   0.7826   0.2174      137
features.9                        89    -0.079710 3.067134e-08 8.193729e-08   0.7391   0.2029      137
features.15                      208    -0.077372 1.276164e-07 7.881068e-08   0.7007   0.1898      329
features.17                       46    -0.072727 4.413988e-07 1.343136e-08   0.5076   0.1136      489
features.16                      800    -0.070166 2.356372e-07 4.572426e-08   0.7238   0.2099      329
features.15                      910    -0.068613 4.981899e-07 1.027901e-07   0.9781   0.3212      329
features.17                      707    -0.064394 2.428845e-07 1.190781e-08   0.3561   0.0606      489
features.5                        69    -0.064286 1.034445e-08 1.138843e-06   0.4643   0.1071       73
features.8                       200    -0.064286 3.348092e-08 3.150280e-07   0.5476   0.1429      137
features.16                      487    -0.063536 2.829187e-07 4.647601e-08   0.7403   0.2265      329
features.8                       315    -0.061905 9.220271e-08 4.295196e-07   0.9286   0.3095      137
features.14                      128    -0.061589 4.858728e-07 3.777661e-08   0.7616   0.2384      265
features.12                      537    -0.061111 2.162236e-08 1.084536e-07   0.5926   0.1667      201
features.17                      208    -0.060606 2.951251e-07 1.302642e-08   0.4318   0.0985      489
features.17                      654    -0.060606 9.921413e-07 1.535359e-08   0.7500   0.2348      489
features.12                      473    -0.058333 2.612556e-08 1.116282e-07   0.6481   0.1944      201
features.17                      241    -0.056061 1.902345e-07 1.116554e-08   0.2576   0.0303      489
features.16                      519    -0.055801 1.467823e-07 4.066172e-08   0.6243   0.1878      329
features.16                      430    -0.053591 6.079398e-07 5.211713e-08   0.9006   0.3094      329
features.17                      149    -0.050758 4.668128e-07 1.393643e-08   0.5227   0.1515      489
features.9                       237    -0.050725 1.173420e-08 2.095943e-08   0.3043   0.0580      137
features.13                      560    -0.050000 9.852399e-08 1.438936e-07   0.9375   0.3304      201
features.17                      513    -0.050000 4.792321e-07 1.396823e-08   0.5379   0.1591      489
features.17                      880    -0.050000 5.614618e-07 1.432869e-08   0.5909   0.1818      489
features.17                      589    -0.049242 3.184552e-07 1.361624e-08   0.4470   0.1212      489
features.16                      720    -0.049171 2.542706e-08 2.058604e-08   0.2928   0.0552      329
features.12                      474    -0.046296 1.135736e-07 1.695225e-07   0.9537   0.3426      201
features.12                      512    -0.045370 1.286524e-08 7.484049e-08   0.4537   0.1296      201
features.16                      351    -0.045304 2.999675e-07 4.910623e-08   0.7569   0.2597      329
