================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 21
  alpha      : 0.7000
  norm       : rank
  timestamp  : 2026-08-25 19:41:11
  remove_target  : 21480
  accum_removed  : 21567
  selected_channels : 79
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703535
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       19    59.4%
  features.2                 96          1       92    95.8%
  features.3                144          0      139    96.5%
  features.4                144          2      137    95.1%
  features.5                192          5      178    92.7%
  features.6                192          1      172    89.6%
  features.7                192          0      169    88.0%
  features.8                384          6      358    93.2%
  features.9                384          4      333    86.7%
  features.10               384          3      349    90.9%
  features.11               384          3      366    95.3%
  features.12               576          3      496    86.1%
  features.13               576          4      483    83.9%
  features.14               576          7      468    81.2%
  features.15               960         13      866    90.2%
  features.16               960         13      838    87.3%
  features.17               960         14      890    92.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                  5          1      20.0%
  features.3                  5          1      20.0%
  features.4                  9          1      11.1%
  features.5                 19          1       5.3%
  features.6                 21          1       4.8%
  features.7                 23          1       4.3%
  features.8                 32          1       3.1%
  features.9                 55          1       1.8%
  features.10                38          1       2.6%
  features.11                21          1       4.8%
  features.12                83          1       1.2%
  features.13                97          1       1.0%
  features.14               115          1       0.9%
  features.15               107          1       0.9%
  features.16               135          1       0.7%
  features.17                84          1       1.2%

[ 블록별 제거 채널 수 ]
  features.10: 3채널 제거
  features.11: 3채널 제거
  features.12: 3채널 제거
  features.13: 4채널 제거
  features.14: 7채널 제거
  features.15: 13채널 제거
  features.16: 13채널 제거
  features.17: 14채널 제거
  features.2: 1채널 제거
  features.4: 2채널 제거
  features.5: 5채널 제거
  features.6: 1채널 제거
  features.8: 6채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                        70    -0.212903 1.369119e-07 8.084557e-07   0.9355   0.0968      137
features.11                       10    -0.190000 5.849169e-07 7.420521e-06   0.7500   0.0500      169
features.9                        93    -0.177778 7.714258e-08 8.383755e-08   0.8519   0.1111      137
features.17                      914    -0.159036 1.631977e-06 3.135336e-08   0.7831   0.1084      489
features.14                      274    -0.155263 6.125176e-07 3.669730e-08   0.7632   0.1053      265
features.17                      706    -0.142169 2.151784e-06 3.252189e-08   0.8675   0.1687      489
features.9                       355    -0.135185 9.196206e-08 1.548348e-07   0.9259   0.2037      137
features.17                      649    -0.132530 9.946294e-07 3.065209e-08   0.6386   0.0843      489
features.8                       237    -0.132258 1.042518e-07 8.257597e-07   0.7419   0.1290      137
features.2                        34    -0.125000 5.364181e-07 2.881897e-04   1.0000   0.2500       49
features.11                      327    -0.120000 2.440365e-07 7.223383e-06   0.4000   0.0000      169
features.15                      795    -0.114151 2.153643e-07 1.186925e-07   0.8208   0.1887      329
features.17                      710    -0.113253 4.427045e-07 2.624943e-08   0.4337   0.0241      489
features.5                        55    -0.094444 1.309527e-08 2.365064e-06   0.4444   0.0556       73
features.13                      288    -0.092708 4.509395e-08 1.448771e-07   0.7708   0.1979      201
features.15                      704    -0.090566 3.444463e-08 2.791767e-09   0.3019   0.0000      329
features.17                       72    -0.087952 8.567232e-07 3.186596e-08   0.6024   0.1325      489
features.15                      902    -0.084906 6.136147e-08 8.377037e-08   0.4811   0.0849      329
features.17                      443    -0.084337 1.493103e-06 3.370538e-08   0.7590   0.2048      489
features.17                       49    -0.084337 4.335066e-07 2.998122e-08   0.4217   0.0602      489
features.16                      207    -0.082836 4.766332e-08 7.743096e-09   0.3806   0.0448      329
features.15                      791    -0.081132 1.033544e-07 1.072641e-07   0.6226   0.1509      329
features.16                      389    -0.076866 6.359461e-08 4.655719e-08   0.4478   0.0821      329
features.10                      324    -0.075676 4.011065e-08 1.880356e-07   0.5676   0.1351      137
features.4                       110    -0.075000 6.670644e-08 1.693333e-05   0.2500   0.0000       65
features.12                      469    -0.074390 7.680008e-08 2.433169e-07   0.9024   0.2805      201
