================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 3
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-26 12:31:22
  remove_target  : 144076
  accum_removed  : 144090
  selected_channels : 570
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1806970
  model_sparsity : 21.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          3        8    25.0%
  features.2                 96          9       32    33.3%
  features.3                144          9       36    25.0%
  features.4                144         11       36    25.0%
  features.5                192         13       50    26.0%
  features.6                192         12       55    28.6%
  features.7                192         13       53    27.6%
  features.8                384         25      111    28.9%
  features.9                384         31      112    29.2%
  features.10               384         31      107    27.9%
  features.11               384         31      106    27.6%
  features.12               576         47      173    30.0%
  features.13               576         51      177    30.7%
  features.14               576         44      139    24.1%
  features.15               960         89      300    31.2%
  features.16               960         78      250    26.0%
  features.17               960         73      229    23.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 27          1       3.7%
  features.2                 73          1       1.4%
  features.3                117          1       0.9%
  features.4                119          1       0.8%
  features.5                155          1       0.6%
  features.6                149          1       0.7%
  features.7                152          1       0.7%
  features.8                298          2       0.7%
  features.9                303          2       0.7%
  features.10               308          2       0.6%
  features.11               309          2       0.6%
  features.12               450          3       0.7%
  features.13               450          3       0.7%
  features.14               481          3       0.6%
  features.15               749          4       0.5%
  features.16               788          4       0.5%
  features.17               804          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 3채널 제거
  features.10: 31채널 제거
  features.11: 31채널 제거
  features.12: 47채널 제거
  features.13: 51채널 제거
  features.14: 44채널 제거
  features.15: 89채널 제거
  features.16: 78채널 제거
  features.17: 73채널 제거
  features.2: 9채널 제거
  features.3: 9채널 제거
  features.4: 11채널 제거
  features.5: 13채널 제거
  features.6: 12채널 제거
  features.7: 13채널 제거
  features.8: 25채널 제거
  features.9: 31채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                       68    -0.075535 5.101672e-07 6.819799e-10   0.9719   0.0241      329
features.8                        97    -0.075421 4.628431e-08 2.291649e-09   0.9057   0.0168      137
features.15                      759    -0.075401 2.121191e-07 5.783435e-10   0.8503   0.0107      329
features.2                        30    -0.075000 4.579273e-08 4.485883e-08   0.7500   0.0000       49
features.15                       83    -0.074198 2.882530e-07 6.500251e-10   0.9104   0.0187      329
features.15                      335    -0.073663 3.100031e-07 6.609286e-10   0.9171   0.0201      329
features.15                      847    -0.073262 3.324705e-07 6.659777e-10   0.9251   0.0214      329
features.8                       129    -0.072054 2.622001e-08 1.947653e-09   0.7811   0.0067      137
features.2                        91    -0.069444 5.759007e-08 5.265090e-08   0.8194   0.0139       49
features.10                      143    -0.068730 2.549096e-08 1.042777e-09   0.7459   0.0065      137
features.9                       170    -0.066887 4.048323e-08 1.400945e-09   0.8179   0.0166      137
features.15                      936    -0.066845 1.578038e-07 6.172398e-10   0.8008   0.0147      329
features.12                      185    -0.065702 5.259007e-08 1.409061e-09   0.8775   0.0245      201
features.9                       306    -0.063907 2.015849e-07 1.760875e-09   0.9967   0.0397      137
features.13                      347    -0.062361 3.511368e-08 1.533653e-09   0.8040   0.0200      201
features.9                       275    -0.062252 8.140486e-08 1.743323e-09   0.9503   0.0364      137
features.8                       383    -0.061953 5.495059e-08 2.619723e-09   0.9226   0.0337      137
features.13                      173    -0.061025 2.528542e-08 1.483229e-09   0.7305   0.0134      201
features.15                       40    -0.058422 4.973707e-07 7.309402e-10   0.9693   0.0428      329
features.6                        58    -0.057432 5.338226e-09 8.339250e-09   0.6351   0.0068       73
features.15                      852    -0.056952 1.679762e-07 6.944907e-10   0.8102   0.0267      329
features.5                        87    -0.056494 1.005536e-08 1.093416e-08   0.6818   0.0130       73
features.15                      189    -0.054545 9.559648e-08 6.324516e-10   0.6898   0.0160      329
features.15                      194    -0.053743 3.539606e-07 7.545878e-10   0.9345   0.0441      329
features.16                      154    -0.053367 1.544903e-07 3.751827e-10   0.7052   0.0191      329
features.15                      819    -0.053209 7.133445e-07 7.626805e-10   0.9893   0.0508      329
features.15                      627    -0.052807 1.635128e-07 7.045615e-10   0.8048   0.0307      329
