================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 5
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-26 14:48:00
  remove_target  : 116699
  accum_removed  : 116957
  selected_channels : 461
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1560336
  model_sparsity : 31.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       12    37.5%
  features.2                 96          6       46    47.9%
  features.3                144          8       53    36.8%
  features.4                144          9       54    37.5%
  features.5                192         13       74    38.5%
  features.6                192         11       79    41.1%
  features.7                192         11       75    39.1%
  features.8                384         27      163    42.4%
  features.9                384         22      160    41.7%
  features.10               384         25      160    41.7%
  features.11               384         19      148    38.5%
  features.12               576         38      256    44.4%
  features.13               576         35      254    44.1%
  features.14               576         43      222    38.5%
  features.15               960         62      436    45.4%
  features.16               960         67      391    40.7%
  features.17               960         63      361    37.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 22          1       4.5%
  features.2                 56          1       1.8%
  features.3                 99          1       1.0%
  features.4                 99          1       1.0%
  features.5                131          1       0.8%
  features.6                124          1       0.8%
  features.7                128          1       0.8%
  features.8                248          2       0.8%
  features.9                246          2       0.8%
  features.10               249          2       0.8%
  features.11               255          2       0.8%
  features.12               358          2       0.6%
  features.13               357          2       0.6%
  features.14               397          2       0.5%
  features.15               586          3       0.5%
  features.16               636          4       0.6%
  features.17               662          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 25채널 제거
  features.11: 19채널 제거
  features.12: 38채널 제거
  features.13: 35채널 제거
  features.14: 43채널 제거
  features.15: 62채널 제거
  features.16: 67채널 제거
  features.17: 63채널 제거
  features.2: 6채널 제거
  features.3: 8채널 제거
  features.4: 9채널 제거
  features.5: 13채널 제거
  features.6: 11채널 제거
  features.7: 11채널 제거
  features.8: 27채널 제거
  features.9: 22채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.10                       53    -0.083065 8.651013e-08 2.175877e-09   0.9758   0.0161      137
features.9                       203    -0.078367 7.172007e-08 3.141460e-09   0.9306   0.0163      137
features.15                       16    -0.070598 2.592053e-07 1.792737e-09   0.9214   0.0239      329
features.15                      104    -0.070085 3.090008e-07 1.822275e-09   0.9470   0.0274      329
features.15                      404    -0.068376 2.429975e-07 1.805702e-09   0.9145   0.0256      329
features.3                       135    -0.068367 9.220055e-09 5.930993e-08   0.7755   0.0102       57
features.16                      700    -0.067717 3.166024e-07 9.318432e-10   0.8614   0.0205      329
features.13                      382    -0.067697 3.456043e-08 3.434466e-09   0.8034   0.0140      201
features.14                      453    -0.067172 6.502984e-07 2.816790e-09   0.9217   0.0278      265
features.13                      355    -0.065169 2.141799e-08 3.016916e-09   0.6770   0.0028      201
features.11                      111    -0.064173 7.006335e-08 1.111616e-08   0.6772   0.0039      169
features.13                      468    -0.063483 5.115801e-08 3.609167e-09   0.8876   0.0281      201
features.6                       122    -0.063415 2.009582e-08 2.334484e-08   0.9268   0.0325       73
features.12                      519    -0.063305 9.784874e-08 4.054506e-09   0.9608   0.0364      201
features.10                       10    -0.061290 4.626443e-08 2.395685e-09   0.9032   0.0323      137
features.15                      196    -0.060342 5.722294e-07 1.904260e-09   0.9880   0.0427      329
features.13                      230    -0.059551 9.408551e-08 3.663120e-09   0.9494   0.0393      201
features.13                      383    -0.059551 2.655383e-08 3.455054e-09   0.7472   0.0169      201
features.15                      388    -0.058632 1.153849e-07 1.719763e-09   0.7709   0.0205      329
features.10                       35    -0.058065 1.079396e-07 2.631183e-09   0.9798   0.0444      137
features.12                      223    -0.057703 4.329427e-08 4.053580e-09   0.8796   0.0336      201
features.13                       66    -0.055899 1.445734e-08 2.582359e-09   0.5590   0.0000      201
features.9                        61    -0.053469 1.743797e-08 2.799084e-09   0.5714   0.0041      137
features.9                        90    -0.053469 3.250475e-08 3.242692e-09   0.7551   0.0245      137
features.16                       54    -0.052441 1.390221e-07 8.560686e-10   0.6236   0.0110      329
features.13                      335    -0.051966 1.148239e-07 3.784631e-09   0.9747   0.0506      201
features.16                      527    -0.050394 1.616727e-07 9.278689e-10   0.6740   0.0189      329
features.16                      762    -0.049921 5.007407e-07 1.083860e-09   0.9386   0.0488      329
features.14                      149    -0.049747 3.418434e-07 2.801931e-09   0.7247   0.0253      265
features.16                      335    -0.048976 1.438847e-07 9.048315e-10   0.6315   0.0157      329
features.14                      555    -0.047475 5.966074e-07 2.929556e-09   0.9066   0.0480      265
features.12                      162    -0.046779 1.381581e-07 4.199916e-09   0.9720   0.0560      201
features.17                      306    -0.046142 3.728658e-07 3.570782e-10   0.7746   0.0348      489
features.13                       20    -0.045787 1.796686e-08 3.485818e-09   0.6348   0.0197      201
features.14                      399    -0.045707 3.749147e-07 2.837565e-09   0.7525   0.0328      265
features.12                       86    -0.045378 1.428426e-08 3.581868e-09   0.5546   0.0112      201
features.14                      490    -0.043434 2.266216e-07 2.510797e-09   0.5480   0.0126      265
features.14                      258    -0.043182 2.387062e-07 2.558203e-09   0.5682   0.0152      265
features.9                       364    -0.042449 2.803298e-08 3.287245e-09   0.7184   0.0327      137
features.13                        8    -0.042416 7.072329e-08 3.793434e-09   0.9298   0.0562      201
features.16                      611    -0.041890 1.174653e-07 9.223470e-10   0.5748   0.0173      329
features.11                      345    -0.041732 3.673741e-08 1.097972e-08   0.4173   0.0000      169
features.7                       129    -0.041732 2.244783e-07 2.381202e-08   0.6299   0.0236      105
features.8                       377    -0.041296 3.958235e-08 7.119474e-09   0.8502   0.0486      137
features.5                       146    -0.040769 2.018349e-08 2.885603e-08   0.8231   0.0462       73
features.12                      328    -0.040616 1.429542e-08 3.595157e-09   0.5574   0.0168      201
features.15                      879    -0.040000 7.618954e-08 1.834562e-09   0.6769   0.0308      329
features.13                      381    -0.039888 1.167881e-08 3.394291e-09   0.5000   0.0112      201
features.17                      838    -0.039032 3.177742e-07 3.598783e-10   0.7171   0.0363      489
features.16                      485    -0.038425 2.530029e-07 1.067457e-09   0.7953   0.0457      329
features.17                      776    -0.038275 4.287062e-07 3.752194e-10   0.8321   0.0499      489
features.1                        26    -0.038095 3.687246e-09 1.616348e-07   0.3810   0.0000       25
features.11                       85    -0.037795 5.542509e-08 1.196901e-08   0.5906   0.0236      169
features.15                      659    -0.037265 3.530772e-08 1.622035e-09   0.4496   0.0085      329
features.9                       337    -0.037143 4.285060e-08 3.445454e-09   0.8122   0.0490      137
features.14                      330    -0.036869 2.156110e-07 2.586996e-09   0.5278   0.0177      265
features.11                      189    -0.036614 4.267622e-08 1.128752e-08   0.4724   0.0118      169
features.15                        0    -0.036581 2.763312e-08 1.456826e-09   0.3812   0.0017      329
features.9                       272    -0.036327 1.420924e-08 3.123972e-09   0.4735   0.0122      137
features.16                      304    -0.035276 1.239157e-07 9.977408e-10   0.5937   0.0268      329
features.2                        45    -0.034545 7.844111e-08 2.126729e-07   0.8364   0.0545       49
features.16                      797    -0.034488 7.783594e-08 8.896786e-10   0.4583   0.0126      329
features.15                      833    -0.033675 1.074712e-06 2.212681e-09   0.9983   0.0735      329
features.3                        54    -0.033673 3.146681e-09 6.006999e-08   0.5204   0.0204       57
features.14                      151    -0.033333 4.137497e-07 2.933583e-09   0.7879   0.0505      265
features.16                      697    -0.032126 2.283468e-07 1.087704e-09   0.7748   0.0504      329
features.16                      196    -0.031181 5.025857e-08 8.111457e-10   0.3402   0.0031      329
features.15                      576    -0.030427 7.184141e-08 1.900998e-09   0.6581   0.0393      329
features.16                      444    -0.030236 2.924007e-07 1.153823e-09   0.8268   0.0583      329
features.16                      499    -0.029921 3.187061e-07 1.162585e-09   0.8661   0.0630      329
features.3                       101    -0.029592 2.015451e-08 7.455034e-08   0.9388   0.0714       57
features.13                      424    -0.029494 6.720339e-08 3.947430e-09   0.9270   0.0702      201
features.13                      111    -0.029213 2.218420e-07 4.093498e-09   1.0000   0.0787      201
features.2                        14    -0.029091 1.564991e-09 1.794592e-07   0.2909   0.0000       49
features.15                      278    -0.028889 3.912843e-08 1.757584e-09   0.4889   0.0222      329
features.12                      346    -0.028852 1.465616e-08 4.023645e-09   0.5658   0.0308      201
features.16                      278    -0.028504 5.029093e-08 8.368116e-10   0.3417   0.0063      329
features.16                      557    -0.028504 3.281344e-07 1.175108e-09   0.8803   0.0661      329
features.6                       191    -0.028455 1.743035e-09 1.539697e-08   0.2846   0.0000       73
features.8                       378    -0.028340 3.374974e-08 7.296105e-09   0.8300   0.0607      137
features.16                      350    -0.027717 6.462232e-08 8.994165e-10   0.4047   0.0142      329
features.6                        87    -0.027642 4.078298e-09 2.245804e-08   0.4959   0.0244       73
features.4                        60    -0.027551 5.678669e-08 3.661701e-08   0.5510   0.0306       65
features.13                      134    -0.027528 7.164558e-09 3.311784e-09   0.3511   0.0084      201
features.12                      572    -0.027451 6.140665e-08 4.444505e-09   0.9300   0.0728      201
features.9                       309    -0.027347 2.393790e-08 3.377959e-09   0.6776   0.0449      137
features.16                      405    -0.027244 9.001749e-08 9.761668e-10   0.4992   0.0252      329
features.16                      684    -0.027087 5.527136e-07 1.197327e-09   0.9512   0.0756      329
features.6                       160    -0.026016 1.088102e-08 2.560352e-08   0.7724   0.0569       73
features.15                      905    -0.025983 4.925885e-07 2.324637e-09   0.9829   0.0803      329
features.17                      368    -0.025870 3.491019e-07 3.789764e-10   0.7489   0.0545      489
features.17                      288    -0.025719 1.297205e-07 3.117730e-10   0.3525   0.0106      489
features.2                        13    -0.025455 1.211920e-08 1.937542e-07   0.5818   0.0364       49
features.5                        93    -0.025385 2.872234e-08 3.058510e-08   0.8769   0.0692       73
features.14                      446    -0.025000 1.700393e-07 2.611888e-09   0.4318   0.0202      265
features.15                      568    -0.024957 9.554419e-08 2.089147e-09   0.7265   0.0530      329
features.17                      347    -0.024660 1.711252e-07 3.440745e-10   0.4781   0.0257      489
features.15                       43    -0.024615 1.834564e-07 2.166321e-09   0.8615   0.0684      329
features.15                      460    -0.024615 1.178499e-06 2.371500e-09   1.0000   0.0838      329
features.13                      385    -0.024438 6.223479e-09 3.218095e-09   0.2949   0.0056      201
features.16                      729    -0.024094 7.177469e-08 9.587019e-10   0.4394   0.0220      329
features.5                        47    -0.023846 5.208066e-09 2.301464e-08   0.4462   0.0231       73
features.15                      756    -0.023761 1.941253e-08 1.516506e-09   0.2684   0.0034      329
features.17                      631    -0.023752 2.608923e-07 3.714843e-10   0.6324   0.0439      489
features.15                      173    -0.023077 2.697316e-08 1.679924e-09   0.3692   0.0154      329
features.15                      190    -0.022735 1.665808e-08 1.172640e-09   0.2274   0.0000      329
features.8                       190    -0.022672 6.477718e-09 6.040493e-09   0.2996   0.0081      137
features.15                      425    -0.022564 4.552997e-08 1.867808e-09   0.5333   0.0342      329
features.14                      425    -0.022475 1.072413e-07 1.923395e-09   0.2247   0.0000      265
features.13                      123    -0.022472 1.438590e-08 3.650543e-09   0.5534   0.0365      201
features.9                       209    -0.022449 6.330474e-09 2.702593e-09   0.2245   0.0000      137
features.15                      730    -0.022051 3.899846e-08 1.833593e-09   0.4821   0.0291      329
features.12                      440    -0.021849 6.522889e-09 3.562602e-09   0.2941   0.0084      201
features.17                      349    -0.021634 9.502678e-08 2.947754e-10   0.2436   0.0030      489
features.13                      323    -0.021629 9.870714e-09 3.556944e-09   0.4438   0.0253      201
features.4                        48    -0.021429 1.508461e-08 3.441333e-08   0.2143   0.0000       65
features.10                      248    -0.021371 1.074133e-08 2.290150e-09   0.4315   0.0242      137
