================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 6
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-26 15:53:11
  remove_target  : 105003
  accum_removed  : 105486
  selected_channels : 422
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1454850
  model_sparsity : 36.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       14    43.8%
  features.2                 96          6       52    54.2%
  features.3                144         10       63    43.8%
  features.4                144          7       61    42.4%
  features.5                192         14       88    45.8%
  features.6                192         12       91    47.4%
  features.7                192         13       88    45.8%
  features.8                384         23      186    48.4%
  features.9                384         21      181    47.1%
  features.10               384         25      185    48.2%
  features.11               384         19      167    43.5%
  features.12               576         35      291    50.5%
  features.13               576         32      286    49.7%
  features.14               576         31      253    43.9%
  features.15               960         51      487    50.7%
  features.16               960         59      450    46.9%
  features.17               960         62      423    44.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 20          1       5.0%
  features.2                 50          1       2.0%
  features.3                 91          1       1.1%
  features.4                 90          1       1.1%
  features.5                118          1       0.8%
  features.6                113          1       0.9%
  features.7                117          1       0.9%
  features.8                221          2       0.9%
  features.9                224          2       0.9%
  features.10               224          2       0.9%
  features.11               236          2       0.8%
  features.12               320          2       0.6%
  features.13               322          2       0.6%
  features.14               354          2       0.6%
  features.15               524          3       0.6%
  features.16               569          3       0.5%
  features.17               599          3       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 25채널 제거
  features.11: 19채널 제거
  features.12: 35채널 제거
  features.13: 32채널 제거
  features.14: 31채널 제거
  features.15: 51채널 제거
  features.16: 59채널 제거
  features.17: 62채널 제거
  features.2: 6채널 제거
  features.3: 10채널 제거
  features.4: 7채널 제거
  features.5: 14채널 제거
  features.6: 12채널 제거
  features.7: 13채널 제거
  features.8: 23채널 제거
  features.9: 21채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      737    -0.097514 3.970717e-07 2.300175e-09   0.9751   0.0000      329
features.16                      609    -0.091725 5.102686e-07 1.133726e-09   0.9489   0.0035      329
features.6                       132    -0.085714 1.720101e-08 2.345385e-08   0.8571   0.0000       73
features.16                      484    -0.078697 9.259023e-07 1.317477e-09   0.9930   0.0229      329
features.8                        67    -0.078182 4.101061e-08 7.754395e-09   0.8636   0.0091      137
features.12                      192    -0.074295 3.697889e-08 4.697599e-09   0.8276   0.0094      201
features.2                         8    -0.073469 5.334613e-08 2.296568e-07   0.7347   0.0000       49
features.17                      177    -0.072910 6.037755e-07 4.206867e-10   0.9398   0.0234      489
features.15                      300    -0.071893 7.870158e-07 2.982763e-09   0.9943   0.0306      329
features.13                      305    -0.068224 2.236366e-08 3.365182e-09   0.6822   0.0000      201
features.2                        56    -0.067347 1.009264e-07 2.738672e-07   0.8571   0.0204       49
features.16                      506    -0.067254 2.473180e-07 1.235117e-09   0.7835   0.0123      329
features.16                       11    -0.061444 4.845458e-07 1.413078e-09   0.9313   0.0352      329
features.11                       71    -0.060851 1.639768e-07 1.744468e-08   0.8766   0.0298      169
features.6                        95    -0.059821 1.202083e-08 2.683281e-08   0.7589   0.0179       73
features.16                       26    -0.059155 2.200302e-07 1.263507e-09   0.7500   0.0176      329
features.14                      224    -0.058924 1.028533e-06 3.983854e-09   0.9717   0.0425      265
features.15                       49    -0.058700 2.316243e-07 3.018997e-09   0.8967   0.0344      329
features.8                        40    -0.058182 4.165058e-08 8.603429e-09   0.8682   0.0318      137
features.15                      476    -0.058126 2.612312e-07 3.070465e-09   0.9254   0.0382      329
features.9                       307    -0.057848 3.786408e-08 4.335366e-09   0.7803   0.0224      137
features.16                      104    -0.055282 2.037421e-07 1.270980e-09   0.7271   0.0194      329
features.10                       13    -0.055157 5.438559e-08 3.164122e-09   0.9148   0.0404      137
features.13                      187    -0.053894 1.445260e-08 3.608119e-09   0.5670   0.0031      201
features.17                      276    -0.053177 3.815013e-07 4.261357e-10   0.7575   0.0251      489
features.16                       37    -0.052289 1.079917e-07 1.008736e-09   0.5387   0.0018      329
features.16                      732    -0.052289 2.173617e-07 1.318403e-09   0.7447   0.0246      329
