================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 13
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-27 00:27:59
  remove_target  : 50122
  accum_removed  : 50205
  selected_channels : 205
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 961319
  model_sparsity : 58.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       25    78.1%
  features.2                 96          2       76    79.2%
  features.3                144          5      106    73.6%
  features.4                144          5      107    74.3%
  features.5                192          4      138    71.9%
  features.6                192          5      144    75.0%
  features.7                192          6      143    74.5%
  features.8                384         13      283    73.7%
  features.9                384         12      290    75.5%
  features.10               384         12      287    74.7%
  features.11               384         15      277    72.1%
  features.12               576         15      438    76.0%
  features.13               576         14      445    77.3%
  features.14               576         18      431    74.8%
  features.15               960         23      728    75.8%
  features.16               960         28      715    74.5%
  features.17               960         27      704    73.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 22          1       4.5%
  features.3                 43          1       2.3%
  features.4                 42          1       2.4%
  features.5                 58          1       1.7%
  features.6                 53          1       1.9%
  features.7                 55          1       1.8%
  features.8                114          1       0.9%
  features.9                106          1       0.9%
  features.10               109          1       0.9%
  features.11               122          1       0.8%
  features.12               153          1       0.7%
  features.13               145          1       0.7%
  features.14               163          1       0.6%
  features.15               255          2       0.8%
  features.16               273          2       0.7%
  features.17               283          2       0.7%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 12채널 제거
  features.11: 15채널 제거
  features.12: 15채널 제거
  features.13: 14채널 제거
  features.14: 18채널 제거
  features.15: 23채널 제거
  features.16: 28채널 제거
  features.17: 27채널 제거
  features.2: 2채널 제거
  features.3: 5채널 제거
  features.4: 5채널 제거
  features.5: 4채널 제거
  features.6: 5채널 제거
  features.7: 6채널 제거
  features.8: 13채널 제거
  features.9: 12채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      122    -0.081496 3.697206e-07 1.509955e-08   0.8858   0.0079      329
features.6                       169    -0.078846 2.263591e-08 1.308063e-07   0.7885   0.0000       73
features.15                      669    -0.076772 5.086513e-07 1.691504e-08   0.9449   0.0197      329
features.3                        96    -0.073810 8.824900e-09 9.732444e-07   0.7381   0.0000       57
features.10                      186    -0.068519 8.744119e-08 1.961609e-08   0.9352   0.0278      137
features.12                      129    -0.059868 3.893395e-08 3.432104e-08   0.7763   0.0197      201
features.7                         2    -0.057407 7.443478e-07 2.091090e-07   0.7407   0.0185      105
features.7                       146    -0.057407 1.063204e-06 2.161287e-07   0.9074   0.0370      105
features.1                         8    -0.057143 1.940633e-08 1.317860e-04   0.5714   0.0000       25
features.3                        55    -0.057143 1.448083e-08 1.383958e-06   0.7857   0.0238       57
features.16                      364    -0.056250 4.276661e-07 1.092276e-08   0.8272   0.0294      329
features.17                      169    -0.055674 5.165016e-07 3.379484e-09   0.6844   0.0142      489
features.16                      136    -0.055147 2.871468e-07 1.068783e-08   0.7500   0.0221      329
features.17                      127    -0.054255 4.761229e-07 3.330807e-09   0.6383   0.0106      489
features.17                      746    -0.054255 3.856320e-07 3.051866e-09   0.5426   0.0000      489
features.15                      875    -0.053543 1.892537e-07 1.719172e-08   0.7835   0.0276      329
features.13                      564    -0.053472 2.847206e-08 3.794224e-08   0.6597   0.0139      201
features.15                      630    -0.051575 8.027204e-08 1.383811e-08   0.5512   0.0039      329
features.5                       148    -0.050877 2.380103e-08 2.442599e-07   0.6667   0.0175       73
features.8                        37    -0.049558 2.280233e-08 5.341679e-08   0.5752   0.0088      137
features.4                        70    -0.048780 1.015608e-07 3.215287e-07   0.4878   0.0000       65
features.16                      667    -0.044485 7.981422e-07 1.172709e-08   0.9412   0.0551      329
features.5                       165    -0.043860 3.016755e-08 2.573993e-07   0.7544   0.0351       73
features.2                        29    -0.042857 9.312225e-09 2.952627e-06   0.4286   0.0000       49
features.16                      726    -0.040441 1.037236e-07 9.061827e-09   0.4044   0.0000      329
features.13                      101    -0.040278 1.718769e-08 3.557223e-08   0.4653   0.0069      201
features.10                      251    -0.039815 1.906226e-08 1.565374e-08   0.3981   0.0000      137
features.13                      441    -0.039583 2.716602e-08 4.233156e-08   0.6458   0.0278      201
features.9                       187    -0.039048 1.585845e-07 3.627067e-08   0.9905   0.0667      137
features.12                       39    -0.037500 1.213711e-08 2.635591e-08   0.3750   0.0000      201
features.15                      412    -0.037008 3.322912e-07 1.815836e-08   0.8661   0.0551      329
features.16                      328    -0.036397 5.871295e-07 1.177748e-08   0.8934   0.0588      329
features.15                      682    -0.035827 8.532314e-08 1.692968e-08   0.5709   0.0236      329
features.14                      126    -0.035802 3.202738e-07 2.238825e-08   0.5247   0.0185      265
features.16                       46    -0.034191 1.488659e-07 1.043664e-08   0.5074   0.0184      329
features.14                      354    -0.033951 4.891156e-07 2.326079e-08   0.7284   0.0432      265
features.6                        75    -0.032692 1.073375e-08 2.116523e-07   0.5000   0.0192       73
features.13                      394    -0.032639 2.118152e-08 3.991450e-08   0.5139   0.0208      201
features.5                       184    -0.031579 5.105874e-09 2.175111e-07   0.3158   0.0000       73
features.15                      914    -0.031102 1.175289e-07 1.789177e-08   0.7008   0.0433      329
features.16                      351    -0.029779 2.068194e-07 1.138304e-08   0.6287   0.0368      329
features.4                       103    -0.029268 1.178719e-07 3.583568e-07   0.5122   0.0244       65
features.11                      241    -0.028926 1.144411e-07 1.550466e-07   0.5868   0.0331      169
features.11                      139    -0.028926 7.654960e-08 1.401713e-07   0.4380   0.0165      169
features.11                      339    -0.028099 8.786185e-08 1.542036e-07   0.5041   0.0248      169
features.9                       376    -0.027619 2.437490e-08 3.221529e-08   0.4476   0.0190      137
features.10                       88    -0.025926 5.957224e-08 2.146855e-08   0.8426   0.0648      137
features.16                      534    -0.025735 7.961965e-08 9.908038e-09   0.3566   0.0110      329
features.15                      208    -0.025591 9.341007e-08 1.761431e-08   0.6102   0.0394      329
features.15                      802    -0.023622 4.246856e-08 1.621261e-08   0.3780   0.0157      329
features.12                      201    -0.023026 1.949740e-08 3.709464e-08   0.5855   0.0395      201
features.8                        50    -0.023009 1.038432e-08 2.988575e-08   0.2301   0.0000      137
features.10                       17    -0.022222 6.870140e-08 2.179552e-08   0.8889   0.0741      137
features.14                      247    -0.022222 3.088683e-07 2.298922e-08   0.5000   0.0309      265
features.17                      254    -0.019504 5.473909e-07 3.663051e-09   0.7057   0.0567      489
features.6                        28    -0.019231 3.779235e-08 2.535074e-07   0.8846   0.0769       73
features.17                       61    -0.018085 7.655107e-07 3.711449e-09   0.8511   0.0745      489
features.14                        9    -0.017901 8.017584e-07 2.404837e-08   0.8457   0.0741      265
features.17                      751    -0.017730 2.252741e-07 3.395030e-09   0.3369   0.0177      489
features.17                      112    -0.017376 3.258524e-07 3.531775e-09   0.4610   0.0319      489
