================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 16
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-27 04:42:31
  remove_target  : 36518
  accum_removed  : 36833
  selected_channels : 145
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 838647
  model_sparsity : 63.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       28    87.5%
  features.2                 96          2       82    85.4%
  features.3                144          4      118    81.9%
  features.4                144          3      119    82.6%
  features.5                192          3      151    78.6%
  features.6                192          3      158    82.3%
  features.7                192          6      157    81.8%
  features.8                384          8      308    80.2%
  features.9                384          8      317    82.6%
  features.10               384          7      319    83.1%
  features.11               384          6      304    79.2%
  features.12               576          9      474    82.3%
  features.13               576          9      481    83.5%
  features.14               576         12      470    81.6%
  features.15               960         21      791    82.4%
  features.16               960         23      785    81.8%
  features.17               960         20      771    80.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  5          1      20.0%
  features.2                 16          1       6.2%
  features.3                 30          1       3.3%
  features.4                 28          1       3.6%
  features.5                 44          1       2.3%
  features.6                 37          1       2.7%
  features.7                 41          1       2.4%
  features.8                 84          1       1.2%
  features.9                 75          1       1.3%
  features.10                72          1       1.4%
  features.11                86          1       1.2%
  features.12               111          1       0.9%
  features.13               104          1       1.0%
  features.14               118          1       0.8%
  features.15               190          1       0.5%
  features.16               198          1       0.5%
  features.17               209          2       1.0%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 6채널 제거
  features.12: 9채널 제거
  features.13: 9채널 제거
  features.14: 12채널 제거
  features.15: 21채널 제거
  features.16: 23채널 제거
  features.17: 20채널 제거
  features.2: 2채널 제거
  features.3: 4채널 제거
  features.4: 3채널 제거
  features.5: 3채널 제거
  features.6: 3채널 제거
  features.7: 6채널 제거
  features.8: 8채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      474    -0.097087 1.975024e-07 8.557753e-08   0.9709   0.0000      201
features.6                        25    -0.094444 4.711289e-08 3.125748e-07   0.9444   0.0000       73
features.4                       138    -0.077778 3.776669e-07 9.070917e-07   0.7778   0.0000       65
features.8                       193    -0.075904 1.394571e-07 1.002020e-07   0.9759   0.0241      137
features.9                         6    -0.066216 6.301730e-08 4.744484e-08   0.7838   0.0135      137
features.3                        11    -0.065517 7.896340e-09 2.010638e-06   0.6552   0.0000       57
features.6                        29    -0.061111 2.836293e-08 4.295899e-07   0.8611   0.0278       73
features.17                      579    -0.054327 1.440061e-06 6.085514e-09   0.9760   0.0481      489
features.12                      410    -0.052727 3.967560e-08 7.368237e-08   0.6909   0.0182      201
features.7                        58    -0.052500 4.429716e-07 4.272619e-07   0.5250   0.0000      105
features.10                      332    -0.050704 3.495801e-08 3.254458e-08   0.5070   0.0000      137
features.1                        18    -0.050000 3.857908e-08 1.899685e-03   0.5000   0.0000       25
features.5                        58    -0.048837 3.055800e-08 4.949900e-07   0.6977   0.0233       73
features.17                      792    -0.048558 6.251144e-07 5.677635e-09   0.7019   0.0240      489
features.17                      654    -0.048558 5.163668e-07 5.423329e-09   0.6154   0.0144      489
features.17                      448    -0.045673 3.962940e-07 4.857942e-09   0.5000   0.0048      489
features.15                      548    -0.043915 6.497390e-08 3.067590e-08   0.4392   0.0000      329
features.17                        5    -0.043269 6.131660e-07 5.749122e-09   0.6923   0.0288      489
features.15                      544    -0.040741 2.515218e-07 3.300628e-08   0.7884   0.0423      329
features.16                       82    -0.040609 2.903115e-07 2.541861e-08   0.6802   0.0305      329
features.17                      269    -0.040385 3.095985e-07 4.581253e-09   0.4038   0.0000      489
features.8                        47    -0.038554 1.904587e-08 9.335137e-08   0.3855   0.0000      137
features.13                      459    -0.037864 1.922162e-08 8.571016e-08   0.4660   0.0097      201
features.17                      810    -0.034135 4.112338e-07 5.676358e-09   0.5144   0.0192      489
features.17                      845    -0.032692 8.137199e-07 6.091466e-09   0.8029   0.0529      489
features.15                      263    -0.032275 7.094409e-08 3.193587e-08   0.4656   0.0159      329
features.15                      538    -0.032275 1.500393e-07 3.296110e-08   0.6561   0.0370      329
