================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-27 06:23:35
  remove_target  : 32834
  accum_removed  : 33070
  selected_channels : 134
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 805577
  model_sparsity : 64.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       29    90.6%
  features.2                 96          2       84    87.5%
  features.3                144          3      121    84.0%
  features.4                144          3      122    84.7%
  features.5                192          5      156    81.2%
  features.6                192          4      162    84.4%
  features.7                192          4      161    83.9%
  features.8                384          8      316    82.3%
  features.9                384          7      324    84.4%
  features.10               384          7      326    84.9%
  features.11               384          7      311    81.0%
  features.12               576         10      484    84.0%
  features.13               576          8      489    84.9%
  features.14               576          9      479    83.2%
  features.15               960         19      810    84.4%
  features.16               960         19      804    83.8%
  features.17               960         18      789    82.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  4          1      25.0%
  features.2                 14          1       7.1%
  features.3                 26          1       3.8%
  features.4                 25          1       4.0%
  features.5                 41          1       2.4%
  features.6                 34          1       2.9%
  features.7                 35          1       2.9%
  features.8                 76          1       1.3%
  features.9                 67          1       1.5%
  features.10                65          1       1.5%
  features.11                80          1       1.2%
  features.12               102          1       1.0%
  features.13                95          1       1.1%
  features.14               106          1       0.9%
  features.15               169          1       0.6%
  features.16               175          1       0.6%
  features.17               189          1       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 7채널 제거
  features.12: 10채널 제거
  features.13: 8채널 제거
  features.14: 9채널 제거
  features.15: 19채널 제거
  features.16: 19채널 제거
  features.17: 18채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 5채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 8채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.5                        35    -0.082500 7.324949e-08 5.037983e-07   0.8250   0.0000       73
features.16                      392    -0.070115 3.164747e-07 1.699042e-08   0.7011   0.0000      329
features.9                        69    -0.066667 5.362308e-08 7.690225e-08   0.6667   0.0000      137
features.16                       91    -0.064943 6.754196e-07 3.057577e-08   0.8563   0.0230      329
features.2                        57    -0.061538 1.239982e-07 2.174587e-05   0.6154   0.0000       49
features.11                      261    -0.059494 1.597682e-07 3.610520e-07   0.5949   0.0000      169
features.12                       50    -0.056436 6.050806e-08 1.014220e-07   0.8317   0.0297      201
features.17                      486    -0.054787 5.590059e-07 6.296152e-09   0.6436   0.0106      489
features.16                      880    -0.053448 7.258861e-07 3.256103e-08   0.8966   0.0402      329
features.8                        71    -0.050667 2.583103e-08 9.858670e-08   0.5067   0.0000      137
features.7                       171    -0.050000 4.984182e-07 5.226149e-07   0.5000   0.0000      105
features.16                      187    -0.043678 4.200863e-07 3.198777e-08   0.7471   0.0345      329
features.15                      221    -0.043452 8.652457e-08 3.594517e-08   0.4881   0.0060      329
features.14                      549    -0.042857 3.933417e-07 4.847868e-08   0.5143   0.0095      265
features.17                       86    -0.042553 6.284801e-07 6.695188e-09   0.6649   0.0266      489
features.11                      161    -0.041772 1.475275e-07 4.308941e-07   0.5316   0.0127      169
features.17                       15    -0.040957 1.018658e-06 6.835109e-09   0.8404   0.0479      489
features.8                       140    -0.040000 5.331948e-08 1.465951e-07   0.7600   0.0400      137
features.15                      272    -0.038690 5.366932e-08 3.536300e-08   0.3869   0.0000      329
features.17                      768    -0.037766 3.309935e-07 6.263021e-09   0.4255   0.0053      489
features.5                       101    -0.035000 6.555701e-08 7.808683e-07   0.8000   0.0500       73
features.1                         4    -0.033333 5.774681e-08 2.096451e-03   0.3333   0.0000       25
features.4                        28    -0.033333 1.224901e-07 1.213454e-06   0.3333   0.0000       65
features.17                       75    -0.032447 4.265093e-07 6.672483e-09   0.5160   0.0213      489
features.9                        15    -0.031818 2.896853e-08 8.414476e-08   0.4545   0.0152      137
features.12                      347    -0.031683 7.228435e-08 1.041640e-07   0.8515   0.0594      201
features.14                      536    -0.031429 5.052656e-07 5.037386e-08   0.5714   0.0286      265
