================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 20
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-27 10:45:51
  remove_target  : 23887
  accum_removed  : 24040
  selected_channels : 96
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 725131
  model_sparsity : 68.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       31    96.9%
  features.2                 96          2       88    91.7%
  features.3                144          1      129    89.6%
  features.4                144          3      129    89.6%
  features.5                192          3      165    85.9%
  features.6                192          1      170    88.5%
  features.7                192          1      169    88.0%
  features.8                384          6      333    86.7%
  features.9                384          4      342    89.1%
  features.10               384          5      346    90.1%
  features.11               384          8      335    87.2%
  features.12               576          9      506    87.8%
  features.13               576          7      514    89.2%
  features.14               576          6      503    87.3%
  features.15               960         15      852    88.8%
  features.16               960         13      848    88.3%
  features.17               960         12      833    86.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  1          1     100.0%
  features.2                 10          1      10.0%
  features.3                 16          1       6.2%
  features.4                 18          1       5.6%
  features.5                 30          1       3.3%
  features.6                 23          1       4.3%
  features.7                 24          1       4.2%
  features.8                 57          1       1.8%
  features.9                 46          1       2.2%
  features.10                43          1       2.3%
  features.11                57          1       1.8%
  features.12                79          1       1.3%
  features.13                69          1       1.4%
  features.14                79          1       1.3%
  features.15               123          1       0.8%
  features.16               125          1       0.8%
  features.17               139          1       0.7%

[ 블록별 제거 채널 수 ]
  features.10: 5채널 제거
  features.11: 8채널 제거
  features.12: 9채널 제거
  features.13: 7채널 제거
  features.14: 6채널 제거
  features.15: 15채널 제거
  features.16: 13채널 제거
  features.17: 12채널 제거
  features.2: 2채널 제거
  features.3: 1채널 제거
  features.4: 3채널 제거
  features.5: 3채널 제거
  features.6: 1채널 제거
  features.7: 1채널 제거
  features.8: 6채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                       53    -0.098214 6.396496e-07 1.325344e-06   0.9821   0.0000      169
features.17                       30    -0.086957 1.397912e-06 1.072591e-08   0.8696   0.0000      489
features.14                      524    -0.076923 1.318618e-06 8.718070e-08   0.8846   0.0128      265
features.9                       219    -0.073333 7.127318e-08 1.539142e-07   0.7333   0.0000      137
features.11                      185    -0.071429 3.701039e-07 1.380177e-06   0.8750   0.0179      169
features.10                       52    -0.066667 1.191391e-07 2.017508e-07   0.8810   0.0238      137
features.16                       64    -0.066129 1.054775e-06 6.395697e-08   0.9516   0.0323      329
features.7                        99    -0.056522 8.514970e-07 1.300159e-06   0.5652   0.0000      105
features.10                      256    -0.050000 3.545648e-08 1.644638e-07   0.5000   0.0000      137
features.13                      297    -0.050000 2.657266e-08 1.566321e-07   0.5000   0.0000      201
features.15                      650    -0.047541 1.495240e-06 8.210136e-08   0.9918   0.0574      329
features.17                      543    -0.044203 5.186761e-07 1.162955e-08   0.5072   0.0072      489
features.16                      388    -0.041129 1.567552e-07 5.203007e-08   0.4113   0.0000      329
features.15                      864    -0.040164 6.828486e-08 6.879861e-08   0.4016   0.0000      329
features.10                      289    -0.038095 8.385981e-08 2.094698e-07   0.8095   0.0476      137
features.15                      539    -0.036885 7.763799e-08 7.035263e-08   0.4426   0.0082      329
features.4                        58    -0.035294 5.479258e-07 4.755181e-06   0.8824   0.0588       65
features.5                       130    -0.034483 2.646180e-08 1.147955e-06   0.6552   0.0345       73
features.15                      141    -0.033607 9.353614e-08 7.123815e-08   0.4836   0.0164      329
features.12                      452    -0.032051 2.372266e-08 1.801480e-07   0.4359   0.0128      201
features.17                      385    -0.027536 5.549414e-07 1.246743e-08   0.5362   0.0290      489
features.6                       127    -0.027273 7.014808e-09 1.458432e-06   0.2727   0.0000       73
features.14                      534    -0.025641 4.508101e-07 8.736717e-08   0.4872   0.0256      265
features.16                      689    -0.025000 5.137771e-07 6.846048e-08   0.7581   0.0565      329
features.8                       128    -0.025000 2.718947e-08 2.138097e-07   0.4107   0.0179      137
features.2                        78    -0.022222 1.247182e-08 3.848042e-05   0.2222   0.0000       49
features.13                       97    -0.022059 3.278879e-08 2.452213e-07   0.6176   0.0441      201
features.17                      151    -0.020290 1.578342e-06 1.410927e-08   0.9203   0.0797      489
features.8                       325    -0.017857 5.221356e-08 3.173558e-07   0.6607   0.0536      137
features.12                      357    -0.016667 3.980551e-08 2.121880e-07   0.6282   0.0513      201
features.17                      922    -0.014493 3.068613e-07 1.212990e-08   0.3406   0.0217      489
features.11                      100    -0.014286 5.757254e-07 1.582160e-06   0.9464   0.0893      169
features.12                       74    -0.014103 2.632618e-08 2.004496e-07   0.4872   0.0385      201
features.14                      200    -0.012821 5.474660e-07 8.794635e-08   0.5897   0.0513      265
features.14                      463    -0.012821 2.038080e-07 8.380792e-08   0.1282   0.0000      265
features.12                      286    -0.010256 4.512604e-08 2.180825e-07   0.6795   0.0641      201
features.12                      564    -0.007692 5.497735e-08 2.298458e-07   0.7692   0.0769      201
features.17                       78    -0.007246 1.326666e-06 1.418289e-08   0.8551   0.0870      489
features.17                      593    -0.007246 7.608122e-07 1.356451e-08   0.6594   0.0652      489
features.9                       356    -0.006667 2.242123e-08 1.600284e-07   0.2667   0.0222      137
features.4                       115    -0.005882 1.275393e-08 3.600816e-06   0.0588   0.0000       65
features.12                      151    -0.003846 8.573650e-08 2.361050e-07   0.8462   0.0897      201
features.11                       95    -0.003571 1.497262e-07 1.405391e-06   0.3571   0.0357      169
features.5                       118    -0.003448 2.897122e-09 8.719269e-07   0.0345   0.0000       73
features.12                       78    -0.002564 3.959226e-09 1.201201e-07   0.0256   0.0000      201
features.8                       196    -0.001786 8.123684e-09 1.950725e-07   0.0179   0.0000      137
features.15                      791    -0.001639 1.495408e-07 8.443482e-08   0.6066   0.0656      329
features.3                       106     0.000000 8.926146e-10 1.525132e-05   0.0000   0.0000       57
features.8                       113     0.000000 2.372680e-08 2.952085e-07   0.3214   0.0357      137
features.17                      331     0.000000 1.368112e-07 1.191564e-08   0.1304   0.0145      489
features.15                      583     0.000820 4.171532e-08 7.148979e-08   0.2131   0.0246      329
features.13                      237     0.001471 1.542987e-08 2.374871e-07   0.2500   0.0294      201
features.13                      537     0.001471 1.214109e-07 3.024422e-07   0.9118   0.1029      201
features.9                       134     0.002222 7.733231e-08 2.449272e-07   0.7778   0.0889      137
features.15                      786     0.002459 4.852411e-07 9.435659e-08   0.8607   0.0984      329
features.14                      471     0.006410 2.922901e-07 8.741038e-08   0.2821   0.0385      265
features.15                      382     0.006557 4.453398e-08 7.635622e-08   0.2295   0.0328      329
features.5                        17     0.006897 2.236534e-08 1.768449e-06   0.5517   0.0690       73
features.16                      821     0.007258 3.335021e-09 5.381253e-08   0.0000   0.0081      329
features.9                       205     0.008889 2.636441e-08 2.134289e-07   0.3111   0.0444      137
features.10                      125     0.009524 3.741875e-08 2.142134e-07   0.5476   0.0714      137
features.15                      347     0.009836 1.341155e-07 8.778888e-08   0.5656   0.0738      329
features.16                      662     0.010484 9.723839e-08 6.685037e-08   0.3306   0.0484      329
features.16                      815     0.010484 1.220757e-08 5.873842e-08   0.0403   0.0161      329
features.11                      112     0.010714 1.538455e-07 1.510300e-06   0.3750   0.0536      169
features.15                      235     0.011475 5.707562e-08 8.136136e-08   0.3279   0.0492      329
features.14                      181     0.011538 1.078832e-06 9.190783e-08   0.8077   0.1026      265
features.13                      145     0.011765 3.144205e-09 1.876272e-07   0.0147   0.0147      201
features.16                      116     0.012097 2.285547e-08 6.104034e-08   0.0968   0.0242      329
features.16                      513     0.012097 2.873276e-07 7.043998e-08   0.6048   0.0806      329
features.11                      372     0.012500 1.969376e-07 1.522169e-06   0.5179   0.0714      169
features.16                      805     0.012903 1.815035e-07 6.903409e-08   0.4516   0.0645      329
features.17                      902     0.013043 2.199993e-07 1.294402e-08   0.2609   0.0435      489
features.15                      277     0.013115 4.058267e-07 9.439345e-08   0.8279   0.1066      329
features.17                      525     0.013768 2.913502e-07 1.322400e-08   0.3188   0.0507      489
features.12                      127     0.014103 6.742676e-09 1.912513e-07   0.0897   0.0256      201
features.16                      250     0.015323 2.217888e-07 7.014710e-08   0.5000   0.0726      329
features.16                      214     0.016129 5.772401e-07 7.204262e-08   0.7823   0.1048      329
features.17                      916     0.018116 1.465302e-07 1.289790e-08   0.1449   0.0362      489
features.10                      233     0.021429 5.265784e-08 2.294464e-07   0.6429   0.0952      137
features.2                         6     0.022222 2.171794e-07 7.819744e-05   0.7778   0.1111       49
features.11                      374     0.023214 2.957459e-07 1.643018e-06   0.7321   0.1071      169
features.12                      166     0.024359 6.110313e-08 2.450330e-07   0.7949   0.1154      201
features.8                       244     0.025000 2.524188e-08 3.484699e-07   0.3929   0.0714      137
features.11                      349     0.026786 3.630898e-07 1.704430e-06   0.8571   0.1250      169
features.17                      854     0.026812 2.073487e-07 1.323970e-08   0.2536   0.0580      489
features.15                      947     0.028689 2.128056e-08 7.645148e-08   0.0820   0.0410      329
features.4                        43     0.029412 4.734906e-07 4.927909e-06   0.7647   0.1176       65
features.15                       24     0.030328 7.118806e-07 9.969705e-08   0.9508   0.1393      329
features.16                      451     0.030645 1.632096e-08 6.643614e-08   0.0565   0.0403      329
