================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 21
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-27 11:59:05
  remove_target  : 21483
  accum_removed  : 21606
  selected_channels : 86
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 703525
  model_sparsity : 69.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       31    96.9%
  features.2                 96          2       90    93.8%
  features.3                144          2      131    91.0%
  features.4                144          2      131    91.0%
  features.5                192          3      168    87.5%
  features.6                192          2      172    89.6%
  features.7                192          3      172    89.6%
  features.8                384          4      337    87.8%
  features.9                384          5      347    90.4%
  features.10               384          4      350    91.1%
  features.11               384          5      340    88.5%
  features.12               576          6      512    88.9%
  features.13               576          6      520    90.3%
  features.14               576          8      511    88.7%
  features.15               960         10      862    89.8%
  features.16               960         10      858    89.4%
  features.17               960         14      847    88.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  1          1     100.0%
  features.2                  8          1      12.5%
  features.3                 15          1       6.7%
  features.4                 15          1       6.7%
  features.5                 27          1       3.7%
  features.6                 22          1       4.5%
  features.7                 23          1       4.3%
  features.8                 51          1       2.0%
  features.9                 42          1       2.4%
  features.10                38          1       2.6%
  features.11                49          1       2.0%
  features.12                70          1       1.4%
  features.13                62          1       1.6%
  features.14                73          1       1.4%
  features.15               108          1       0.9%
  features.16               112          1       0.9%
  features.17               127          1       0.8%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 5채널 제거
  features.12: 6채널 제거
  features.13: 6채널 제거
  features.14: 8채널 제거
  features.15: 10채널 제거
  features.16: 10채널 제거
  features.17: 14채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 3채널 제거
  features.8: 4채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      836    -0.083333 1.269608e-06 1.356958e-08   0.8333   0.0000      489
features.17                      706    -0.074603 1.193029e-06 1.410751e-08   0.8175   0.0079      489
features.12                      189    -0.071014 2.211129e-07 2.672916e-07   0.9710   0.0290      201
features.14                      338    -0.062500 7.222774e-07 1.266329e-07   0.7500   0.0139      265
features.13                      495    -0.062295 5.828094e-08 3.642089e-07   0.7705   0.0164      201
features.15                      169    -0.058879 1.553955e-07 1.137821e-07   0.5888   0.0000      329
features.8                       306    -0.058000 4.801942e-08 3.087859e-07   0.5800   0.0000      137
features.12                       80    -0.057971 3.237385e-08 2.389067e-07   0.5797   0.0000      201
features.15                      845    -0.051402 1.581217e-07 1.167425e-07   0.5981   0.0093      329
features.10                      361    -0.051351 3.299165e-08 3.476663e-07   0.5135   0.0000      137
features.17                      626    -0.050000 8.944052e-07 1.445392e-08   0.7143   0.0238      489
features.9                       369    -0.043902 6.192393e-08 1.835281e-07   0.6585   0.0244      137
features.16                      218    -0.043243 7.989443e-07 1.082534e-07   0.8378   0.0450      329
features.2                        42    -0.042857 2.863071e-08 1.677524e-04   0.4286   0.0000       49
features.11                      314    -0.041667 2.168815e-07 2.186266e-06   0.6042   0.0208      169
features.16                       62    -0.039640 1.967165e-07 8.344305e-08   0.4775   0.0090      329
features.6                        54    -0.038095 8.290607e-09 3.214533e-06   0.3810   0.0000       73
features.13                      188    -0.037705 1.848830e-08 2.704866e-07   0.3770   0.0000      201
features.16                       56    -0.036937 1.135498e-07 8.312088e-08   0.3694   0.0000      329
features.4                       132    -0.035714 2.185226e-07 1.174119e-05   0.3571   0.0000       65
features.11                      135    -0.033333 1.037044e-07 1.816057e-06   0.3333   0.0000      169
features.17                      487    -0.030159 6.917870e-07 1.503344e-08   0.5873   0.0317      489
features.14                      485    -0.027778 3.448269e-07 1.064251e-07   0.2778   0.0000      265
features.14                      307    -0.027778 5.022832e-07 1.330596e-07   0.5278   0.0278      265
features.15                      722    -0.026168 3.224322e-07 1.507516e-07   0.7664   0.0561      329
features.12                      353    -0.024638 1.902623e-08 2.624631e-07   0.3768   0.0145      201
features.13                      541    -0.024590 6.235150e-08 4.681974e-07   0.8361   0.0656      201
