================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-27 13:08:05
  remove_target  : 19322
  accum_removed  : 19368
  selected_channels : 80
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 684157
  model_sparsity : 70.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       31    96.9%
  features.2                 96          1       91    94.8%
  features.3                144          2      133    92.4%
  features.4                144          2      133    92.4%
  features.5                192          3      171    89.1%
  features.6                192          3      175    91.1%
  features.7                192          2      174    90.6%
  features.8                384          4      341    88.8%
  features.9                384          4      351    91.4%
  features.10               384          4      354    92.2%
  features.11               384          6      346    90.1%
  features.12               576          6      518    89.9%
  features.13               576          5      525    91.1%
  features.14               576          6      517    89.8%
  features.15               960         13      875    91.1%
  features.16               960         10      868    90.4%
  features.17               960          9      856    89.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  1          1     100.0%
  features.2                  6          1      16.7%
  features.3                 13          1       7.7%
  features.4                 13          1       7.7%
  features.5                 24          1       4.2%
  features.6                 20          1       5.0%
  features.7                 20          1       5.0%
  features.8                 47          1       2.1%
  features.9                 37          1       2.7%
  features.10                34          1       2.9%
  features.11                44          1       2.3%
  features.12                64          1       1.6%
  features.13                56          1       1.8%
  features.14                65          1       1.5%
  features.15                98          1       1.0%
  features.16               102          1       1.0%
  features.17               113          1       0.9%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 6채널 제거
  features.12: 6채널 제거
  features.13: 5채널 제거
  features.14: 6채널 제거
  features.15: 13채널 제거
  features.16: 10채널 제거
  features.17: 9채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 3채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 4채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.4                       116    -0.083333 7.864709e-07 1.290841e-05   0.8333   0.0000       65
features.7                       113    -0.063158 1.255165e-06 3.346807e-06   0.6316   0.0000      105
features.13                       29    -0.061818 5.391042e-08 4.334242e-07   0.7818   0.0182      201
features.2                        34    -0.060000 1.916800e-07 7.076239e-04   0.6000   0.0000       49
features.13                      282    -0.060000 1.305485e-07 4.518624e-07   0.9273   0.0364      201
features.3                        85    -0.058333 1.599574e-08 2.901572e-05   0.5833   0.0000       57
features.14                      263    -0.051563 2.370708e-06 1.680301e-07   0.9375   0.0469      265
features.14                      289    -0.051563 7.383110e-07 1.567734e-07   0.6562   0.0156      265
features.16                      674    -0.048515 4.395937e-07 1.008954e-07   0.6634   0.0198      329
features.9                       353    -0.047222 4.773007e-08 2.503255e-07   0.4722   0.0000      137
features.10                      183    -0.039394 1.518890e-07 3.232868e-07   0.9394   0.0606      137
features.7                        12    -0.036842 1.758871e-06 3.520535e-06   0.8421   0.0526      105
features.17                      242    -0.033929 4.086818e-07 1.828806e-08   0.4196   0.0089      489
features.15                      944    -0.032990 5.069052e-08 8.096948e-08   0.3299   0.0000      329
features.16                      342    -0.032673 3.521770e-07 1.016606e-07   0.5941   0.0297      329
features.16                      941    -0.029703 9.625074e-08 8.183645e-08   0.2970   0.0000      329
features.16                      858    -0.028713 3.852379e-07 1.079459e-07   0.6436   0.0396      329
features.11                      224    -0.025581 1.134703e-07 1.773384e-06   0.2558   0.0000      169
features.13                      341    -0.025455 4.826937e-08 5.123158e-07   0.7455   0.0545      201
features.4                       123    -0.025000 2.148809e-06 1.397527e-05   1.0000   0.0833       65
features.12                       67    -0.023810 4.611031e-08 3.641169e-07   0.6667   0.0476      201
features.17                      251    -0.022321 3.728815e-07 1.850025e-08   0.3839   0.0179      489
features.12                      264    -0.022222 1.645462e-08 2.649757e-07   0.2222   0.0000      201
features.8                       103    -0.021739 2.186399e-08 6.302262e-07   0.2174   0.0000      137
features.10                      352    -0.018182 1.811151e-08 2.943634e-07   0.1818   0.0000      137
features.15                      124    -0.017526 5.193082e-08 1.118980e-07   0.3608   0.0206      329
features.11                       58    -0.016279 2.355685e-07 2.962410e-06   0.5814   0.0465      169
