================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 2
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-27 19:33:20
  remove_target  : 160121
  accum_removed  : 160417
  selected_channels : 657
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1951093
  model_sparsity : 14.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          4        7    21.9%
  features.2                 96         10       20    20.8%
  features.3                144         12       24    16.7%
  features.4                144         13       21    14.6%
  features.5                192         20       38    19.8%
  features.6                192         18       40    20.8%
  features.7                192         15       35    18.2%
  features.8                384         43       88    22.9%
  features.9                384         35       76    19.8%
  features.10               384         35       80    20.8%
  features.11               384         36       73    19.0%
  features.12               576         55      126    21.9%
  features.13               576         59      124    21.5%
  features.14               576         47      100    17.4%
  features.15               960         91      195    20.3%
  features.16               960         82      173    18.0%
  features.17               960         82      167    17.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 29          1       3.4%
  features.2                 86          1       1.2%
  features.3                132          1       0.8%
  features.4                136          1       0.7%
  features.5                174          1       0.6%
  features.6                170          1       0.6%
  features.7                172          1       0.6%
  features.8                339          2       0.6%
  features.9                343          2       0.6%
  features.10               339          2       0.6%
  features.11               347          2       0.6%
  features.12               505          3       0.6%
  features.13               511          3       0.6%
  features.14               523          3       0.6%
  features.15               856          5       0.6%
  features.16               869          5       0.6%
  features.17               875          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 4채널 제거
  features.10: 35채널 제거
  features.11: 36채널 제거
  features.12: 55채널 제거
  features.13: 59채널 제거
  features.14: 47채널 제거
  features.15: 91채널 제거
  features.16: 82채널 제거
  features.17: 82채널 제거
  features.2: 10채널 제거
  features.3: 12채널 제거
  features.4: 13채널 제거
  features.5: 20채널 제거
  features.6: 18채널 제거
  features.7: 15채널 제거
  features.8: 43채널 제거
  features.9: 35채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       259    -0.889349 7.469701e-08 1.810316e-10   0.9882   0.0000      137
features.8                        65    -0.885799 8.916868e-08 1.401200e-09   0.9941   0.0888      137
features.8                       198    -0.885503 6.723441e-08 4.048517e-10   0.9852   0.0118      137
features.12                      284    -0.881945 8.660586e-08 1.042322e-09   0.9960   0.1448      201
features.13                      310    -0.881765 1.238450e-07 1.297041e-09   1.0000   0.1824      201
features.8                       213    -0.881657 9.461679e-08 2.803423e-09   1.0000   0.1834      137
features.12                      153    -0.880952 8.423046e-08 9.403159e-10   0.9940   0.1369      201
features.8                        72    -0.878106 9.354902e-08 2.905602e-09   0.9970   0.1923      137
features.8                       112    -0.872781 5.755032e-08 5.994675e-10   0.9734   0.0325      137
features.12                      221    -0.871429 7.094842e-08 5.811457e-10   0.9762   0.0714      201
features.15                      936    -0.870175 3.512027e-07 6.134456e-10   0.9906   0.2140      329
features.9                       150    -0.868421 8.740746e-08 2.262001e-09   0.9971   0.2895      137
features.6                        26    -0.867456 1.515980e-08 8.164875e-10   0.9645   0.0059       73
features.12                      101    -0.865873 6.919492e-08 6.772674e-10   0.9722   0.0913      201
features.8                       373    -0.865680 5.163405e-08 4.815133e-10   0.9645   0.0237      137
features.15                      297    -0.865614 4.456401e-07 1.236816e-09   0.9977   0.3228      329
features.9                       240    -0.864912 6.727849e-08 1.494173e-09   0.9825   0.1930      137
features.15                      147    -0.864795 3.546980e-07 8.841819e-10   0.9918   0.2784      329
features.11                      110    -0.864740 2.014774e-07 1.075246e-08   0.9971   0.3266      169
features.13                      316    -0.864706 5.801907e-08 5.197668e-10   0.9686   0.0706      201
features.13                       30    -0.863922 5.830289e-08 6.955445e-10   0.9706   0.0961      201
features.12                      360    -0.863889 6.974539e-08 8.858704e-10   0.9742   0.1290      201
features.10                      212    -0.863609 4.545097e-08 1.145145e-09   0.9793   0.1775      137
features.10                       25    -0.863609 6.613411e-08 1.987761e-09   1.0000   0.3639      137
features.5                        73    -0.863584 2.689017e-08 4.644884e-09   0.9653   0.0520       73
features.8                        67    -0.863018 8.234232e-08 4.510635e-09   0.9911   0.2899      137
features.12                      424    -0.862500 5.824335e-08 1.606503e-10   0.9603   0.0179      201
features.15                      837    -0.861287 4.003413e-07 1.417642e-09   0.9965   0.3556      329
features.12                      292    -0.860913 7.440562e-08 1.538505e-09   0.9802   0.2123      201
features.8                       159    -0.860651 5.115342e-08 8.189298e-10   0.9615   0.0473      137
features.8                       255    -0.860355 6.649856e-08 3.836853e-09   0.9822   0.2367      137
features.15                        5    -0.860117 2.612463e-07 5.241278e-10   0.9754   0.1778      329
features.15                      543    -0.859181 2.980571e-07 8.525765e-10   0.9848   0.2713      329
