================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 4
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-27 21:46:51
  remove_target  : 129666
  accum_removed  : 129742
  selected_channels : 518
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1677225
  model_sparsity : 26.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       12    37.5%
  features.2                 96          8       38    39.6%
  features.3                144          9       43    29.9%
  features.4                144         11       43    29.9%
  features.5                192         10       65    33.9%
  features.6                192         13       68    35.4%
  features.7                192         12       61    31.8%
  features.8                384         27      145    37.8%
  features.9                384         28      136    35.4%
  features.10               384         29      138    35.9%
  features.11               384         28      130    33.9%
  features.12               576         43      217    37.7%
  features.13               576         44      220    38.2%
  features.14               576         40      189    32.8%
  features.15               960         76      354    36.9%
  features.16               960         73      325    33.9%
  features.17               960         65      303    31.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 22          1       4.5%
  features.2                 66          1       1.5%
  features.3                110          1       0.9%
  features.4                112          1       0.9%
  features.5                137          1       0.7%
  features.6                137          1       0.7%
  features.7                143          1       0.7%
  features.8                266          2       0.8%
  features.9                276          2       0.7%
  features.10               275          2       0.7%
  features.11               282          2       0.7%
  features.12               402          3       0.7%
  features.13               400          2       0.5%
  features.14               427          3       0.7%
  features.15               682          4       0.6%
  features.16               708          4       0.6%
  features.17               722          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 29채널 제거
  features.11: 28채널 제거
  features.12: 43채널 제거
  features.13: 44채널 제거
  features.14: 40채널 제거
  features.15: 76채널 제거
  features.16: 73채널 제거
  features.17: 65채널 제거
  features.2: 8채널 제거
  features.3: 9채널 제거
  features.4: 11채널 제거
  features.5: 10채널 제거
  features.6: 13채널 제거
  features.7: 12채널 제거
  features.8: 27채널 제거
  features.9: 28채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       310    -0.890909 5.324341e-08 6.382955e-10   0.9927   0.0255      137
features.10                      225    -0.883942 5.180201e-08 1.195547e-09   0.9964   0.1277      137
features.13                      411    -0.876942 6.651856e-08 2.645399e-09   0.9975   0.2080      201
features.5                         8    -0.876471 1.734376e-08 5.368519e-09   0.9779   0.0368       73
features.12                      204    -0.874065 4.251519e-08 1.578593e-09   0.9850   0.1247      201
features.13                       85    -0.873434 3.896044e-08 7.482302e-10   0.9774   0.0627      201
features.15                      880    -0.873421 1.582963e-07 4.990806e-10   0.9824   0.1072      329
features.12                      477    -0.872319 4.586735e-08 2.786291e-09   0.9925   0.2095      201
features.9                       170    -0.871273 4.350551e-08 1.972975e-09   0.9855   0.1564      137
features.13                      328    -0.871178 3.768234e-08 5.178366e-10   0.9724   0.0401      201
features.15                      318    -0.870925 1.775394e-07 1.229475e-09   0.9912   0.2115      329
features.15                      666    -0.869457 1.449516e-07 3.824327e-10   0.9750   0.0808      329
features.13                       74    -0.866667 4.699962e-08 2.865199e-09   0.9875   0.2206      201
features.15                      720    -0.865932 1.479134e-07 8.463257e-10   0.9809   0.1689      329
features.12                      208    -0.864090 5.855668e-08 4.747583e-09   0.9975   0.3367      201
features.15                      388    -0.863730 1.695396e-07 1.758290e-09   0.9883   0.2570      329
features.13                      291    -0.863409 7.238381e-08 4.690395e-09   1.0000   0.3659      201
features.12                      158    -0.861347 3.369156e-08 1.214448e-09   0.9676   0.0948      201
features.10                       67    -0.860584 3.348175e-08 1.027593e-09   0.9672   0.0985      137
features.8                       256    -0.859623 3.109330e-08 3.208178e-09   0.9660   0.0981      137
features.16                      191    -0.858982 3.014938e-07 1.158785e-09   0.9887   0.3083      329
features.16                      722    -0.858840 3.164943e-07 1.301277e-09   0.9915   0.3352      329
features.15                      832    -0.857856 1.459118e-07 1.219796e-09   0.9765   0.2100      329
features.13                      286    -0.857644 3.926377e-08 3.300471e-09   0.9799   0.2431      201
features.15                      437    -0.856681 1.653870e-07 2.661642e-09   0.9868   0.3142      329
features.9                       274    -0.856364 4.603825e-08 4.063220e-09   0.9891   0.3382      137
features.12                      346    -0.855611 5.182500e-08 5.811478e-09   0.9950   0.3990      201
