================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 5
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-27 22:58:13
  remove_target  : 116692
  accum_removed  : 116949
  selected_channels : 461
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1560276
  model_sparsity : 31.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       14    43.8%
  features.2                 96          8       46    47.9%
  features.3                144         10       53    36.8%
  features.4                144          8       51    35.4%
  features.5                192          9       74    38.5%
  features.6                192         10       78    40.6%
  features.7                192         12       73    38.0%
  features.8                384         20      165    43.0%
  features.9                384         27      163    42.4%
  features.10               384         27      165    43.0%
  features.11               384         23      153    39.8%
  features.12               576         37      254    44.1%
  features.13               576         38      258    44.8%
  features.14               576         40      229    39.8%
  features.15               960         62      416    43.3%
  features.16               960         62      387    40.3%
  features.17               960         66      369    38.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 20          1       5.0%
  features.2                 58          1       1.7%
  features.3                101          1       1.0%
  features.4                101          1       1.0%
  features.5                127          1       0.8%
  features.6                124          1       0.8%
  features.7                131          1       0.8%
  features.8                239          2       0.8%
  features.9                248          2       0.8%
  features.10               246          2       0.8%
  features.11               254          2       0.8%
  features.12               359          2       0.6%
  features.13               356          2       0.6%
  features.14               387          2       0.5%
  features.15               606          4       0.7%
  features.16               635          4       0.6%
  features.17               657          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 27채널 제거
  features.11: 23채널 제거
  features.12: 37채널 제거
  features.13: 38채널 제거
  features.14: 40채널 제거
  features.15: 62채널 제거
  features.16: 62채널 제거
  features.17: 66채널 제거
  features.2: 8채널 제거
  features.3: 10채널 제거
  features.4: 8채널 제거
  features.5: 9채널 제거
  features.6: 10채널 제거
  features.7: 12채널 제거
  features.8: 20채널 제거
  features.9: 27채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      135    -0.884916 4.611937e-08 1.193605e-09   0.9916   0.0754      201
features.15                      167    -0.883471 1.753168e-07 6.612350e-10   0.9934   0.1058      329
features.13                       41    -0.880845 4.940231e-08 3.166184e-09   1.0000   0.1915      201
features.2                         0    -0.880702 7.426274e-08 7.075273e-08   0.9825   0.0351       49
features.15                        3    -0.880661 2.242081e-07 1.344866e-09   0.9983   0.1785      329
features.15                      354    -0.878182 1.332354e-07 5.681076e-11   0.9769   0.0099      329
features.11                        5    -0.877075 1.229720e-07 4.189672e-09   0.9802   0.0514      169
features.10                       29    -0.876735 3.705052e-08 1.892134e-09   0.9918   0.1592      137
features.15                       13    -0.875868 1.414340e-07 5.560610e-10   0.9835   0.0926      329
features.8                       358    -0.874790 2.897554e-08 1.569904e-09   0.9748   0.0252      137
features.12                        0    -0.874022 4.555731e-08 2.616222e-09   0.9888   0.1592      201
features.16                      151    -0.872397 2.479827e-07 3.150014e-10   0.9811   0.1057      329
features.2                        82    -0.871930 8.064895e-08 3.401028e-07   1.0000   0.2807       49
features.12                      445    -0.868994 4.547167e-08 3.134947e-09   0.9860   0.1844      201
features.6                        85    -0.866667 1.438396e-08 2.307238e-08   0.9919   0.2602       73
features.13                      385    -0.866197 4.174435e-08 5.063947e-09   0.9944   0.2873      201
features.9                       212    -0.865992 3.270175e-08 1.184166e-09   0.9676   0.0486      137
features.8                        13    -0.861345 3.352213e-08 8.830071e-09   0.9874   0.2731      137
features.10                      358    -0.860816 2.741052e-08 6.597223e-10   0.9633   0.0612      137
features.11                      105    -0.859684 1.273298e-07 1.644004e-08   0.9842   0.2609      169
features.15                       11    -0.858182 1.353998e-07 2.235034e-09   0.9802   0.2397      329
features.17                      701    -0.857165 6.401898e-07 6.898735e-10   0.9863   0.3049      489
features.5                       191    -0.855556 1.550141e-08 3.370821e-08   0.9841   0.3016       73
features.11                      111    -0.855336 1.398981e-07 2.724069e-08   0.9921   0.3755      169
features.15                      420    -0.855041 1.486906e-07 4.188098e-09   0.9884   0.3455      329
features.16                       75    -0.854574 2.555909e-07 1.663134e-09   0.9874   0.3407      329
features.2                        18    -0.854386 6.378603e-08 1.620404e-07   0.9649   0.1404       49
