================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 6
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 00:12:30
  remove_target  : 104997
  accum_removed  : 105425
  selected_channels : 417
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1454851
  model_sparsity : 36.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       15    46.9%
  features.2                 96          6       52    54.2%
  features.3                144          7       60    41.7%
  features.4                144          9       60    41.7%
  features.5                192         10       84    43.8%
  features.6                192          9       87    45.3%
  features.7                192         16       89    46.4%
  features.8                384         17      182    47.4%
  features.9                384         21      184    47.9%
  features.10               384         23      188    49.0%
  features.11               384         20      173    45.1%
  features.12               576         34      288    50.0%
  features.13               576         34      292    50.7%
  features.14               576         40      269    46.7%
  features.15               960         56      472    49.2%
  features.16               960         57      444    46.2%
  features.17               960         57      426    44.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 18          1       5.6%
  features.2                 50          1       2.0%
  features.3                 91          1       1.1%
  features.4                 93          1       1.1%
  features.5                118          1       0.8%
  features.6                114          1       0.9%
  features.7                119          1       0.8%
  features.8                219          2       0.9%
  features.9                221          2       0.9%
  features.10               219          2       0.9%
  features.11               231          2       0.9%
  features.12               322          2       0.6%
  features.13               318          2       0.6%
  features.14               347          2       0.6%
  features.15               544          3       0.6%
  features.16               573          3       0.5%
  features.17               591          3       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 23채널 제거
  features.11: 20채널 제거
  features.12: 34채널 제거
  features.13: 34채널 제거
  features.14: 40채널 제거
  features.15: 56채널 제거
  features.16: 57채널 제거
  features.17: 57채널 제거
  features.2: 6채널 제거
  features.3: 7채널 제거
  features.4: 9채널 제거
  features.5: 10채널 제거
  features.6: 9채널 제거
  features.7: 16채널 제거
  features.8: 17채널 제거
  features.9: 21채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.13                      479    -0.887697 3.233914e-08 1.325856e-09   0.9937   0.0662      201
features.12                      109    -0.885981 3.567986e-08 1.046002e-09   0.9907   0.0561      201
features.15                      111    -0.883794 1.667943e-07 1.562256e-09   1.0000   0.1621      329
features.15                      841    -0.880111 1.560388e-07 1.642315e-09   0.9963   0.1657      329
features.9                       168    -0.878636 3.038610e-08 2.117206e-09   0.9864   0.0909      137
features.12                      121    -0.871963 3.988403e-08 5.234786e-09   0.9969   0.2523      201
features.8                       292    -0.871101 2.917308e-08 4.620989e-09   0.9771   0.0826      137
features.13                       11    -0.868139 3.185700e-08 4.561341e-09   0.9905   0.2334      201
features.2                        67    -0.867347 4.553949e-08 2.452493e-07   0.9796   0.1429       49
features.12                      107    -0.865109 2.822128e-08 2.145565e-09   0.9751   0.1246      201
features.8                       280    -0.864220 2.597897e-08 1.566252e-09   0.9633   0.0275      137
features.13                      548    -0.863407 2.452394e-08 9.559189e-10   0.9653   0.0536      201
features.5                        82    -0.862393 1.492221e-08 3.976848e-08   0.9915   0.2991       73
features.9                        45    -0.862273 2.827349e-08 2.716420e-09   0.9727   0.1318      137
features.15                      462    -0.860773 1.076623e-07 1.728911e-09   0.9761   0.1768      329
features.15                      399    -0.860405 1.291661e-07 4.694557e-09   0.9908   0.3131      329
features.9                       223    -0.855909 2.737429e-08 2.552136e-09   0.9636   0.1136      137
features.15                      321    -0.854328 1.004979e-07 1.702106e-09   0.9687   0.1750      329
features.13                      475    -0.852366 2.444698e-08 2.413497e-09   0.9621   0.1356      201
features.11                      227    -0.852174 8.628778e-08 6.413489e-09   0.9522   0.0478      169
features.17                      646    -0.851864 8.230724e-07 1.186552e-09   0.9949   0.4356      489
features.12                      278    -0.851402 2.839926e-08 6.236431e-09   0.9782   0.2897      201
features.16                      337    -0.850699 2.662612e-07 3.359603e-09   0.9930   0.4301      329
features.17                      630    -0.849322 6.343086e-07 9.411404e-10   0.9814   0.3390      489
features.16                      665    -0.849301 2.059274e-07 1.193068e-09   0.9685   0.2238      329
features.15                       49    -0.848250 1.114811e-07 5.513845e-09   0.9816   0.3517      329
features.2                        75    -0.846939 7.100912e-08 1.939077e-06   1.0000   0.5306       49
