================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 02:46:27
  remove_target  : 85007
  accum_removed  : 85092
  selected_channels : 340
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1275286
  model_sparsity : 44.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       19    59.4%
  features.2                 96          5       62    64.6%
  features.3                144          7       75    52.1%
  features.4                144          9       78    54.2%
  features.5                192          7      102    53.1%
  features.6                192         11      109    56.8%
  features.7                192         10      113    58.9%
  features.8                384         18      221    57.6%
  features.9                384         17      222    57.8%
  features.10               384         18      228    59.4%
  features.11               384         17      211    54.9%
  features.12               576         28      344    59.7%
  features.13               576         27      352    61.1%
  features.14               576         29      330    57.3%
  features.15               960         40      559    58.2%
  features.16               960         44      534    55.6%
  features.17               960         51      531    55.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 15          1       6.7%
  features.2                 39          1       2.6%
  features.3                 76          1       1.3%
  features.4                 75          1       1.3%
  features.5                 97          1       1.0%
  features.6                 94          1       1.1%
  features.7                 89          1       1.1%
  features.8                181          1       0.6%
  features.9                179          1       0.6%
  features.10               174          1       0.6%
  features.11               190          1       0.5%
  features.12               260          2       0.8%
  features.13               251          2       0.8%
  features.14               275          2       0.7%
  features.15               441          3       0.7%
  features.16               470          3       0.6%
  features.17               480          3       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 18채널 제거
  features.11: 17채널 제거
  features.12: 28채널 제거
  features.13: 27채널 제거
  features.14: 29채널 제거
  features.15: 40채널 제거
  features.16: 44채널 제거
  features.17: 51채널 제거
  features.2: 5채널 제거
  features.3: 7채널 제거
  features.4: 9채널 제거
  features.5: 7채널 제거
  features.6: 11채널 제거
  features.7: 10채널 제거
  features.8: 18채널 제거
  features.9: 17채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       304    -0.893258 4.422978e-08 2.445872e-09   1.0000   0.0674      137
features.11                      271    -0.884656 1.592367e-07 1.599974e-08   0.9947   0.1058      169
features.9                       361    -0.879775 3.613716e-08 4.687294e-09   0.9944   0.1517      137
features.12                      427    -0.877606 3.020350e-08 2.982630e-09   0.9884   0.1197      201
features.16                      842    -0.877399 2.994566e-07 1.527242e-09   0.9979   0.2068      329
features.15                      152    -0.876591 8.899796e-08 2.757765e-10   0.9795   0.0500      329
features.15                      180    -0.872273 8.912589e-08 8.869839e-10   0.9818   0.1136      329
features.2                        59    -0.865789 1.073853e-07 6.692316e-07   0.9737   0.1053       49
features.16                      469    -0.862687 2.420839e-07 2.407109e-09   0.9893   0.2772      329
features.10                       26    -0.861272 2.935374e-08 4.797850e-09   0.9884   0.2832      137
features.11                      106    -0.860847 1.449642e-07 4.467260e-08   0.9894   0.2963      169
features.6                        47    -0.859140 1.585393e-08 6.093759e-08   1.0000   0.4086       73
features.14                      479    -0.859124 4.738069e-07 2.898046e-09   0.9708   0.1460      265
features.16                      786    -0.858209 2.802937e-07 3.842091e-09   0.9957   0.3795      329
features.2                        13    -0.857895 1.226852e-07 2.812684e-06   1.0000   0.4211       49
features.16                      655    -0.857356 2.090288e-07 1.965143e-09   0.9808   0.2537      329
features.9                       380    -0.857303 3.534524e-08 8.552163e-09   0.9888   0.3258      137
features.12                      170    -0.856371 2.510254e-08 4.838597e-09   0.9730   0.1931      201
features.11                      299    -0.853968 1.419912e-07 4.730479e-08   0.9841   0.3175      169
features.15                      469    -0.853864 9.476462e-08 7.889447e-09   0.9864   0.3386      329
features.8                        99    -0.853333 2.346346e-08 2.839917e-09   0.9500   0.0167      137
features.11                      144    -0.851852 1.102450e-07 1.593697e-08   0.9577   0.1005      169
features.12                      425    -0.851737 2.482783e-08 4.917202e-09   0.9691   0.2046      201
features.17                      517    -0.851566 6.701376e-07 8.651555e-10   0.9645   0.1649      489
features.17                      491    -0.850731 6.733885e-07 9.606282e-10   0.9666   0.1921      489
features.12                       52    -0.849807 2.389928e-08 1.713759e-09   0.9537   0.0849      201
features.3                        63    -0.849333 1.390073e-08 1.746719e-07   0.9733   0.2667       57
features.13                       89    -0.849200 4.919530e-08 1.480148e-08   0.9960   0.4720      201
features.17                      351    -0.848225 7.319950e-07 2.033785e-09   0.9896   0.4238      489
features.16                      760    -0.848188 2.185340e-07 3.981761e-09   0.9851   0.3838      329
features.5                       152    -0.847917 1.604256e-08 3.513914e-08   0.9688   0.2396       73
features.16                      330    -0.846269 2.342548e-07 4.870524e-09   0.9872   0.4222      329
features.14                      176    -0.843066 4.636101e-07 5.836460e-09   0.9635   0.2409      265
features.17                      779    -0.842380 7.670445e-07 2.478228e-09   0.9937   0.5198      489
features.17                      667    -0.842171 7.239338e-07 2.045774e-09   0.9833   0.4280      489
features.17                      696    -0.842171 7.300897e-07 2.210318e-09   0.9875   0.4656      489
features.12                      277    -0.841313 2.178967e-08 2.553545e-09   0.9459   0.1004      201
features.10                       69    -0.841040 2.607123e-08 5.199644e-09   0.9711   0.3295      137
features.7                        62    -0.840909 4.690583e-07 9.577170e-08   0.9886   0.4886      105
features.4                         9    -0.840541 1.618729e-07 8.352608e-08   0.9595   0.2297       65
features.15                      668    -0.840455 7.426908e-08 5.759560e-09   0.9636   0.2682      329
features.15                      361    -0.840454 1.248124e-07 1.428086e-08   0.9909   0.5136      329
features.10                      206    -0.839884 5.606861e-08 1.178327e-08   1.0000   0.6012      137
features.16                      486    -0.839659 2.066859e-07 3.720871e-09   0.9744   0.3731      329
features.9                       182    -0.838764 2.782554e-08 4.806362e-09   0.9494   0.1573      137
features.17                      115    -0.838622 6.853140e-07 1.811817e-09   0.9749   0.3883      489
features.7                       178    -0.837500 4.837753e-07 1.227679e-07   1.0000   0.6250      105
features.12                      334    -0.837452 2.434703e-08 9.209494e-09   0.9614   0.2780      201
features.2                        21    -0.836842 7.799890e-08 1.014213e-06   0.9474   0.1579       49
features.15                      266    -0.836591 6.715506e-08 3.302130e-09   0.9523   0.2045      329
features.17                      557    -0.836117 7.171412e-07 2.227542e-09   0.9812   0.4697      489
features.17                      466    -0.835908 6.905072e-07 2.074486e-09   0.9770   0.4342      489
features.12                      540    -0.834749 4.083767e-08 2.853157e-08   1.0000   0.6525      201
features.13                      295    -0.834000 2.479713e-08 8.008628e-09   0.9560   0.2640      201
features.10                      266    -0.830636 3.991493e-08 1.317744e-08   0.9942   0.6416      137
features.12                      393    -0.829730 3.001153e-08 2.163170e-08   0.9846   0.5637      201
features.16                      481    -0.828998 1.653697e-07 1.557310e-09   0.9446   0.2111      329
features.7                        20    -0.828409 4.136118e-07 7.352026e-08   0.9545   0.3068      105
features.13                      459    -0.828400 3.034184e-08 2.218889e-08   0.9840   0.5720      201
features.14                      308    -0.827737 7.237513e-07 2.618097e-08   1.0000   0.7226      265
features.17                      383    -0.827140 6.030085e-07 9.983535e-10   0.9415   0.2025      489
features.10                       78    -0.825433 2.396911e-08 7.524180e-09   0.9653   0.4335      137
features.10                       58    -0.825433 2.062629e-08 3.719843e-09   0.9422   0.2254      137
features.10                      114    -0.825433 2.768307e-08 9.421491e-09   0.9769   0.5376      137
features.15                      881    -0.825227 8.893345e-08 1.565606e-08   0.9773   0.5432      329
features.7                       121    -0.825000 4.574414e-07 1.084826e-07   0.9773   0.5455      105
features.15                      409    -0.825000 6.428825e-08 3.660505e-09   0.9409   0.2182      329
features.17                      350    -0.824843 7.498326e-07 3.867932e-09   0.9916   0.6764      489
features.14                      226    -0.823723 4.248678e-07 3.699002e-09   0.9343   0.1715      265
features.16                      666    -0.823454 1.916552e-07 6.115637e-09   0.9680   0.4776      329
features.15                      876    -0.823409 5.948370e-08 2.014433e-10   0.9182   0.0295      329
features.9                       206    -0.823034 2.730515e-08 7.410411e-09   0.9438   0.2640      137
features.14                      271    -0.822263 5.175909e-07 1.820924e-08   0.9781   0.5803      265
features.13                      179    -0.820800 3.207732e-08 3.186960e-08   0.9880   0.6840      201
features.15                      777    -0.820227 6.496285e-08 6.113742e-09   0.9432   0.2864      329
features.16                      461    -0.820043 2.458134e-07 1.581496e-08   0.9915   0.7228      329
features.14                      136    -0.819343 5.534354e-07 2.561045e-08   0.9891   0.7080      265
features.15                      184    -0.819318 7.582732e-08 1.386005e-08   0.9659   0.5000      329
features.17                      936    -0.819207 6.764850e-07 2.814081e-09   0.9729   0.5637      489
features.15                      784    -0.819091 6.709485e-08 8.553586e-09   0.9500   0.3591      329
features.13                      496    -0.818800 2.149194e-08 6.898374e-09   0.9360   0.2360      201
features.16                      223    -0.817271 1.648375e-07 2.499343e-09   0.9403   0.2900      329
features.16                       45    -0.817058 2.067619e-07 1.115411e-08   0.9765   0.6183      329
features.15                      571    -0.816818 1.759902e-07 3.409044e-08   0.9977   0.8114      329
features.8                        82    -0.816667 2.151832e-08 1.381913e-08   0.9333   0.2333      137
features.16                       61    -0.816631 1.833191e-07 5.412784e-09   0.9574   0.4499      329
features.14                      162    -0.816423 4.665777e-07 1.623629e-08   0.9672   0.5401      265
features.17                      291    -0.816075 6.368433e-07 2.116919e-09   0.9562   0.4447      489
features.14                      257    -0.816058 4.608282e-07 1.166233e-08   0.9526   0.4124      265
features.17                      743    -0.815240 7.022166e-07 3.623182e-09   0.9791   0.6597      489
features.14                      374    -0.814963 5.213952e-07 2.358754e-08   0.9818   0.6861      265
features.1                         1    -0.814286 1.402868e-07 9.478318e-05   1.0000   0.8571       25
features.9                        36    -0.814045 3.072068e-08 1.707040e-08   0.9663   0.5562      137
features.13                      436    -0.814000 5.312178e-08 5.849007e-08   1.0000   0.8600      201
features.8                        15    -0.813889 2.677762e-08 3.956262e-08   0.9722   0.6111      137
features.15                      207    -0.813409 7.188287e-08 1.381665e-08   0.9591   0.4977      329
features.12                      113    -0.813127 3.265054e-08 4.810656e-08   0.9923   0.7992      201
features.10                      164    -0.812717 2.218088e-08 8.041816e-09   0.9538   0.4566      137
features.10                      217    -0.812717 2.862091e-08 1.869611e-08   0.9827   0.7168      137
features.4                        92    -0.812162 1.831302e-07 4.791249e-07   0.9865   0.7568       65
features.15                      726    -0.812045 6.289203e-08 3.966050e-09   0.9273   0.2250      329
features.3                        12    -0.812000 1.391674e-08 1.073173e-06   0.9867   0.7600       57
features.3                        28    -0.812000 1.371587e-08 2.829899e-07   0.9467   0.4000       57
features.10                      161    -0.810405 1.949355e-08 3.706407e-09   0.9249   0.2197      137
features.13                       12    -0.810400 2.180035e-08 1.258548e-08   0.9440   0.3920      201
features.14                      366    -0.810219 4.430692e-07 1.246046e-08   0.9489   0.4380      265
features.6                       183    -0.809677 1.073221e-08 3.511798e-08   0.9355   0.3226       73
features.11                       97    -0.809524 1.062575e-07 7.764963e-08   0.9524   0.4762      169
features.4                        80    -0.809460 1.612145e-07 1.957745e-07   0.9459   0.4189       65
features.16                      188    -0.809382 1.416037e-07 3.334482e-10   0.9104   0.1002      329
features.17                      279    -0.809186 6.761870e-07 3.521356e-09   0.9708   0.6451      489
features.12                      172    -0.808880 2.455444e-08 2.370337e-08   0.9653   0.5985      201
features.12                       30    -0.808494 3.889131e-08 7.957017e-08   0.9961   0.8803      201
features.15                      613    -0.808409 5.913587e-08 1.158927e-09   0.9136   0.1386      329
features.17                      114    -0.807933 1.451077e-06 8.544163e-09   1.0000   0.9207      489
features.16                      874    -0.807676 1.885776e-07 9.365841e-09   0.9616   0.5778      329
features.9                        40    -0.807303 3.441557e-08 4.489732e-08   0.9831   0.7753      137
features.6                        79    -0.806452 1.087371e-08 6.920434e-08   0.9462   0.4516       73
features.15                      191    -0.806364 6.599768e-08 1.287562e-08   0.9477   0.4659      329
features.16                      516    -0.806183 1.748761e-07 7.689514e-09   0.9552   0.5352      329
features.17                      524    -0.805845 5.985054e-07 1.768840e-09   0.9374   0.3779      489
features.14                      372    -0.805839 4.195180e-07 7.217572e-09   0.9270   0.2847      265
features.7                       151    -0.805682 4.273394e-07 1.267687e-07   0.9659   0.6364      105
features.14                      179    -0.805474 4.387995e-07 1.197176e-08   0.9416   0.4197      265
features.17                       40    -0.805428 6.364523e-07 2.577691e-09   0.9541   0.5324      489
features.12                      459    -0.804633 2.107217e-08 1.229984e-08   0.9344   0.3629      201
features.9                       312    -0.804494 3.088738e-08 3.024683e-08   0.9719   0.7022      137
features.16                      496    -0.804051 1.462388e-07 1.328842e-09   0.9147   0.1919      329
features.15                      430    -0.803864 7.370225e-08 1.857404e-08   0.9614   0.6136      329
features.14                      150    -0.803285 4.133151e-07 5.936639e-09   0.9197   0.2445      265
features.6                        75    -0.803226 1.531953e-08 3.124879e-07   0.9892   0.8710       73
features.5                        70    -0.803125 2.286946e-08 4.109632e-07   0.9896   0.8750       73
features.13                      278    -0.802800 2.520362e-08 2.691379e-08   0.9640   0.6480      201
