================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 9
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 03:54:37
  remove_target  : 76498
  accum_removed  : 76569
  selected_channels : 305
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1198717
  model_sparsity : 47.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       21    65.6%
  features.2                 96          3       65    67.7%
  features.3                144          4       79    54.9%
  features.4                144          7       85    59.0%
  features.5                192         10      112    58.3%
  features.6                192          7      116    60.4%
  features.7                192          9      122    63.5%
  features.8                384         18      239    62.2%
  features.9                384         15      237    61.7%
  features.10               384         16      244    63.5%
  features.11               384         16      227    59.1%
  features.12               576         22      366    63.5%
  features.13               576         22      374    64.9%
  features.14               576         31      361    62.7%
  features.15               960         41      600    62.5%
  features.16               960         41      575    59.9%
  features.17               960         41      572    59.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 34          1       2.9%
  features.3                 69          1       1.4%
  features.4                 66          1       1.5%
  features.5                 90          1       1.1%
  features.6                 83          1       1.2%
  features.7                 79          1       1.3%
  features.8                163          1       0.6%
  features.9                162          1       0.6%
  features.10               156          1       0.6%
  features.11               173          1       0.6%
  features.12               232          2       0.9%
  features.13               224          2       0.9%
  features.14               246          2       0.8%
  features.15               401          3       0.7%
  features.16               426          3       0.7%
  features.17               429          3       0.7%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 16채널 제거
  features.11: 16채널 제거
  features.12: 22채널 제거
  features.13: 22채널 제거
  features.14: 31채널 제거
  features.15: 41채널 제거
  features.16: 41채널 제거
  features.17: 41채널 제거
  features.2: 3채널 제거
  features.3: 4채널 제거
  features.4: 7채널 제거
  features.5: 10채널 제거
  features.6: 7채널 제거
  features.7: 9채널 제거
  features.8: 18채널 제거
  features.9: 15채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      377    -0.894118 2.520670e-07 5.484195e-11   0.9953   0.0165      329
features.10                      136    -0.876129 2.702934e-08 7.953742e-10   0.9806   0.0645      137
features.15                      709    -0.876000 1.597210e-07 5.169468e-09   1.0000   0.2400      329
features.2                        32    -0.872727 1.295307e-07 4.450755e-06   1.0000   0.2727       49
features.13                       84    -0.870404 3.005307e-08 8.843140e-09   0.9955   0.2556      201
features.15                      678    -0.869500 1.295091e-07 5.773239e-09   0.9950   0.2600      329
features.13                       71    -0.868610 3.019626e-08 1.071967e-08   1.0000   0.3139      201
features.17                      489    -0.862850 9.306576e-07 1.851867e-09   0.9953   0.3294      489
features.17                      945    -0.862617 7.878810e-07 1.426282e-09   0.9883   0.2687      489
features.14                       45    -0.861224 5.709928e-07 7.564696e-09   0.9837   0.2408      265
features.13                      102    -0.858744 2.563000e-08 1.021810e-08   0.9865   0.2915      201
features.8                       353    -0.858642 5.199072e-08 2.394295e-08   0.9877   0.3025      137
features.16                      645    -0.857412 1.654317e-07 4.435725e-10   0.9671   0.1294      329
features.12                       13    -0.857143 2.339626e-08 1.442223e-08   0.9913   0.3506      201
features.10                      208    -0.856129 2.759570e-08 6.416865e-09   0.9935   0.3806      137
features.13                       65    -0.855605 2.798517e-08 1.379873e-08   0.9910   0.3632      201
features.15                      341    -0.855000 8.192496e-08 5.987906e-09   0.9800   0.2700      329
features.17                      334    -0.853037 6.939785e-07 9.597878e-10   0.9650   0.1542      489
features.17                      399    -0.849533 7.625299e-07 2.002958e-09   0.9836   0.3575      489
features.10                      317    -0.849032 2.497983e-08 3.016684e-09   0.9613   0.1613      137
features.5                       104    -0.848315 1.528274e-08 2.223594e-08   0.9551   0.1124       73
features.13                      434    -0.847534 2.400681e-08 1.152302e-08   0.9776   0.3229      201
features.7                       123    -0.847436 4.408246e-07 1.021143e-07   0.9872   0.4103      105
features.17                      812    -0.847196 7.008576e-07 1.289954e-09   0.9673   0.2336      489
features.12                      422    -0.847186 2.024670e-08 5.702182e-09   0.9610   0.1775      201
features.14                      118    -0.845714 5.485970e-07 7.835392e-09   0.9673   0.2490      265
features.15                       14    -0.845500 1.216888e-07 1.502373e-08   0.9925   0.4775      329
features.17                      838    -0.844392 7.288477e-07 1.804857e-09   0.9743   0.3248      489
features.3                       112    -0.844118 1.217831e-08 3.543322e-07   0.9853   0.4265       57
features.14                      417    -0.842449 5.771764e-07 1.641369e-08   0.9878   0.4653      265
features.11                       87    -0.842442 9.837008e-08 4.160018e-09   0.9360   0.0000      169
features.11                      212    -0.839535 1.141684e-07 4.233215e-08   0.9593   0.2384      169
features.6                       163    -0.839024 1.229831e-08 1.771800e-08   0.9512   0.1707       73
features.16                      157    -0.838588 1.539447e-07 1.139014e-09   0.9506   0.1694      329
features.14                       87    -0.838367 6.090719e-07 2.045541e-08   0.9959   0.5796      265
features.12                      482    -0.838095 2.219155e-08 1.839662e-08   0.9827   0.4632      201
features.14                      185    -0.837959 5.859175e-07 1.924006e-08   0.9918   0.5469      265
features.13                      353    -0.837668 2.258564e-08 1.466992e-08   0.9731   0.3812      201
features.16                       90    -0.837647 2.343139e-07 1.169289e-08   0.9929   0.5600      329
features.16                      763    -0.837176 1.697506e-07 5.610038e-09   0.9765   0.4165      329
features.7                       173    -0.834615 4.099504e-07 1.065771e-07   0.9744   0.4231      105
features.15                      942    -0.832250 7.740437e-08 1.288820e-08   0.9725   0.4300      329
features.6                        72    -0.831707 1.573685e-08 1.112182e-07   0.9878   0.5732       73
features.10                      218    -0.831613 2.607993e-08 6.990337e-09   0.9677   0.3935      137
features.16                      110    -0.831059 1.873895e-07 9.545086e-09   0.9812   0.5200      329
features.10                      230    -0.830968 2.696739e-08 8.524715e-09   0.9742   0.4581      137
