================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 07:26:43
  remove_target  : 55746
  accum_removed  : 55770
  selected_channels : 218
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1011997
  model_sparsity : 55.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          2       75    78.1%
  features.3                144          5       97    67.4%
  features.4                144          6      105    72.9%
  features.5                192          5      133    69.3%
  features.6                192          6      135    70.3%
  features.7                192          5      139    72.4%
  features.8                384         11      275    71.6%
  features.9                384          9      273    71.1%
  features.10               384         11      280    72.9%
  features.11               384         14      273    71.1%
  features.12               576         19      424    73.6%
  features.13               576         14      420    72.9%
  features.14               576         19      423    73.4%
  features.15               960         31      700    72.9%
  features.16               960         29      677    70.5%
  features.17               960         32      680    70.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 23          1       4.3%
  features.3                 52          1       1.9%
  features.4                 45          1       2.2%
  features.5                 64          1       1.6%
  features.6                 63          1       1.6%
  features.7                 58          1       1.7%
  features.8                120          1       0.8%
  features.9                120          1       0.8%
  features.10               115          1       0.9%
  features.11               125          1       0.8%
  features.12               171          1       0.6%
  features.13               170          1       0.6%
  features.14               172          1       0.6%
  features.15               291          2       0.7%
  features.16               312          2       0.6%
  features.17               312          2       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 11채널 제거
  features.11: 14채널 제거
  features.12: 19채널 제거
  features.13: 14채널 제거
  features.14: 19채널 제거
  features.15: 31채널 제거
  features.16: 29채널 제거
  features.17: 32채널 제거
  features.2: 2채널 제거
  features.3: 5채널 제거
  features.4: 6채널 제거
  features.5: 5채널 제거
  features.6: 6채널 제거
  features.7: 5채널 제거
  features.8: 11채널 제거
  features.9: 9채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                       62    -0.878824 3.673948e-08 6.834350e-09   0.9941   0.1588      201
features.14                      378    -0.876023 6.681777e-07 2.864565e-09   0.9883   0.1345      265
features.16                      501    -0.869132 2.192859e-07 3.340911e-09   0.9936   0.2508      329
features.17                      800    -0.866560 8.270766e-07 1.893417e-09   0.9807   0.1608      489
features.15                      818    -0.865862 8.599633e-08 1.084515e-08   0.9931   0.2793      329
features.15                      415    -0.862414 8.459250e-08 1.089265e-08   0.9897   0.2828      329
features.11                      242    -0.856452 1.402223e-07 8.228321e-08   0.9839   0.2903      169
features.15                      425    -0.855862 8.660994e-08 2.026831e-08   0.9966   0.4103      329
features.16                        1    -0.854984 1.938825e-07 8.067224e-09   0.9904   0.3633      329
features.12                      341    -0.851765 2.993903e-08 1.605146e-08   0.9765   0.2706      201
features.14                       22    -0.851462 6.444885e-07 2.156639e-08   0.9825   0.3275      265
features.8                       258    -0.850420 2.459911e-08 1.787416e-08   0.9580   0.1176      137
features.12                      406    -0.850000 2.724403e-08 9.379090e-09   0.9647   0.1824      201
features.4                        13    -0.847727 1.875623e-07 1.158810e-06   1.0000   0.5227       65
features.3                        50    -0.845098 2.036655e-08 1.344060e-06   1.0000   0.5490       57
features.14                      165    -0.845029 7.176512e-07 3.286059e-08   0.9942   0.4971      265
features.10                      133    -0.843860 2.785036e-08 4.151109e-09   0.9561   0.1667      137
features.16                      203    -0.843730 1.665402e-07 7.973076e-09   0.9775   0.3601      329
features.8                        84    -0.843697 2.846587e-08 4.717901e-08   0.9832   0.4118      137
features.7                        32    -0.842105 4.007080e-07 2.608878e-07   1.0000   0.5789      105
features.14                       37    -0.842105 5.028070e-07 1.414341e-08   0.9649   0.2632      265
features.8                       201    -0.842017 2.896590e-08 5.853465e-08   0.9916   0.5042      137
features.17                      749    -0.840193 7.467783e-07 2.403292e-09   0.9582   0.2219      489
features.15                      760    -0.839655 6.835646e-08 9.792894e-09   0.9621   0.2621      329
features.17                      532    -0.835691 7.185655e-07 1.791713e-09   0.9453   0.1511      489
features.16                       42    -0.834084 1.502848e-07 2.453798e-09   0.9518   0.2251      329
features.15                      479    -0.832414 6.466181e-08 1.049657e-08   0.9552   0.2724      329
features.10                      163    -0.830702 3.093575e-08 1.330610e-08   0.9737   0.4561      137
features.10                      330    -0.830702 4.036617e-08 2.856550e-08   1.0000   0.6930      137
features.11                      154    -0.830645 1.152768e-07 5.855954e-08   0.9435   0.1855      169
features.17                      141    -0.830225 1.109901e-06 8.700654e-09   0.9968   0.6688      489
features.10                      268    -0.828947 3.844614e-08 2.302350e-08   0.9912   0.6316      137
features.16                      920    -0.828617 1.513532e-07 5.369591e-09   0.9550   0.3087      329
features.9                         7    -0.828571 3.236381e-08 2.283044e-08   0.9748   0.4874      137
features.15                      151    -0.827586 6.804095e-08 1.631127e-08   0.9586   0.3517      329
features.13                      387    -0.827219 2.408562e-08 4.517950e-08   0.9822   0.5680      201
features.16                      736    -0.825402 1.555921e-07 1.439963e-08   0.9678   0.4566      329
features.15                      710    -0.824483 5.930565e-08 3.409641e-09   0.9345   0.1655      329
features.17                      843    -0.823794 1.034711e-06 9.619079e-09   0.9936   0.7042      489
features.13                       97    -0.821302 2.829855e-08 8.249049e-08   0.9941   0.7337      201
features.12                       64    -0.819412 2.123758e-08 1.376422e-08   0.9353   0.2235      201
features.16                      464    -0.818328 1.701515e-07 2.657186e-08   0.9807   0.6431      329
features.9                        88    -0.817647 3.734010e-08 4.831387e-08   0.9832   0.6723      137
features.14                      400    -0.817544 4.169422e-07 7.069794e-10   0.9123   0.0351      265
features.13                      487    -0.817160 2.398211e-08 5.212756e-08   0.9763   0.6154      201
features.16                      926    -0.817042 1.564647e-07 2.425235e-08   0.9743   0.5981      329
features.13                      192    -0.816568 1.875131e-08 1.031256e-08   0.9349   0.2485      201
features.12                      443    -0.814706 1.803411e-08 4.287462e-09   0.9176   0.1118      201
features.8                       333    -0.813445 2.159446e-08 2.326991e-08   0.9244   0.1849      137
features.15                       39    -0.813103 5.602163e-08 5.864950e-09   0.9241   0.1862      329
features.16                      755    -0.812862 1.473367e-07 6.235810e-09   0.9389   0.3215      329
features.16                      369    -0.812862 1.490351e-07 1.053313e-08   0.9486   0.4084      329
features.9                       253    -0.812605 2.382863e-08 1.272844e-08   0.9328   0.2689      137
features.12                      134    -0.812353 2.063938e-08 1.011152e-08   0.9235   0.1882      201
features.5                        38    -0.811111 1.262464e-08 1.815116e-07   0.9524   0.4603       73
features.17                      163    -0.810611 6.993276e-07 3.215001e-09   0.9325   0.2862      489
features.13                       57    -0.809467 2.200052e-08 4.844938e-08   0.9645   0.5858      201
features.2                        31    -0.809091 5.984345e-08 2.908304e-04   1.0000   0.9091       49
features.17                      110    -0.809003 7.914992e-07 8.804511e-09   0.9743   0.6785      489
features.12                      296    -0.808824 4.097195e-08 2.343982e-07   1.0000   0.9118      201
features.17                       81    -0.808360 6.469817e-07 1.453754e-09   0.9100   0.1061      489
features.15                      118    -0.808276 7.185584e-08 4.254818e-08   0.9724   0.6690      329
features.5                        52    -0.807936 1.547417e-08 6.260823e-07   0.9841   0.7778       73
features.3                        54    -0.807843 1.259929e-08 2.189897e-06   0.9804   0.7451       57
features.15                        1    -0.806207 5.670367e-08 1.136036e-08   0.9276   0.2862      329
features.15                      114    -0.805862 6.098546e-08 2.294521e-08   0.9448   0.4448      329
features.16                      262    -0.805788 1.809474e-07 4.444199e-08   0.9839   0.7974      329
features.11                       30    -0.804032 8.819057e-08 4.911202e-08   0.9113   0.1613      169
features.15                       54    -0.803793 7.856742e-08 7.273526e-08   0.9862   0.8379      329
features.12                      156    -0.803529 2.294707e-08 4.350131e-08   0.9529   0.5412      201
features.15                      168    -0.803448 5.468817e-08 7.572205e-09   0.9172   0.2207      329
features.17                      616    -0.803215 7.541369e-07 8.221921e-09   0.9646   0.6495      489
features.15                      601    -0.803103 5.423505e-08 6.270680e-09   0.9138   0.1931      329
features.13                      294    -0.802959 2.116358e-08 3.779931e-08   0.9467   0.4911      201
features.4                       127    -0.802273 1.712989e-07 3.036746e-06   0.9773   0.7727       65
features.14                      446    -0.801754 4.565289e-07 2.620904e-08   0.9357   0.4035      265
features.5                        41    -0.801587 3.179102e-08 3.070197e-06   1.0000   0.9841       73
features.16                      567    -0.800643 1.869781e-07 5.778656e-08   0.9871   0.8778      329
features.8                       208    -0.799160 1.950113e-08 1.421181e-08   0.8992   0.1008      137
features.14                       64    -0.798830 4.157554e-07 6.551654e-09   0.9064   0.1696      265
features.12                      233    -0.798824 3.041022e-08 1.401372e-07   0.9824   0.8529      201
features.17                      880    -0.798714 9.023453e-07 2.116616e-08   0.9904   0.9260      489
features.11                      112    -0.798387 1.610691e-07 1.576509e-06   0.9919   0.9435      169
features.13                      158    -0.798225 2.211721e-08 8.543887e-08   0.9704   0.7515      201
features.14                      321    -0.797661 4.901651e-07 4.143005e-08   0.9532   0.6023      265
features.12                      289    -0.797647 1.754842e-08 5.094464e-09   0.9000   0.1235      201
features.11                      293    -0.797581 1.319238e-07 4.400424e-07   0.9758   0.8065      169
features.8                       344    -0.797479 1.793102e-08 9.592928e-09   0.8908   0.0420      137
features.10                      246    -0.797368 3.530555e-08 5.952861e-08   0.9825   0.8684      137
features.15                      203    -0.796897 7.802659e-08 7.393031e-08   0.9793   0.8448      329
features.12                       79    -0.796471 1.793157e-08 1.440974e-08   0.9118   0.2412      201
features.17                       41    -0.795820 8.589553e-07 1.837027e-08   0.9839   0.8971      489
features.14                      218    -0.795322 5.518731e-07 6.484078e-08   0.9766   0.8363      265
features.15                      717    -0.795172 6.045466e-08 2.771228e-08   0.9414   0.5207      329
features.9                       327    -0.794958 6.051419e-08 5.088157e-07   0.9916   0.9748      137
features.13                      352    -0.794675 2.624449e-08 2.250602e-07   0.9882   0.9467      201
features.3                       107    -0.794118 8.599614e-09 3.160794e-07   0.9020   0.1765       57
features.10                      193    -0.793860 2.494301e-08 9.722089e-09   0.9211   0.3509      137
features.16                      620    -0.793569 1.534958e-07 3.081644e-08   0.9582   0.6881      329
features.12                      423    -0.793529 2.898108e-08 1.020069e-07   0.9706   0.8000      201
features.12                      400    -0.793529 3.531252e-08 3.568726e-07   0.9882   0.9588      201
features.15                      900    -0.793448 7.314058e-08 7.458895e-08   0.9759   0.8483      329
features.9                       164    -0.793277 2.750574e-08 8.849578e-08   0.9664   0.7647      137
features.7                        90    -0.792982 3.376773e-07 1.744226e-07   0.9298   0.4386      105
features.14                      539    -0.792982 4.227113e-07 2.186354e-08   0.9181   0.3333      265
features.8                       162    -0.792437 2.267351e-08 7.574489e-08   0.9496   0.6218      137
features.17                      286    -0.792283 8.828100e-07 2.587828e-08   0.9871   0.9614      489
features.17                      518    -0.791640 7.692104e-07 1.252028e-08   0.9678   0.7942      489
features.7                        47    -0.791228 3.787714e-07 4.962748e-07   0.9649   0.7719      105
features.7                        48    -0.791228 3.483811e-07 3.012295e-07   0.9474   0.6140      105
features.4                        26    -0.790909 1.542240e-07 1.686141e-06   0.9545   0.6818       65
features.6                        99    -0.790323 1.191577e-08 6.653826e-07   0.9839   0.9516       73
features.8                       232    -0.789076 2.732717e-08 2.470078e-07   0.9748   0.8824      137
features.5                       120    -0.788889 1.271120e-08 7.129867e-07   0.9683   0.8254       73
features.12                      498    -0.788824 2.462378e-08 9.166894e-08   0.9588   0.7412      201
features.10                      179    -0.788596 2.847970e-08 4.275432e-08   0.9649   0.7982      137
features.15                       71    -0.787586 7.851853e-08 1.606567e-07   0.9828   0.9690      329
features.2                        42    -0.786364 5.151995e-08 1.052558e-04   0.9545   0.7273       49
features.11                      319    -0.786290 9.690137e-08 1.351911e-07   0.9194   0.4113      169
features.10                       65    -0.785965 2.675954e-08 1.809432e-08   0.9386   0.5877      137
features.13                      342    -0.785799 1.742300e-08 1.481009e-08   0.9053   0.2899      201
features.16                       63    -0.785531 1.444265e-07 2.058134e-08   0.9325   0.5370      329
features.6                       189    -0.785484 9.245251e-09 8.914172e-08   0.9194   0.4194       73
