================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 14
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 09:42:32
  remove_target  : 45146
  accum_removed  : 45237
  selected_channels : 181
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 916530
  model_sparsity : 60.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       23    71.9%
  features.2                 96          2       81    84.4%
  features.3                144          4      105    72.9%
  features.4                144          5      115    79.9%
  features.5                192          4      143    74.5%
  features.6                192          6      147    76.6%
  features.7                192          5      151    78.6%
  features.8                384         10      296    77.1%
  features.9                384         11      295    76.8%
  features.10               384          8      300    78.1%
  features.11               384         12      297    77.3%
  features.12               576         13      452    78.5%
  features.13               576         13      452    78.5%
  features.14               576         11      448    77.8%
  features.15               960         24      749    78.0%
  features.16               960         26      731    76.1%
  features.17               960         26      733    76.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 17          1       5.9%
  features.3                 43          1       2.3%
  features.4                 34          1       2.9%
  features.5                 53          1       1.9%
  features.6                 51          1       2.0%
  features.7                 46          1       2.2%
  features.8                 98          1       1.0%
  features.9                100          1       1.0%
  features.10                92          1       1.1%
  features.11                99          1       1.0%
  features.12               137          1       0.7%
  features.13               137          1       0.7%
  features.14               139          1       0.7%
  features.15               235          2       0.9%
  features.16               255          2       0.8%
  features.17               253          2       0.8%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 8채널 제거
  features.11: 12채널 제거
  features.12: 13채널 제거
  features.13: 13채널 제거
  features.14: 11채널 제거
  features.15: 24채널 제거
  features.16: 26채널 제거
  features.17: 26채널 제거
  features.2: 2채널 제거
  features.3: 4채널 제거
  features.4: 5채널 제거
  features.5: 4채널 제거
  features.6: 6채널 제거
  features.7: 5채널 제거
  features.8: 10채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      105    -0.876068 2.031986e-07 1.534680e-08   1.0000   0.2393      329
features.15                      890    -0.875214 9.591532e-08 5.547593e-09   0.9915   0.1709      329
features.3                        76    -0.869048 2.489438e-08 3.817494e-07   1.0000   0.3095       57
features.17                      377    -0.861111 9.601565e-07 4.425264e-09   0.9841   0.2460      489
features.8                         2    -0.856701 3.045076e-08 2.626313e-08   0.9691   0.1546      137
features.16                      561    -0.855118 3.015908e-07 1.639689e-08   0.9961   0.4134      329
features.11                      332    -0.854082 1.435897e-07 1.382741e-07   0.9796   0.2755      169
features.5                       175    -0.844231 1.690860e-08 3.242543e-07   1.0000   0.5577       73
features.11                       81    -0.843878 1.506355e-07 2.425082e-07   0.9898   0.4694      169
features.11                      217    -0.843877 1.324789e-07 9.850657e-08   0.9592   0.1939      169
features.13                      292    -0.843382 2.099510e-08 1.499069e-08   0.9632   0.2353      201
features.17                      409    -0.843254 8.969749e-07 3.241101e-09   0.9563   0.1746      489
features.10                      132    -0.842857 2.808043e-08 5.221445e-09   0.9560   0.1758      137
features.16                      758    -0.838189 1.724554e-07 8.867906e-09   0.9685   0.3346      329
features.17                      561    -0.836905 1.401732e-06 1.139380e-08   1.0000   0.6310      489
features.4                        48    -0.836364 1.540012e-07 2.398334e-06   1.0000   0.6364       65
features.17                      596    -0.835318 9.004759e-07 5.409167e-09   0.9643   0.3254      489
features.10                      203    -0.834066 4.497016e-08 2.492799e-08   0.9890   0.5604      137
features.2                        68    -0.831250 8.468575e-08 2.686279e-06   0.9375   0.1250       49
features.2                        65    -0.831250 9.305177e-08 1.145171e-04   1.0000   0.6875       49
features.13                       28    -0.830147 1.942120e-08 1.908722e-08   0.9559   0.3015      201
features.17                      531    -0.829365 9.449620e-07 8.399619e-09   0.9762   0.4921      489
features.15                      357    -0.828205 7.487458e-08 4.142923e-08   0.9744   0.4872      329
features.9                       285    -0.827273 3.297441e-08 2.042938e-08   0.9596   0.3636      137
features.16                      674    -0.827165 2.516745e-07 4.032702e-08   0.9882   0.6220      329
features.17                        9    -0.826984 8.659376e-07 4.755796e-09   0.9484   0.2659      489
features.15                       74    -0.826923 6.828682e-08 2.859801e-08   0.9615   0.3846      329
