================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 15
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 10:46:47
  remove_target  : 40623
  accum_removed  : 40653
  selected_channels : 165
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875877
  model_sparsity : 61.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          3       84    87.5%
  features.3                144          4      109    75.7%
  features.4                144          3      118    81.9%
  features.5                192          6      149    77.6%
  features.6                192          6      153    79.7%
  features.7                192          4      155    80.7%
  features.8                384         10      306    79.7%
  features.9                384          8      303    78.9%
  features.10               384          8      308    80.2%
  features.11               384          9      306    79.7%
  features.12               576         15      467    81.1%
  features.13               576         13      465    80.7%
  features.14               576         12      460    79.9%
  features.15               960         20      769    80.1%
  features.16               960         20      751    78.2%
  features.17               960         24      757    78.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 15          1       6.7%
  features.3                 39          1       2.6%
  features.4                 29          1       3.4%
  features.5                 49          1       2.0%
  features.6                 45          1       2.2%
  features.7                 41          1       2.4%
  features.8                 88          1       1.1%
  features.9                 89          1       1.1%
  features.10                84          1       1.2%
  features.11                87          1       1.1%
  features.12               124          1       0.8%
  features.13               124          1       0.8%
  features.14               128          1       0.8%
  features.15               211          2       0.9%
  features.16               229          2       0.9%
  features.17               227          2       0.9%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 9채널 제거
  features.12: 15채널 제거
  features.13: 13채널 제거
  features.14: 12채널 제거
  features.15: 20채널 제거
  features.16: 20채널 제거
  features.17: 24채널 제거
  features.2: 3채널 제거
  features.3: 4채널 제거
  features.4: 3채널 제거
  features.5: 6채널 제거
  features.6: 6채널 제거
  features.7: 4채널 제거
  features.8: 10채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      298    -0.866279 2.275423e-07 6.233622e-08   0.9767   0.1279      169
features.16                      220    -0.857456 2.432370e-07 1.156845e-08   0.9912   0.3465      329
features.15                      233    -0.849048 9.366272e-08 2.750440e-08   0.9762   0.2952      329
features.8                       247    -0.848276 3.995561e-08 2.297785e-08   0.9540   0.1034      137
features.7                        30    -0.847500 8.294923e-07 3.650003e-07   1.0000   0.5250      105
features.6                       153    -0.845455 2.126899e-08 5.177696e-08   0.9773   0.3409       73
features.9                       198    -0.843182 5.357384e-08 4.829235e-08   1.0000   0.5682      137
features.17                      284    -0.840708 1.160104e-06 1.254164e-08   0.9867   0.4735      489
features.12                      559    -0.839024 3.599102e-08 6.413286e-08   0.9837   0.4634      201
features.13                      276    -0.839024 2.932300e-08 7.324027e-08   0.9919   0.5366      201
features.14                        1    -0.837008 7.788867e-07 4.272225e-08   0.9685   0.3465      265
features.15                       48    -0.836190 8.056535e-08 9.710884e-09   0.9524   0.2095      329
features.4                        83    -0.835714 2.184196e-07 6.970671e-07   0.9643   0.3214       65
features.5                       149    -0.833333 3.166151e-08 5.539224e-07   1.0000   0.6667       73
features.13                      304    -0.832520 2.701650e-08 5.581860e-08   0.9756   0.4553      201
features.4                       101    -0.832143 2.928812e-07 5.993520e-06   1.0000   0.6786       65
features.17                      675    -0.831858 1.033555e-06 1.155020e-08   0.9735   0.4425      489
features.12                      111    -0.830894 2.826334e-08 2.489558e-08   0.9512   0.2520      201
features.9                        48    -0.828409 5.258057e-08 5.293552e-08   0.9886   0.6136      137
features.17                      718    -0.826991 8.520838e-07 5.219677e-09   0.9381   0.1726      489
features.14                      364    -0.826772 7.555622e-07 4.602462e-08   0.9606   0.3780      265
features.15                       77    -0.826667 6.779620e-08 5.601352e-09   0.9381   0.1762      329
features.10                      294    -0.826506 1.165073e-07 5.346631e-08   1.0000   0.7349      137
features.17                      748    -0.826106 1.021730e-06 1.207091e-08   0.9690   0.4602      489
features.15                      657    -0.825714 7.004233e-08 2.390157e-08   0.9476   0.2714      329
features.10                      323    -0.824096 4.192521e-08 1.298138e-08   0.9518   0.3253      137
features.13                      511    -0.823577 3.688417e-08 1.635365e-07   1.0000   0.7642      201
