================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 16
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 11:52:04
  remove_target  : 36557
  accum_removed  : 36637
  selected_channels : 141
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 839240
  model_sparsity : 63.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          2       86    89.6%
  features.3                144          3      112    77.8%
  features.4                144          3      121    84.0%
  features.5                192          3      152    79.2%
  features.6                192          3      156    81.2%
  features.7                192          4      159    82.8%
  features.8                384          6      312    81.2%
  features.9                384          7      310    80.7%
  features.10               384          6      314    81.8%
  features.11               384          8      314    81.8%
  features.12               576         11      478    83.0%
  features.13               576         12      477    82.8%
  features.14               576         10      470    81.6%
  features.15               960         22      791    82.4%
  features.16               960         20      771    80.3%
  features.17               960         21      778    81.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 12          1       8.3%
  features.3                 35          1       2.9%
  features.4                 26          1       3.8%
  features.5                 43          1       2.3%
  features.6                 39          1       2.6%
  features.7                 37          1       2.7%
  features.8                 78          1       1.3%
  features.9                 81          1       1.2%
  features.10                76          1       1.3%
  features.11                78          1       1.3%
  features.12               109          1       0.9%
  features.13               111          1       0.9%
  features.14               116          1       0.9%
  features.15               191          1       0.5%
  features.16               209          2       1.0%
  features.17               203          2       1.0%

[ 블록별 제거 채널 수 ]
  features.10: 6채널 제거
  features.11: 8채널 제거
  features.12: 11채널 제거
  features.13: 12채널 제거
  features.14: 10채널 제거
  features.15: 22채널 제거
  features.16: 20채널 제거
  features.17: 21채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 3채널 제거
  features.6: 3채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      828    -0.879703 1.362797e-06 7.648337e-09   1.0000   0.2030      489
features.3                        78    -0.870588 4.597757e-08 7.005848e-07   1.0000   0.2941       57
features.17                       35    -0.867327 1.120551e-06 3.716337e-09   0.9703   0.0594      489
features.2                        24    -0.863636 4.061551e-07 1.374721e-04   1.0000   0.3636       49
features.13                      336    -0.860000 2.861255e-08 1.450616e-08   0.9818   0.2364      201
features.6                       155    -0.855263 1.088802e-08 3.135079e-08   0.9737   0.2105       73
features.9                       318    -0.850000 3.925396e-08 1.285380e-08   0.9625   0.1625      137
features.16                      119    -0.849038 1.730029e-07 5.331646e-09   0.9760   0.2933      329
features.16                      581    -0.848558 2.022049e-07 2.397000e-08   0.9904   0.4279      329
features.12                      273    -0.847222 4.508422e-08 9.821079e-08   1.0000   0.5278      201
features.8                       276    -0.845455 5.214275e-08 5.911176e-08   0.9740   0.3117      137
features.12                       29    -0.836111 2.775787e-08 9.110511e-09   0.9444   0.1389      201
features.16                      279    -0.835577 2.395980e-07 6.529188e-08   0.9952   0.6010      329
features.17                      197    -0.835149 1.218224e-06 1.662390e-08   0.9851   0.5149      489
features.16                      916    -0.832692 1.491810e-07 1.536653e-08   0.9663   0.3702      329
features.10                      166    -0.829333 3.159490e-08 4.073100e-08   0.9867   0.5867      137
features.13                      297    -0.829091 3.037052e-08 9.714427e-08   0.9909   0.6273      201
features.15                      305    -0.827895 1.029060e-07 7.097815e-08   0.9842   0.5789      329
features.13                      566    -0.824545 2.748982e-08 6.719215e-08   0.9727   0.5091      201
features.4                        81    -0.824000 2.258839e-07 6.236789e-06   1.0000   0.7600       65
features.10                      295    -0.824000 2.903073e-08 3.198970e-08   0.9733   0.5200      137
features.13                      204    -0.822727 2.647511e-08 4.056744e-08   0.9545   0.3636      201
features.5                       116    -0.821429 2.351090e-08 3.944496e-07   0.9762   0.5714       73
features.5                       168    -0.819048 1.705336e-08 5.468357e-08   0.9286   0.1667       73
features.14                      475    -0.817391 9.421011e-07 8.656876e-08   0.9739   0.5913      265
features.6                        82    -0.813158 1.183891e-08 5.261041e-07   1.0000   0.8684       73
features.8                       138    -0.812987 4.137327e-08 1.102257e-07   0.9610   0.5195      137
features.8                       161    -0.812987 4.128291e-08 7.564403e-08   0.9481   0.4026      137
features.4                         5    -0.812000 1.873815e-07 2.359678e-06   0.9600   0.5200       65
features.17                      223    -0.811386 1.107530e-06 1.849665e-08   0.9653   0.5743      489
features.7                       149    -0.811111 6.731127e-07 1.806447e-06   1.0000   0.8889      105
features.12                      379    -0.810185 4.397924e-08 2.601381e-07   0.9907   0.8148      201
features.16                      107    -0.810096 1.896446e-07 1.047014e-07   0.9856   0.7692      329
features.12                      489    -0.809259 2.525769e-08 3.664916e-08   0.9352   0.3241      201
features.2                        69    -0.809091 2.543917e-07 1.463746e-05   0.9091   0.0909       49
features.17                      412    -0.808416 8.829285e-07 1.102280e-08   0.9356   0.3366      489
features.15                      762    -0.806842 1.129659e-07 2.616453e-07   1.0000   0.9316      329
features.7                         2    -0.805555 5.225268e-07 6.248074e-07   0.9722   0.6944      105
features.15                      486    -0.804737 1.029329e-07 1.667589e-07   0.9895   0.8579      329
features.15                      866    -0.804211 1.125002e-07 2.447778e-07   0.9947   0.9105      329
features.15                      718    -0.803684 9.251914e-08 1.326771e-07   0.9789   0.7737      329
features.17                      555    -0.802475 1.250665e-06 4.463190e-08   0.9901   0.8861      489
features.17                       57    -0.801980 1.157105e-06 3.000654e-08   0.9752   0.7574      489
features.11                       13    -0.801299 1.253498e-07 3.057343e-08   0.8961   0.0519      169
features.13                      357    -0.800909 3.068201e-08 1.046649e-06   1.0000   0.9909      201
features.16                      483    -0.799519 1.518695e-07 9.494904e-08   0.9712   0.7452      329
features.17                      729    -0.799010 8.602709e-07 8.854925e-09   0.9158   0.2525      489
features.12                      345    -0.798148 3.302985e-08 1.565361e-07   0.9630   0.6852      201
features.16                      175    -0.798077 1.406457e-07 4.935531e-08   0.9471   0.5433      329
features.16                      694    -0.797596 1.319894e-07 3.259781e-08   0.9375   0.4615      329
features.9                       201    -0.797500 4.828477e-08 4.120222e-07   0.9875   0.9125      137
features.11                      259    -0.797403 2.291861e-07 1.385926e-06   0.9870   0.9091      169
features.10                      100    -0.797333 2.808423e-08 5.691810e-08   0.9600   0.6667      137
features.17                       89    -0.796535 1.351300e-06 9.162748e-08   0.9950   0.9901      489
features.16                      572    -0.795673 1.137185e-07 7.287792e-09   0.9183   0.3077      329
features.14                      457    -0.795652 1.048355e-06 3.036057e-07   0.9913   0.9652      265
features.15                      950    -0.793684 8.858647e-08 1.542954e-07   0.9737   0.8263      329
features.15                      655    -0.793684 5.670821e-08 2.041758e-09   0.8947   0.1158      329
features.8                       126    -0.792208 7.177796e-08 7.892003e-07   0.9870   0.9610      137
features.13                      531    -0.791818 2.043692e-08 5.725927e-08   0.9273   0.4273      201
features.3                       128    -0.791176 3.172835e-08 5.420473e-06   0.9706   0.8235       57
features.14                       90    -0.789565 7.006059e-07 9.314899e-08   0.9478   0.6348      265
features.17                      636    -0.789109 1.196096e-06 5.323890e-08   0.9802   0.9307      489
features.16                      794    -0.788942 1.878589e-07 2.879785e-07   0.9808   0.9375      329
features.7                        41    -0.788889 5.102219e-07 5.387932e-07   0.9444   0.6111      105
features.17                       42    -0.788614 8.834934e-07 1.853824e-08   0.9406   0.5792      489
features.10                      112    -0.788000 2.770121e-08 5.337192e-08   0.9467   0.6400      137
features.12                      529    -0.787963 3.764294e-08 6.775874e-07   0.9815   0.9537      201
features.15                       30    -0.787895 5.968725e-08 2.746710e-08   0.9053   0.2684      329
features.15                      393    -0.786842 6.690741e-08 5.728815e-08   0.9263   0.4684      329
features.16                      521    -0.786058 1.047298e-07 8.313248e-09   0.9087   0.3173      329
features.15                      518    -0.785789 7.027651e-08 9.394030e-08   0.9474   0.6684      329
features.14                      316    -0.785217 9.462034e-07 5.635972e-07   0.9826   0.9913      265
features.12                       94    -0.785185 3.444040e-08 3.816362e-07   0.9722   0.8981      201
features.15                      323    -0.784737 6.544244e-08 5.381530e-08   0.9211   0.4421      329
features.11                      145    -0.784416 2.199923e-07 1.466856e-06   0.9740   0.9221      169
features.15                      332    -0.784211 7.723445e-08 1.380087e-07   0.9579   0.7789      329
features.15                      283    -0.784211 7.497462e-08 1.096441e-07   0.9526   0.7316      329
features.15                      770    -0.783158 8.074251e-08 2.208115e-07   0.9684   0.8842      329
features.16                      903    -0.782692 1.469925e-07 1.317909e-07   0.9615   0.8269      329
features.9                       290    -0.782500 4.164453e-08 7.163029e-07   0.9750   0.9500      137
features.11                      136    -0.781818 1.302087e-07 3.181140e-07   0.9091   0.3636      169
features.9                        79    -0.781250 3.404169e-08 5.494421e-08   0.9250   0.5125      137
features.16                       12    -0.779327 1.463775e-07 1.295239e-07   0.9567   0.8173      329
