================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 12:58:22
  remove_target  : 32894
  accum_removed  : 32939
  selected_channels : 131
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 806301
  model_sparsity : 64.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       87    90.6%
  features.3                144          4      116    80.6%
  features.4                144          3      124    86.1%
  features.5                192          4      156    81.2%
  features.6                192          4      160    83.3%
  features.7                192          4      163    84.9%
  features.8                384          6      318    82.8%
  features.9                384          7      317    82.6%
  features.10               384          7      321    83.6%
  features.11               384          8      322    83.9%
  features.12               576         10      488    84.7%
  features.13               576         10      487    84.5%
  features.14               576          9      479    83.2%
  features.15               960         18      809    84.3%
  features.16               960         16      787    82.0%
  features.17               960         20      798    83.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                 10          1      10.0%
  features.3                 32          1       3.1%
  features.4                 23          1       4.3%
  features.5                 40          1       2.5%
  features.6                 36          1       2.8%
  features.7                 33          1       3.0%
  features.8                 72          1       1.4%
  features.9                 74          1       1.4%
  features.10                70          1       1.4%
  features.11                70          1       1.4%
  features.12                98          1       1.0%
  features.13                99          1       1.0%
  features.14               106          1       0.9%
  features.15               169          1       0.6%
  features.16               189          1       0.5%
  features.17               182          1       0.5%

[ 블록별 제거 채널 수 ]
  features.10: 7채널 제거
  features.11: 8채널 제거
  features.12: 10채널 제거
  features.13: 10채널 제거
  features.14: 9채널 제거
  features.15: 18채널 제거
  features.16: 16채널 제거
  features.17: 20채널 제거
  features.2: 1채널 제거
  features.3: 4채널 제거
  features.4: 3채널 제거
  features.5: 4채널 제거
  features.6: 4채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                      352    -0.859420 1.659533e-07 1.064228e-07   0.9710   0.1449      169
features.3                        60    -0.851613 3.034468e-08 4.118990e-07   0.9677   0.1935       57
features.4                        33    -0.850000 4.526482e-07 2.007024e-06   1.0000   0.5000       65
features.10                      222    -0.847826 3.282238e-08 1.979111e-08   0.9855   0.3913      137
features.6                       188    -0.842857 1.341101e-08 1.854765e-07   1.0000   0.5714       73
features.13                      319    -0.842857 2.764066e-08 2.673154e-08   0.9694   0.2959      201
features.17                      608    -0.841989 1.637108e-06 2.267574e-08   1.0000   0.5801      489
features.8                        29    -0.839437 5.100823e-08 1.093390e-07   0.9859   0.4789      137
features.17                      378    -0.835912 1.132240e-06 1.412809e-08   0.9669   0.3425      489
features.17                      142    -0.834807 1.030679e-06 4.245712e-09   0.9337   0.0552      489
features.7                       148    -0.834375 7.150435e-07 7.120481e-07   1.0000   0.6562      105
features.4                        90    -0.831818 2.032009e-07 6.896611e-07   0.9545   0.2727       65
features.13                      463    -0.829592 2.703272e-08 4.123726e-08   0.9592   0.3367      201
features.16                      382    -0.828723 1.371237e-07 1.818855e-08   0.9628   0.3777      329
features.15                      580    -0.827381 7.007642e-08 7.190602e-09   0.9405   0.1905      329
features.10                       16    -0.826087 2.730506e-08 1.838879e-08   0.9565   0.3478      137
features.11                       19    -0.826087 1.486335e-07 2.041427e-07   0.9420   0.2174      169
features.9                        47    -0.824657 3.447464e-08 5.972269e-08   0.9726   0.5068      137
features.12                       15    -0.822680 2.558305e-08 4.039572e-08   0.9485   0.3093      201
features.16                      380    -0.821276 1.545342e-07 7.317336e-08   0.9787   0.5957      329
features.15                      391    -0.820833 7.642935e-08 4.505960e-08   0.9524   0.3631      329
features.7                        68    -0.818750 6.662646e-07 4.804723e-07   0.9688   0.5312      105
features.12                       43    -0.818557 3.250078e-08 1.374236e-07   0.9794   0.6289      201
features.15                      814    -0.818452 6.924190e-08 1.281969e-08   0.9345   0.2262      329
features.13                      223    -0.817347 2.552133e-08 4.644137e-08   0.9490   0.3673      201
features.15                      311    -0.815476 1.189940e-07 1.599821e-07   0.9940   0.7917      329
features.5                         2    -0.815385 3.661519e-08 1.132982e-06   1.0000   0.8462       73
