================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 19
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 15:06:22
  remove_target  : 26639
  accum_removed  : 27033
  selected_channels : 105
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 749665
  model_sparsity : 67.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       87    90.6%
  features.3                144          1      120    83.3%
  features.4                144          1      128    88.9%
  features.5                192          4      163    84.9%
  features.6                192          3      166    86.5%
  features.7                192          4      171    89.1%
  features.8                384          6      330    85.9%
  features.9                384          6      330    85.9%
  features.10               384          7      333    86.7%
  features.11               384          6      333    86.7%
  features.12               576          8      506    87.8%
  features.13               576          6      501    87.0%
  features.14               576          7      494    85.8%
  features.15               960         17      840    87.5%
  features.16               960         13      818    85.2%
  features.17               960         16      832    86.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  9          1      11.1%
  features.3                 25          1       4.0%
  features.4                 17          1       5.9%
  features.5                 33          1       3.0%
  features.6                 29          1       3.4%
  features.7                 25          1       4.0%
  features.8                 60          1       1.7%
  features.9                 60          1       1.7%
  features.10                58          1       1.7%
  features.11                57          1       1.8%
  features.12                78          1       1.3%
  features.13                81          1       1.2%
  features.14                89          1       1.1%
  features.15               137          1       0.7%
  features.16               155          1       0.6%
  features.17               144          1       0.7%

[ 블록별 제거 채널 수 ]
  features.10: 7채널 제거
  features.11: 6채널 제거
  features.12: 8채널 제거
  features.13: 6채널 제거
  features.14: 7채널 제거
  features.15: 17채널 제거
  features.16: 13채널 제거
  features.17: 16채널 제거
  features.3: 1채널 제거
  features.4: 1채널 제거
  features.5: 4채널 제거
  features.6: 3채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      461    -0.864935 3.161279e-08 3.283695e-08   0.9870   0.2338      201
features.10                      175    -0.859649 3.812866e-08 2.237735e-08   1.0000   0.4035      137
features.11                      331    -0.857143 1.516165e-07 3.851123e-07   0.9821   0.2679      169
features.4                        55    -0.850000 3.136263e-07 3.201430e-06   1.0000   0.5000       65
features.12                      298    -0.849351 3.156448e-08 3.782545e-08   0.9740   0.2727      201
features.15                      278    -0.848529 8.691838e-08 4.278402e-08   0.9779   0.3162      329
features.17                      250    -0.846154 1.544279e-06 2.600070e-08   0.9860   0.4126      489
features.9                       342    -0.844068 3.064051e-08 2.918188e-08   0.9661   0.2542      137
features.7                       161    -0.841667 1.138462e-06 1.170780e-06   1.0000   0.5833      105
features.8                       151    -0.840678 8.851490e-08 2.421836e-07   1.0000   0.5932      137
features.12                      566    -0.835065 2.870355e-08 4.219554e-08   0.9610   0.2987      201
features.12                      199    -0.833766 3.977148e-08 1.868150e-07   1.0000   0.6623      201
features.9                        38    -0.823729 3.039908e-08 3.700248e-08   0.9492   0.3051      137
features.11                      127    -0.823214 1.427863e-07 4.413294e-07   0.9464   0.2857      169
features.15                      116    -0.822059 8.602721e-08 1.007864e-07   0.9706   0.5147      329
features.17                      909    -0.818881 1.307223e-06 1.464488e-08   0.9301   0.1818      489
features.15                      593    -0.817647 9.698500e-08 1.701554e-07   0.9853   0.6912      329
features.13                      488    -0.817500 2.972880e-08 2.362804e-07   0.9875   0.7125      201
features.16                      181    -0.814935 1.634286e-07 1.445152e-07   0.9805   0.6753      329
features.16                      955    -0.813636 1.962796e-07 1.983087e-07   0.9935   0.8052      329
features.16                      354    -0.812987 1.633610e-07 1.244506e-07   0.9740   0.6364      329
features.5                       171    -0.812500 3.430556e-08 2.575995e-06   1.0000   0.8750       73
features.13                      524    -0.811250 2.926183e-08 1.495001e-07   0.9625   0.5500      201
features.15                      133    -0.811029 7.172841e-08 1.209914e-08   0.9265   0.2279      329
features.15                      727    -0.810294 1.554636e-07 4.359306e-07   1.0000   0.8971      329
features.15                      146    -0.808088 7.945952e-08 1.020699e-07   0.9559   0.5221      329
features.9                       184    -0.806780 2.754680e-08 1.978513e-08   0.9153   0.1695      137
