================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 0.1000
  norm       : rank
  timestamp  : 2026-08-28 18:18:34
  remove_target  : 19361
  accum_removed  : 19440
  selected_channels : 80
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 684473
  model_sparsity : 70.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       87    90.6%
  features.3                144          3      127    88.2%
  features.4                144          2      133    92.4%
  features.5                192          2      169    88.0%
  features.6                192          2      173    90.1%
  features.7                192          2      177    92.2%
  features.8                384          4      342    89.1%
  features.9                384          5      348    90.6%
  features.10               384          4      346    90.1%
  features.11               384          7      349    90.9%
  features.12               576          6      526    91.3%
  features.13               576          6      520    90.3%
  features.14               576          8      516    89.6%
  features.15               960          9      871    90.7%
  features.16               960         10      854    89.0%
  features.17               960         10      870    90.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  9          1      11.1%
  features.3                 20          1       5.0%
  features.4                 13          1       7.7%
  features.5                 25          1       4.0%
  features.6                 21          1       4.8%
  features.7                 17          1       5.9%
  features.8                 46          1       2.2%
  features.9                 41          1       2.4%
  features.10                42          1       2.4%
  features.11                42          1       2.4%
  features.12                56          1       1.8%
  features.13                62          1       1.6%
  features.14                68          1       1.5%
  features.15                98          1       1.0%
  features.16               116          1       0.9%
  features.17               100          1       1.0%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 7채널 제거
  features.12: 6채널 제거
  features.13: 6채널 제거
  features.14: 8채널 제거
  features.15: 9채널 제거
  features.16: 10채널 제거
  features.17: 10채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 2채널 제거
  features.6: 2채널 제거
  features.7: 2채널 제거
  features.8: 4채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.3                       131    -0.878947 1.078604e-07 7.023792e-07   1.0000   0.2105       57
features.9                       190    -0.847500 8.020617e-08 1.619267e-07   1.0000   0.5250      137
features.9                       195    -0.845000 3.321993e-08 9.320144e-08   0.9750   0.3250      137
features.16                      708    -0.838261 2.360679e-07 9.278252e-08   0.9913   0.5391      329
features.15                      457    -0.836082 1.598503e-07 9.982745e-08   0.9691   0.3608      329
features.11                      120    -0.831707 2.992119e-07 5.631259e-07   0.9512   0.2439      169
features.10                       66    -0.826829 3.751708e-08 6.038027e-08   0.9756   0.5122      137
features.13                      254    -0.819672 3.731611e-08 4.182862e-07   0.9836   0.6557      201
features.15                       57    -0.819588 1.771816e-07 4.039745e-07   0.9897   0.7113      329
features.16                      478    -0.819130 2.057568e-07 1.285478e-07   0.9739   0.5739      329
features.16                      121    -0.817391 2.096608e-07 2.275136e-07   0.9826   0.6696      329
features.11                      101    -0.817073 3.079643e-07 2.593045e-06   0.9756   0.6098      169
features.5                        63    -0.816667 3.779329e-08 5.375822e-06   1.0000   0.8333       73
features.8                       379    -0.811111 8.376335e-08 4.992244e-07   0.9778   0.6889      137
features.17                      218    -0.811111 2.478100e-06 8.720777e-08   0.9697   0.6162      489
features.17                      954    -0.811111 2.366885e-06 7.108409e-08   0.9596   0.5253      489
features.12                      342    -0.810909 2.990690e-08 2.602978e-07   0.9636   0.5636      201
features.14                       51    -0.810448 1.487020e-06 2.730833e-07   0.9701   0.6269      265
features.17                      144    -0.810101 3.328385e-06 2.032167e-07   1.0000   0.8990      489
features.4                        82    -0.808333 5.093034e-07 1.757838e-04   1.0000   0.9167       65
features.17                       56    -0.806061 2.884504e-06 1.168566e-07   0.9798   0.7576      489
features.12                      539    -0.805454 7.169284e-08 1.886709e-06   1.0000   0.9455      201
features.11                      368    -0.804878 9.887420e-07 2.296082e-05   1.0000   0.9512      169
features.17                      198    -0.804040 1.992010e-06 4.211254e-08   0.9293   0.3232      489
features.15                      124    -0.803093 3.023023e-07 1.321601e-06   1.0000   0.9691      329
features.10                        4    -0.800000 3.154545e-08 7.728079e-08   0.9512   0.5610      137
features.17                      321    -0.797980 2.974203e-06 2.170005e-07   0.9899   0.9293      489
features.8                       340    -0.797778 4.870205e-08 2.269104e-07   0.9333   0.4222      137
features.9                       130    -0.797500 2.899695e-08 1.738779e-07   0.9500   0.5750      137
features.14                       52    -0.797015 1.567752e-06 6.808127e-07   0.9851   0.8955      265
features.17                       10    -0.796970 2.358326e-06 8.563667e-08   0.9495   0.5758      489
features.15                      798    -0.796907 1.532394e-07 3.269120e-07   0.9588   0.6598      329
features.8                        66    -0.793333 7.297420e-08 4.872210e-07   0.9556   0.6667      137
features.12                      408    -0.790909 3.624142e-08 1.678879e-06   0.9818   0.9273      201
features.13                      232    -0.790164 2.363437e-08 1.763776e-08   0.9016   0.2131      201
features.13                      448    -0.788525 2.413876e-08 1.124134e-07   0.9180   0.3770      201
features.7                       142    -0.787500 6.923993e-07 2.228424e-06   0.9375   0.5625      105
features.8                        68    -0.786667 3.550687e-08 1.660199e-07   0.9111   0.3333      137
features.15                      691    -0.785567 1.243479e-07 2.755948e-07   0.9381   0.5876      329
features.10                      365    -0.785366 3.053668e-08 4.301252e-08   0.9268   0.4878      137
features.15                       63    -0.783505 1.183506e-07 2.273324e-07   0.9278   0.5155      329
features.16                      743    -0.783478 1.802854e-07 3.807387e-07   0.9565   0.7739      329
features.13                      260    -0.781967 2.959630e-08 7.397301e-07   0.9672   0.8852      201
features.12                       78    -0.780000 2.989585e-08 5.159226e-07   0.9455   0.7091      201
features.16                      888    -0.779130 2.028183e-07 6.566613e-07   0.9652   0.8957      329
features.13                      437    -0.778688 2.856754e-08 5.547552e-07   0.9508   0.7705      201
features.10                      277    -0.778049 2.753411e-08 2.621161e-08   0.9024   0.3415      137
features.14                      254    -0.776119 1.225342e-06 5.744477e-07   0.9552   0.8358      265
features.4                        85    -0.775000 3.871603e-07 4.610242e-06   0.9167   0.5000       65
features.14                      109    -0.774627 1.163094e-06 3.607079e-07   0.9403   0.7164      265
features.3                        45    -0.768421 5.100389e-08 6.482108e-05   0.9474   0.8421       57
