================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 1
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-29 19:16:54
  remove_target  : 177930
  accum_removed  : 178207
  selected_channels : 775
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 2111393
  model_sparsity : 7.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        1     3.1%
  features.2                 96         12       12    12.5%
  features.3                144          9        9     6.2%
  features.4                144          8        8     5.6%
  features.5                192         22       22    11.5%
  features.6                192         25       25    13.0%
  features.7                192         15       15     7.8%
  features.8                384         64       64    16.7%
  features.9                384         54       54    14.1%
  features.10               384         39       39    10.2%
  features.11               384         36       36     9.4%
  features.12               576         96       96    16.7%
  features.13               576         85       85    14.8%
  features.14               576         35       35     6.1%
  features.15               960        139      139    14.5%
  features.16               960         84       84     8.8%
  features.17               960         51       51     5.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 96          1       1.0%
  features.3                144          1       0.7%
  features.4                144          1       0.7%
  features.5                192          1       0.5%
  features.6                192          1       0.5%
  features.7                192          1       0.5%
  features.8                384          2       0.5%
  features.9                384          2       0.5%
  features.10               384          2       0.5%
  features.11               384          2       0.5%
  features.12               576          3       0.5%
  features.13               576          3       0.5%
  features.14               576          3       0.5%
  features.15               960          5       0.5%
  features.16               960          5       0.5%
  features.17               960          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 39채널 제거
  features.11: 36채널 제거
  features.12: 96채널 제거
  features.13: 85채널 제거
  features.14: 35채널 제거
  features.15: 139채널 제거
  features.16: 84채널 제거
  features.17: 51채널 제거
  features.2: 12채널 제거
  features.3: 9채널 제거
  features.4: 8채널 제거
  features.5: 22채널 제거
  features.6: 25채널 제거
  features.7: 15채널 제거
  features.8: 64채널 제거
  features.9: 54채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      744    -0.498436 9.491995e-07 1.287906e-11   0.9990   0.0021      489
features.5                       155    -0.486911 8.805107e-08 1.751366e-09   0.9895   0.0157       73
features.9                        46    -0.475196 1.696299e-07 3.369854e-10   0.9843   0.0339      137
features.15                      861    -0.474974 1.549776e-06 1.220170e-10   1.0000   0.0501      329
features.12                      339    -0.474783 1.717242e-07 3.754945e-10   0.9965   0.0470      201
features.8                       153    -0.471279 9.376297e-08 3.820024e-10   0.9661   0.0235      137
features.16                      850    -0.460897 4.927895e-07 8.056925e-11   0.9864   0.0647      329
features.9                       208    -0.460836 1.292815e-07 4.513363e-10   0.9765   0.0548      137
features.6                       172    -0.460733 7.387189e-08 2.039108e-09   1.0000   0.0785       73
features.8                        95    -0.458225 1.270722e-07 6.644525e-10   0.9869   0.0705      137
features.5                        85    -0.452880 5.057737e-08 3.642787e-09   0.9634   0.0576       73
features.6                        45    -0.450262 2.883769e-08 1.286747e-09   0.9424   0.0419       73
features.9                       373    -0.449086 7.741446e-08 3.057229e-10   0.9243   0.0261      137
features.6                        68    -0.447644 3.557668e-08 1.443180e-09   0.9529   0.0576       73
features.13                      243    -0.445217 1.137590e-07 4.517826e-10   0.9791   0.0887      201
features.10                      280    -0.445170 1.328457e-07 5.663180e-10   0.9948   0.1044      137
features.11                      109    -0.445170 1.070318e-07 7.556664e-10   0.9112   0.0209      169
features.6                        64    -0.445026 3.589505e-08 1.534293e-09   0.9581   0.0681       73
features.8                       360    -0.443864 1.271908e-07 8.325602e-10   0.9896   0.1018      137
features.9                       250    -0.442559 1.005586e-07 4.847460e-10   0.9556   0.0705      137
features.8                        23    -0.441253 6.476326e-08 4.679593e-10   0.9191   0.0366      137
features.8                       139    -0.441253 1.016818e-07 7.939384e-10   0.9739   0.0914      137
features.9                       133    -0.441253 6.840427e-08 2.368213e-10   0.8982   0.0157      137
features.10                      310    -0.441253 4.999271e-08 3.397629e-10   0.9295   0.0470      137
features.13                      536    -0.439130 6.525782e-08 2.750251e-10   0.9235   0.0452      201
features.12                      387    -0.438261 9.179566e-08 3.958144e-10   0.9374   0.0609      201
features.6                       164    -0.437173 3.138997e-08 2.030789e-09   0.9476   0.0733       73
