================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-01 05:41:38
  remove_target  : 55695
  accum_removed  : 55782
  selected_channels : 198
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1011470
  model_sparsity : 55.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          1       91    94.8%
  features.3                144          0      108    75.0%
  features.4                144          7      127    88.2%
  features.5                192          6      170    88.5%
  features.6                192          0      149    77.6%
  features.7                192          2      169    88.0%
  features.8                384          7      143    37.2%
  features.9                384          0      277    72.1%
  features.10               384          8      342    89.1%
  features.11               384         17      327    85.2%
  features.12               576         43      419    72.7%
  features.13               576         30      418    72.6%
  features.14               576          1      519    90.1%
  features.15               960          5      559    58.2%
  features.16               960         10      412    42.9%
  features.17               960         61      885    92.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  6          1      16.7%
  features.3                 36          1       2.8%
  features.4                 24          1       4.2%
  features.5                 28          1       3.6%
  features.6                 43          1       2.3%
  features.7                 25          1       4.0%
  features.8                248          2       0.8%
  features.9                107          1       0.9%
  features.10                50          1       2.0%
  features.11                74          1       1.4%
  features.12               200          1       0.5%
  features.13               188          1       0.5%
  features.14                58          1       1.7%
  features.15               406          3       0.7%
  features.16               558          3       0.5%
  features.17               136          1       0.7%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 17채널 제거
  features.12: 43채널 제거
  features.13: 30채널 제거
  features.14: 1채널 제거
  features.15: 5채널 제거
  features.16: 10채널 제거
  features.17: 61채널 제거
  features.2: 1채널 제거
  features.4: 7채널 제거
  features.5: 6채널 제거
  features.7: 2채널 제거
  features.8: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.11                       13    -0.699774 2.181074e-07 2.128680e-08   1.0000   0.0007      169
features.17                      186    -0.696358 1.531939e-06 1.698505e-08   1.0000   0.0121      489
features.5                       166    -0.690443 2.348799e-08 6.139020e-08   0.9885   0.0050       73
features.5                       124    -0.688975 2.376085e-08 4.532592e-07   1.0000   0.0367       73
features.12                      391    -0.683752 3.366611e-08 8.341731e-08   1.0000   0.0541      201
features.4                         1    -0.661210 3.156522e-07 5.641709e-06   1.0000   0.1293       65
features.10                      338    -0.655272 3.066885e-08 1.070935e-07   1.0000   0.1490      137
features.17                       56    -0.642589 1.415594e-06 1.981617e-08   0.9241   0.0142      489
features.12                      105    -0.621298 3.008510e-08 2.172402e-08   0.8936   0.0141      201
features.13                      189    -0.618287 5.085871e-08 2.486349e-07   0.9501   0.1560      201
features.17                      526    -0.614703 1.371473e-06 5.584711e-08   0.8953   0.0399      489
features.17                      835    -0.614285 1.354737e-06 2.213035e-08   0.8843   0.0158      489
features.13                      550    -0.600178 4.795465e-08 1.430834e-07   0.8959   0.0898      201
features.4                        85    -0.575660 2.633641e-07 1.219255e-06   0.8343   0.0279       65
features.17                      318    -0.573413 1.273173e-06 3.893248e-08   0.8311   0.0278      489
features.12                      285    -0.568747 2.738951e-08 3.754436e-09   0.8135   0.0024      201
features.17                      709    -0.564655 1.247617e-06 2.531322e-08   0.8144   0.0181      489
features.5                        26    -0.563312 1.923330e-08 1.352867e-07   0.8094   0.0109       73
features.8                       341    -0.561826 7.896760e-08 1.842220e-08   0.8099   0.0170      137
features.12                       61    -0.558562 2.702737e-08 1.740476e-08   0.8028   0.0113      201
features.17                      261    -0.547416 1.221648e-06 5.037626e-08   0.7975   0.0360      489
features.17                      304    -0.539344 1.190347e-06 2.131370e-08   0.7770   0.0152      489
features.17                      198    -0.527706 1.169439e-06 3.103488e-08   0.7634   0.0222      489
features.13                      342    -0.523854 4.031033e-08 1.748719e-08   0.7531   0.0110      201
features.12                      107    -0.523274 2.531070e-08 1.532632e-08   0.7518   0.0099      201
features.17                      530    -0.514853 1.130176e-06 7.305537e-09   0.7377   0.0052      489
