================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 15
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-01 08:43:39
  remove_target  : 40563
  accum_removed  : 40877
  selected_channels : 149
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875062
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       93    96.9%
  features.3                144          1      111    77.1%
  features.4                144          0      135    93.8%
  features.5                192          0      178    92.7%
  features.6                192         10      167    87.0%
  features.7                192          0      180    93.8%
  features.8                384         14      192    50.0%
  features.9                384          7      294    76.6%
  features.10               384          8      361    94.0%
  features.11               384          2      364    94.8%
  features.12               576          8      500    86.8%
  features.13               576          5      505    87.7%
  features.14               576          0      542    94.1%
  features.15               960         43      608    63.3%
  features.16               960         37      522    54.4%
  features.17               960         14      931    97.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  3          1      33.3%
  features.3                 34          1       2.9%
  features.4                  9          1      11.1%
  features.5                 14          1       7.1%
  features.6                 35          1       2.9%
  features.7                 12          1       8.3%
  features.8                206          2       1.0%
  features.9                 97          1       1.0%
  features.10                31          1       3.2%
  features.11                22          1       4.5%
  features.12                84          1       1.2%
  features.13                76          1       1.3%
  features.14                34          1       2.9%
  features.15               395          2       0.5%
  features.16               475          3       0.6%
  features.17                43          1       2.3%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 2채널 제거
  features.12: 8채널 제거
  features.13: 5채널 제거
  features.15: 43채널 제거
  features.16: 37채널 제거
  features.17: 14채널 제거
  features.3: 1채널 제거
  features.6: 10채널 제거
  features.8: 14채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.17                      808    -0.666891 3.495407e-06 3.174799e-07   1.0000   0.1104      489
features.17                      467    -0.630158 3.295467e-06 2.857665e-07   0.9428   0.0993      489
features.6                         0    -0.600892 2.455758e-08 3.298134e-07   0.8627   0.0099       73
features.17                       21    -0.598556 3.112624e-06 2.376817e-07   0.8905   0.0826      489
features.12                      363    -0.562482 1.088328e-07 1.852970e-05   1.0000   0.4584      201
features.17                      576    -0.561056 2.942213e-06 2.700239e-07   0.8417   0.0939      489
features.15                      328    -0.557412 3.601091e-07 6.850471e-08   0.8037   0.0173      329
features.17                      942    -0.537663 2.874696e-06 3.646896e-07   0.8224   0.1268      489
features.17                      281    -0.536875 2.789561e-06 2.087557e-07   0.7981   0.0726      489
features.10                      344    -0.508741 3.519664e-08 1.002233e-06   1.0000   0.6375      137
features.17                      918    -0.489787 2.459931e-06 2.729064e-08   0.7038   0.0095      489
features.13                      139    -0.482817 9.930128e-08 5.655154e-07   0.6961   0.0150      201
features.15                      528    -0.481527 3.166168e-07 1.733736e-07   0.7066   0.0437      329
features.17                      947    -0.479836 2.447490e-06 9.881203e-08   0.7002   0.0343      489
features.12                      298    -0.466668 7.274906e-08 1.672900e-07   0.6684   0.0041      201
features.6                        60    -0.453039 1.878897e-08 9.973849e-07   0.6600   0.0299       73
features.16                      604    -0.444521 6.550091e-07 1.448750e-08   0.6353   0.0007      329
features.17                      561    -0.444444 2.300623e-06 1.561550e-07   0.6582   0.0543      489
features.10                      237    -0.427121 2.721331e-08 5.979086e-07   0.7732   0.3803      137
features.16                      135    -0.416320 6.132524e-07 4.006649e-09   0.5948   0.0002      329
features.16                      520    -0.415684 6.123947e-07 7.717253e-09   0.5940   0.0004      329
features.16                        3    -0.396494 5.842550e-07 1.366712e-08   0.5667   0.0007      329
features.6                       123    -0.391388 1.672403e-08 2.206086e-06   0.5875   0.0662       73
features.6                       170    -0.391053 1.598079e-08 2.119490e-07   0.5614   0.0064       73
features.15                      619    -0.384689 2.620226e-07 3.259244e-07   0.5848   0.0822      329
features.10                      371    -0.384376 2.220551e-08 2.999841e-07   0.6309   0.1908      137
