================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 16
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-01 09:44:28
  remove_target  : 36476
  accum_removed  : 36648
  selected_channels : 168
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 838414
  model_sparsity : 63.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       93    96.9%
  features.3                144          4      115    79.9%
  features.4                144          0      135    93.8%
  features.5                192          0      178    92.7%
  features.6                192         11      178    92.7%
  features.7                192          1      181    94.3%
  features.8                384          7      199    51.8%
  features.9                384         20      314    81.8%
  features.10               384         10      371    96.6%
  features.11               384          3      367    95.6%
  features.12               576         36      536    93.1%
  features.13               576         15      520    90.3%
  features.14               576          6      548    95.1%
  features.15               960         28      636    66.2%
  features.16               960         27      549    57.2%
  features.17               960          0      931    97.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  3          1      33.3%
  features.3                 33          1       3.0%
  features.4                  9          1      11.1%
  features.5                 14          1       7.1%
  features.6                 25          1       4.0%
  features.7                 12          1       8.3%
  features.8                192          1       0.5%
  features.9                 90          1       1.1%
  features.10                23          1       4.3%
  features.11                20          1       5.0%
  features.12                76          1       1.3%
  features.13                71          1       1.4%
  features.14                34          1       2.9%
  features.15               352          2       0.6%
  features.16               438          3       0.7%
  features.17                29          1       3.4%

[ 블록별 제거 채널 수 ]
  features.10: 10채널 제거
  features.11: 3채널 제거
  features.12: 36채널 제거
  features.13: 15채널 제거
  features.14: 6채널 제거
  features.15: 28채널 제거
  features.16: 27채널 제거
  features.3: 4채널 제거
  features.6: 11채널 제거
  features.7: 1채널 제거
  features.8: 7채널 제거
  features.9: 20채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.12                      553    -0.699534 4.976050e-08 3.162875e-08   1.0000   0.0015      201
features.10                      347    -0.695033 2.736416e-08 1.120394e-07   1.0000   0.0165      137
features.12                      156    -0.539031 3.873416e-08 4.088020e-07   0.7784   0.0195      201
features.12                      108    -0.533641 3.884307e-08 8.928280e-07   0.7806   0.0426      201
features.10                      313    -0.501144 1.961713e-08 1.499244e-08   0.7169   0.0022      137
features.12                      198    -0.497915 3.551058e-08 1.129947e-07   0.7136   0.0054      201
features.11                      235    -0.425153 6.603125e-07 7.159550e-05   1.0000   0.9162      169
features.10                      158    -0.400103 1.579788e-08 9.082215e-08   0.5773   0.0134      137
features.10                      123    -0.399712 1.656708e-08 5.457900e-07   0.6054   0.0802      137
features.12                      551    -0.391169 2.789625e-08 8.744545e-08   0.5606   0.0042      201
features.12                      396    -0.381990 2.738072e-08 2.221548e-07   0.5502   0.0106      201
features.6                       149    -0.358832 1.115103e-08 2.347807e-07   0.5142   0.0037       73
features.6                       191    -0.348108 1.087978e-08 6.515443e-07   0.5017   0.0103       73
features.9                       134    -0.333799 6.160288e-08 7.628249e-08   0.4802   0.0077      137
features.12                      366    -0.332641 2.396621e-08 3.142782e-07   0.4816   0.0150      201
features.10                      342    -0.324960 1.276506e-08 3.558317e-08   0.4665   0.0052      137
features.12                      481    -0.322540 2.337994e-08 4.438508e-07   0.4698   0.0212      201
features.10                      348    -0.319065 1.265945e-08 1.079892e-07   0.4626   0.0159      137
features.12                      142    -0.302662 2.209495e-08 5.698854e-07   0.4440   0.0272      201
features.13                      255    -0.296841 5.818680e-08 2.332659e-07   0.4272   0.0072      201
features.15                       65    -0.274679 2.641889e-07 1.306074e-07   0.4027   0.0240      329
features.12                      408    -0.272996 1.991813e-08 5.030834e-07   0.4003   0.0240      201
features.12                      243    -0.268889 1.915948e-08 4.403767e-08   0.3850   0.0021      201
features.6                        81    -0.268639 8.395946e-09 5.019654e-07   0.3872   0.0079       73
features.12                      554    -0.264142 1.901689e-08 2.356530e-07   0.3822   0.0112      201
features.12                      521    -0.258789 1.889060e-08 4.857450e-07   0.3796   0.0232      201
features.12                      210    -0.258550 1.847665e-08 9.528763e-08   0.3713   0.0045      201
features.13                      279    -0.258122 5.078516e-08 3.067897e-07   0.3728   0.0095      201
features.12                      340    -0.248938 1.820930e-08 5.044288e-07   0.3659   0.0240      201
features.10                      336    -0.247139 9.890069e-09 1.325967e-07   0.3614   0.0195      137
features.9                       369    -0.246836 4.636015e-08 2.015580e-07   0.3614   0.0204      137
features.10                      116    -0.240966 9.469709e-09 2.877135e-08   0.3460   0.0042      137
features.15                      927    -0.239752 2.253427e-07 1.212821e-08   0.3435   0.0022      329
features.12                      407    -0.238806 1.716320e-08 1.839022e-07   0.3449   0.0088      201
features.9                       102    -0.237110 4.388571e-08 7.702803e-08   0.3421   0.0078      137
features.12                      512    -0.235217 1.823087e-08 1.485119e-06   0.3664   0.0708      201
features.16                      677    -0.228937 5.935647e-07 4.505033e-07   0.3314   0.0100      329
features.12                      420    -0.226002 1.627783e-08 2.083439e-07   0.3271   0.0099      201
features.12                      102    -0.225812 1.611884e-08 6.526513e-08   0.3239   0.0031      201
features.10                       19    -0.223216 9.180704e-09 2.635955e-07   0.3355   0.0388      137
features.9                        48    -0.220940 4.103421e-08 9.720407e-08   0.3198   0.0098      137
features.9                       342    -0.216908 4.020087e-08 8.024023e-08   0.3133   0.0081      137
features.12                      514    -0.215616 1.563337e-08 3.006584e-07   0.3142   0.0143      201
features.12                      328    -0.214762 1.531880e-08 5.094919e-08   0.3078   0.0024      201
features.12                       11    -0.214572 1.561547e-08 3.560684e-07   0.3138   0.0170      201
features.12                       95    -0.212927 1.547633e-08 3.342490e-07   0.3110   0.0159      201
features.13                      493    -0.203014 3.977972e-08 1.511847e-07   0.2920   0.0047      201
features.12                      383    -0.202343 1.450443e-08 1.183495e-07   0.2915   0.0056      201
features.16                      281    -0.201386 5.164292e-07 6.248345e-08   0.2883   0.0014      329
features.13                      128    -0.201231 3.994731e-08 4.356611e-07   0.2933   0.0135      201
features.6                       141    -0.200420 6.214574e-09 3.783012e-08   0.2866   0.0006       73
features.16                      524    -0.198171 5.082831e-07 6.723857e-08   0.2837   0.0015      329
features.13                       21    -0.197543 3.932377e-08 4.877615e-07   0.2887   0.0151      201
features.16                      763    -0.195997 5.023991e-07 4.849505e-08   0.2805   0.0011      329
features.12                      563    -0.195656 1.403361e-08 1.227714e-07   0.2820   0.0059      201
features.9                       272    -0.195619 3.655815e-08 1.268724e-07   0.2849   0.0128      137
features.15                      661    -0.195590 1.895916e-07 1.215399e-07   0.2890   0.0223      329
features.12                      165    -0.194725 1.391646e-08 7.265878e-08   0.2797   0.0035      201
features.16                      740    -0.194678 4.992613e-07 6.244390e-08   0.2787   0.0014      329
features.15                      396    -0.194330 1.915812e-07 1.830286e-07   0.2920   0.0336      329
features.6                        46    -0.191972 5.970668e-09 1.596460e-07   0.2753   0.0025       73
features.16                      490    -0.189544 4.854948e-07 2.571635e-08   0.2710   0.0006      329
features.15                      560    -0.189485 1.781587e-07 1.077274e-08   0.2715   0.0020      329
features.10                      200    -0.187983 8.847599e-09 8.692093e-07   0.3233   0.1278      137
