================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 0.3000
  norm       : max
  timestamp  : 2026-09-01 15:48:04
  remove_target  : 19288
  accum_removed  : 19360
  selected_channels : 64
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 683828
  model_sparsity : 70.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       23    71.9%
  features.2                 96          0       93    96.9%
  features.3                144          2      119    82.6%
  features.4                144          0      137    95.1%
  features.5                192          0      180    93.8%
  features.6                192          0      186    96.9%
  features.7                192          0      186    96.9%
  features.8                384          1      315    82.0%
  features.9                384          5      350    91.1%
  features.10               384          0      372    96.9%
  features.11               384          0      370    96.4%
  features.12               576          0      558    96.9%
  features.13               576          0      558    96.9%
  features.14               576          0      558    96.9%
  features.15               960         14      873    90.9%
  features.16               960         42      667    69.5%
  features.17               960          0      931    97.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  9          1      11.1%
  features.2                  3          1      33.3%
  features.3                 27          1       3.7%
  features.4                  7          1      14.3%
  features.5                 12          1       8.3%
  features.6                  6          1      16.7%
  features.7                  6          1      16.7%
  features.8                 70          1       1.4%
  features.9                 39          1       2.6%
  features.10                12          1       8.3%
  features.11                14          1       7.1%
  features.12                18          1       5.6%
  features.13                18          1       5.6%
  features.14                18          1       5.6%
  features.15               101          1       1.0%
  features.16               335          2       0.6%
  features.17                29          1       3.4%

[ 블록별 제거 채널 수 ]
  features.15: 14채널 제거
  features.16: 42채널 제거
  features.3: 2채널 제거
  features.8: 1채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      290    -0.361657 8.921580e-07 4.548565e-07   0.5186   0.0046      329
features.16                      278    -0.324274 7.977971e-07 1.197354e-07   0.4638   0.0012      329
features.16                       15    -0.305001 7.680086e-07 2.483803e-06   0.4465   0.0250      329
features.16                      366    -0.252324 6.207007e-07 8.236375e-08   0.3608   0.0008      329
features.16                      911    -0.246371 6.065812e-07 1.509486e-07   0.3526   0.0015      329
features.16                      735    -0.241790 6.092059e-07 2.018210e-06   0.3541   0.0204      329
features.16                      798    -0.239321 5.887621e-07 8.457754e-08   0.3423   0.0009      329
features.16                      654    -0.237067 5.877677e-07 6.959754e-07   0.3417   0.0070      329
features.16                      743    -0.223942 5.508664e-07 7.098198e-08   0.3202   0.0007      329
features.16                      367    -0.215489 5.331797e-07 4.859342e-07   0.3099   0.0049      329
features.15                      770    -0.213658 1.977054e-07 1.917206e-06   0.3112   0.0140      329
features.16                      232    -0.211137 5.301185e-07 1.512943e-06   0.3082   0.0153      329
features.16                      382    -0.210958 5.204397e-07 2.701425e-07   0.3025   0.0027      329
features.16                      222    -0.209937 5.219941e-07 8.165915e-07   0.3034   0.0082      329
features.16                      705    -0.205295 5.054832e-07 1.301920e-07   0.2938   0.0013      329
features.15                       78    -0.194275 1.773147e-07 5.117431e-07   0.2791   0.0037      329
features.16                      958    -0.192117 4.773005e-07 6.956448e-07   0.2775   0.0070      329
features.16                      419    -0.191869 4.985991e-07 3.642292e-06   0.2898   0.0367      329
features.9                       296    -0.188331 9.073834e-08 4.790321e-06   0.2905   0.0500      137
features.16                      489    -0.187789 4.620577e-07 7.588217e-08   0.2686   0.0008      329
features.16                      567    -0.179792 4.809007e-07 5.253579e-06   0.2796   0.0530      329
features.16                      642    -0.176359 4.369783e-07 4.809283e-07   0.2540   0.0048      329
features.16                      598    -0.169277 4.172532e-07 1.686672e-07   0.2426   0.0017      329
features.16                      349    -0.167134 4.173086e-07 8.842500e-07   0.2426   0.0089      329
features.16                       24    -0.165009 4.090601e-07 4.771995e-07   0.2378   0.0048      329
features.16                      894    -0.163866 4.536541e-07 6.853142e-06   0.2637   0.0691      329
features.15                      930    -0.159508 1.466331e-07 9.471952e-07   0.2308   0.0069      329
features.15                      664    -0.155579 1.447101e-07 1.770739e-06   0.2278   0.0130      329
features.9                       127    -0.155352 7.091041e-08 1.130737e-06   0.2270   0.0118      137
features.15                       85    -0.154152 1.408404e-07 4.792719e-07   0.2217   0.0035      329
features.9                        79    -0.153022 6.889102e-08 4.292337e-07   0.2205   0.0045      137
features.15                      469    -0.147458 1.358666e-07 1.031392e-06   0.2139   0.0076      329
features.9                       199    -0.144579 6.643284e-08 1.367311e-06   0.2127   0.0143      137
features.16                      133    -0.139654 3.457453e-07 3.423368e-07   0.2010   0.0035      329
features.16                      769    -0.133041 3.442289e-07 2.324250e-06   0.2001   0.0234      329
features.16                      480    -0.132889 3.336061e-07 9.456004e-07   0.1939   0.0095      329
features.3                        46    -0.132801 8.200953e-08 2.497577e-05   0.1977   0.0187       57
features.16                      427    -0.130839 3.285858e-07 9.478863e-07   0.1910   0.0096      329
features.8                       195    -0.130700 7.680117e-08 1.548213e-06   0.1909   0.0097      137
features.3                        75    -0.129500 7.771543e-08 7.369508e-06   0.1874   0.0055       57
features.16                      109    -0.129144 3.189215e-07 2.082454e-07   0.1854   0.0021      329
features.15                      461    -0.127884 1.170064e-07 4.805102e-07   0.1842   0.0035      329
features.15                      427    -0.126773 1.169279e-07 9.469789e-07   0.1841   0.0069      329
features.16                      248    -0.126309 3.108868e-07 6.473996e-08   0.1807   0.0007      329
features.15                      727    -0.126301 1.165886e-07 9.915241e-07   0.1835   0.0073      329
features.15                      390    -0.125434 1.139774e-07 7.658069e-08   0.1794   0.0006      329
features.16                       12    -0.124939 3.092956e-07 3.034636e-07   0.1798   0.0031      329
features.16                      330    -0.124848 3.076222e-07 1.085747e-07   0.1788   0.0011      329
features.16                      779    -0.124305 3.067876e-07 1.759543e-07   0.1783   0.0018      329
features.16                      957    -0.124273 3.153131e-07 1.333033e-06   0.1833   0.0134      329
features.15                      919    -0.121915 1.141152e-07 1.747725e-06   0.1796   0.0128      329
features.16                       29    -0.121302 2.986814e-07 7.826434e-08   0.1736   0.0008      329
features.15                      776    -0.120078 1.096265e-07 3.319377e-07   0.1726   0.0024      329
features.9                        58    -0.119523 5.430079e-08 6.868814e-07   0.1738   0.0072      137
features.16                      451    -0.118929 2.992895e-07 9.442077e-07   0.1740   0.0095      329
features.16                      714    -0.117995 3.130111e-07 3.098666e-06   0.1820   0.0312      329
features.16                      443    -0.117860 2.983637e-07 1.173159e-06   0.1734   0.0118      329
features.15                      385    -0.116063 1.068763e-07 7.799942e-07   0.1683   0.0057      329
features.16                      669    -0.114996 2.844784e-07 2.520886e-07   0.1654   0.0025      329
features.16                      905    -0.113010 2.897809e-07 1.621891e-06   0.1685   0.0164      329
features.15                       48    -0.112104 1.032858e-07 7.811653e-07   0.1626   0.0057      329
features.16                      926    -0.111973 2.768103e-07 2.199230e-07   0.1609   0.0022      329
features.16                      921    -0.111022 2.733107e-07 6.375051e-08   0.1589   0.0006      329
features.16                      752    -0.110927 2.739559e-07 1.819320e-07   0.1593   0.0018      329
