================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 17
  alpha      : 0.5000
  norm       : rank
  timestamp  : 2026-08-31 10:06:05
  remove_target  : 32789
  accum_removed  : 32812
  selected_channels : 116
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 805379
  model_sparsity : 64.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       21    65.6%
  features.2                 96          0       88    91.7%
  features.3                144          3      131    91.0%
  features.4                144          5      114    79.2%
  features.5                192          3      176    91.7%
  features.6                192          1      176    91.7%
  features.7                192          3      168    87.5%
  features.8                384          0      353    91.9%
  features.9                384          0      353    91.9%
  features.10               384          6      353    91.9%
  features.11               384          6      343    89.3%
  features.12               576         13      495    85.9%
  features.13               576          5      504    87.5%
  features.14               576         15      439    76.2%
  features.15               960         17      859    89.5%
  features.16               960         12      854    89.0%
  features.17               960         26      690    71.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 12          1       8.3%
  features.2                  8          1      12.5%
  features.3                 16          1       6.2%
  features.4                 35          1       2.9%
  features.5                 19          1       5.3%
  features.6                 17          1       5.9%
  features.7                 27          1       3.7%
  features.8                 31          1       3.2%
  features.9                 31          1       3.2%
  features.10                37          1       2.7%
  features.11                47          1       2.1%
  features.12                94          1       1.1%
  features.13                77          1       1.3%
  features.14               152          1       0.7%
  features.15               118          1       0.8%
  features.16               118          1       0.8%
  features.17               296          2       0.7%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 6채널 제거
  features.11: 6채널 제거
  features.12: 13채널 제거
  features.13: 5채널 제거
  features.14: 15채널 제거
  features.15: 17채널 제거
  features.16: 12채널 제거
  features.17: 26채널 제거
  features.3: 3채널 제거
  features.4: 5채널 제거
  features.5: 3채널 제거
  features.6: 1채널 제거
  features.7: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      417    -0.334437 3.257044e-03 9.489439e-09   0.8079   0.1391      265
features.6                        99    -0.312500 4.598550e-04 1.247557e-06   0.8125   0.1875       73
features.5                       133    -0.305556 4.587583e-04 1.209098e-06   0.7778   0.1667       73
features.11                      259    -0.293478 2.190869e-03 9.748981e-07   0.8478   0.2609      169
features.17                      105    -0.289831 2.595125e-03 2.610787e-09   0.7288   0.1492      489
features.15                      275    -0.282051 4.926270e-04 2.272748e-08   0.6239   0.0598      329
features.12                      322    -0.274194 2.776488e-04 3.185925e-08   0.7204   0.1720      201
features.7                        28    -0.269231 8.581368e-03 1.528314e-06   0.9615   0.4231      105
features.15                      762    -0.269231 6.087382e-04 6.535672e-08   0.7265   0.1880      329
features.3                       122    -0.266667 6.443491e-04 1.434069e-05   0.8667   0.3333       57
features.12                      438    -0.258065 8.081587e-03 1.982705e-07   1.0000   0.4839      201
features.5                        48    -0.250000 3.659593e-04 2.211124e-06   0.7222   0.2222       73
features.15                      272    -0.235043 6.111136e-04 8.013730e-08   0.7350   0.2650      329
features.14                      398    -0.231788 2.709628e-03 2.404293e-08   0.7086   0.2450      265
features.14                      438    -0.231788 2.248722e-03 1.198170e-08   0.6424   0.1788      265
features.17                       72    -0.230508 4.304175e-03 6.243334e-09   0.8644   0.4034      489
features.13                      392    -0.230263 7.708605e-04 2.643210e-07   0.9079   0.4474      201
features.13                      136    -0.230263 2.651633e-04 1.113021e-07   0.6447   0.1842      201
features.12                       18    -0.225806 2.349360e-04 5.721362e-08   0.6667   0.2151      201
features.14                      409    -0.221854 2.345430e-03 1.767449e-08   0.6556   0.2119      265
features.14                      118    -0.221854 2.525106e-03 2.139592e-08   0.6821   0.2384      265
features.14                      331    -0.221854 1.746857e-03 5.857693e-09   0.5298   0.0861      265
features.4                       138    -0.220588 7.597082e-03 1.246913e-06   0.8529   0.4118       65
features.12                       12    -0.220430 3.938469e-03 2.671223e-07   0.9892   0.5484      201
features.11                      327    -0.217391 2.049341e-03 1.994864e-06   0.8043   0.3696      169
features.15                      172    -0.213675 5.192565e-04 6.747332e-08   0.6496   0.2222      329
features.7                        53    -0.211538 2.275309e-03 7.613332e-07   0.6923   0.2692      105
