================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 8
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-01 01:23:05
  remove_target  : 84999
  accum_removed  : 85146
  selected_channels : 378
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1275153
  model_sparsity : 44.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       23    71.9%
  features.2                 96          4       78    81.2%
  features.3                144          7       77    53.5%
  features.4                144         18      110    76.4%
  features.5                192         28      118    61.5%
  features.6                192         13      161    83.9%
  features.7                192         23      158    82.3%
  features.8                384         49      265    69.0%
  features.9                384         21      243    63.3%
  features.10               384          8      317    82.6%
  features.11               384         12      331    86.2%
  features.12               576         23      329    57.1%
  features.13               576         36      439    76.2%
  features.14               576          0      339    58.9%
  features.15               960         50      528    55.0%
  features.16               960         29      577    60.1%
  features.17               960         56      378    39.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                 22          1       4.5%
  features.3                 74          1       1.4%
  features.4                 52          1       1.9%
  features.5                102          1       1.0%
  features.6                 44          1       2.3%
  features.7                 57          1       1.8%
  features.8                168          1       0.6%
  features.9                162          1       0.6%
  features.10                75          1       1.3%
  features.11                65          1       1.5%
  features.12               270          2       0.7%
  features.13               173          1       0.6%
  features.14               237          2       0.8%
  features.15               482          3       0.6%
  features.16               412          3       0.7%
  features.17               638          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 8채널 제거
  features.11: 12채널 제거
  features.12: 23채널 제거
  features.13: 36채널 제거
  features.15: 50채널 제거
  features.16: 29채널 제거
  features.17: 56채널 제거
  features.2: 4채널 제거
  features.3: 7채널 제거
  features.4: 18채널 제거
  features.5: 28채널 제거
  features.6: 13채널 제거
  features.7: 23채널 제거
  features.8: 49채널 제거
  features.9: 21채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      469    -0.497417 7.601636e-03 3.237081e-09   1.0000   0.0052      329
features.5                        16    -0.494414 1.139744e-03 3.002270e-08   1.0000   0.0112       73
features.15                      301    -0.493985 3.284127e-03 6.657090e-09   1.0000   0.0120      329
features.5                       104    -0.491332 1.131082e-03 2.615946e-08   0.9924   0.0097       73
features.9                       265    -0.488571 1.886091e-03 2.271285e-08   1.0000   0.0229      137
features.6                       154    -0.478949 6.280672e-04 1.607227e-06   1.0000   0.0421       73
features.8                       182    -0.475959 1.145825e-03 3.371588e-08   0.9765   0.0246      137
features.8                       336    -0.467371 1.109475e-03 1.478717e-08   0.9455   0.0108      137
features.8                       318    -0.463777 1.121801e-03 3.905159e-08   0.9560   0.0285      137
features.8                       286    -0.461856 1.095736e-03 1.385704e-08   0.9338   0.0101      137
features.13                        1    -0.458199 9.819533e-04 1.238575e-07   1.0000   0.0836      201
features.15                      928    -0.452286 2.975896e-03 8.704984e-10   0.9061   0.0016      329
features.2                         2    -0.451685 8.651562e-04 7.486734e-05   1.0000   0.0966       49
features.5                         7    -0.434551 1.005463e-03 3.514904e-08   0.8822   0.0131       73
features.1                        31    -0.433274 1.741890e-03 3.795351e-05   0.8742   0.0076       25
features.4                        45    -0.417972 3.872765e-03 5.391232e-07   0.9431   0.1072       65
features.8                       233    -0.409162 9.915942e-04 3.667026e-08   0.8451   0.0267      137
features.11                      125    -0.409075 2.238189e-03 7.087529e-07   0.8782   0.0600      169
features.9                        19    -0.402526 1.554551e-03 1.904455e-08   0.8242   0.0192      137
features.17                      401    -0.400323 5.211707e-03 8.036050e-10   0.8036   0.0030      489
features.4                        67    -0.396437 3.736440e-03 5.887579e-07   0.9099   0.1171       65
features.5                         6    -0.392835 9.573040e-04 1.458020e-07   0.8399   0.0543       73
features.8                       374    -0.385896 9.089301e-04 3.871306e-09   0.7746   0.0028      137
features.7                       183    -0.381413 4.581160e-03 5.212819e-08   0.7790   0.0161      105
features.7                        32    -0.378095 4.835063e-03 2.130730e-07   0.8221   0.0659      105
features.9                       146    -0.377107 1.488723e-03 3.487921e-08   0.7893   0.0351      137
features.12                      488    -0.370687 1.367686e-03 2.636255e-08   0.7884   0.0470      201
features.4                       137    -0.367717 3.292004e-03 3.333076e-07   0.8017   0.0663       65
features.6                       146    -0.359690 4.536715e-04 1.126143e-07   0.7223   0.0030       73
features.7                         3    -0.358973 4.458191e-03 1.295858e-07   0.7580   0.0401      105
features.12                       42    -0.358494 1.651855e-03 1.319510e-07   0.9522   0.2352      201
features.4                        19    -0.351127 3.025032e-03 1.731954e-07   0.7367   0.0344       65
features.8                       174    -0.347762 8.373148e-04 2.476563e-08   0.7136   0.0181      137
features.5                       152    -0.346435 8.179974e-04 6.673200e-08   0.7177   0.0248       73
features.4                       136    -0.341579 3.457396e-03 7.987791e-07   0.8420   0.1588       65
features.17                       23    -0.341406 4.442162e-03 5.809556e-10   0.6850   0.0022      489
