================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 10
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-01 03:26:02
  remove_target  : 68824
  accum_removed  : 68953
  selected_channels : 313
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1129590
  model_sparsity : 50.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          3       85    88.5%
  features.3                144          5       86    59.7%
  features.4                144          2      117    81.2%
  features.5                192         12      141    73.4%
  features.6                192          7      173    90.1%
  features.7                192         11      177    92.2%
  features.8                384         18      289    75.3%
  features.9                384         15      272    70.8%
  features.10               384         25      354    92.2%
  features.11               384          7      342    89.1%
  features.12               576         64      415    72.0%
  features.13               576         42      489    84.9%
  features.14               576          1      340    59.0%
  features.15               960         56      652    67.9%
  features.16               960         33      645    67.2%
  features.17               960         12      449    46.8%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                 14          1       7.1%
  features.3                 63          1       1.6%
  features.4                 29          1       3.4%
  features.5                 63          1       1.6%
  features.6                 26          1       3.8%
  features.7                 26          1       3.8%
  features.8                113          1       0.9%
  features.9                127          1       0.8%
  features.10                55          1       1.8%
  features.11                49          1       2.0%
  features.12               225          2       0.9%
  features.13               129          1       0.8%
  features.14               237          2       0.8%
  features.15               364          2       0.5%
  features.16               348          2       0.6%
  features.17               523          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 25채널 제거
  features.11: 7채널 제거
  features.12: 64채널 제거
  features.13: 42채널 제거
  features.14: 1채널 제거
  features.15: 56채널 제거
  features.16: 33채널 제거
  features.17: 12채널 제거
  features.2: 3채널 제거
  features.3: 5채널 제거
  features.4: 2채널 제거
  features.5: 12채널 제거
  features.6: 7채널 제거
  features.7: 11채널 제거
  features.8: 18채널 제거
  features.9: 15채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.6                        96    -0.495051 6.007113e-04 1.212636e-06   1.0000   0.0099       73
features.10                      108    -0.491947 5.488072e-04 2.508922e-08   1.0000   0.0161      137
features.13                      485    -0.485802 6.453237e-04 5.496975e-08   1.0000   0.0284      201
features.2                        22    -0.483954 5.110576e-04 9.766700e-04   1.0000   0.0321       49
features.13                      550    -0.452455 6.284020e-04 1.333189e-07   0.9738   0.0689      201
features.5                        39    -0.433121 1.015623e-03 1.686910e-07   0.9537   0.0875       73
features.7                       156    -0.406312 3.655408e-03 2.170441e-06   1.0000   0.1874      105
features.8                       172    -0.397517 9.613829e-04 2.746150e-08   0.8088   0.0137      137
features.12                      480    -0.388565 6.882695e-04 1.960819e-08   0.8034   0.0263      201
features.10                       60    -0.380378 4.426263e-04 7.129664e-08   0.8065   0.0458      137
features.10                      293    -0.379186 4.817088e-04 1.859485e-07   0.8777   0.1194      137
features.13                      372    -0.369952 5.207600e-04 1.298401e-07   0.8070   0.0671      201
features.12                      522    -0.359196 6.328095e-04 1.513211e-08   0.7387   0.0203      201
features.12                       87    -0.358356 6.541273e-04 3.495072e-08   0.7636   0.0468      201
features.10                      307    -0.350421 4.033013e-04 5.300573e-08   0.7349   0.0340      137
features.15                      394    -0.333481 1.341000e-03 6.254780e-09   0.6744   0.0074      329
features.10                      252    -0.331260 3.921549e-04 8.106530e-08   0.7146   0.0520      137
features.10                      291    -0.330297 4.658896e-04 2.933632e-07   0.8489   0.1883      137
features.6                        59    -0.321245 3.871924e-04 2.531851e-07   0.6446   0.0021       73
features.6                       174    -0.310553 3.738728e-04 1.565226e-07   0.6224   0.0013       73
features.13                       39    -0.307240 4.129887e-04 4.934779e-08   0.6400   0.0255      201
features.12                       36    -0.305602 6.359397e-04 9.782382e-08   0.7423   0.1311      201
features.12                      411    -0.299444 7.121997e-04 1.734219e-07   0.8313   0.2325      201
features.6                        19    -0.298624 3.643224e-04 1.131700e-06   0.6065   0.0092       73
features.10                       65    -0.298066 3.301209e-04 8.399113e-09   0.6015   0.0054      137
features.13                      511    -0.293468 3.955003e-04 5.020936e-08   0.6129   0.0259      201
features.12                      353    -0.291414 5.486726e-04 4.299825e-08   0.6405   0.0576      201
