================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 12
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-01 05:28:45
  remove_target  : 55698
  accum_removed  : 55819
  selected_channels : 195
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 1011464
  model_sparsity : 55.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          3       93    96.9%
  features.3                144         10      112    77.8%
  features.4                144          1      123    85.4%
  features.5                192         11      162    84.4%
  features.6                192          0      186    96.9%
  features.7                192          0      182    94.8%
  features.8                384         15      326    84.9%
  features.9                384          3      325    84.6%
  features.10               384          0      366    95.3%
  features.11               384         10      358    93.2%
  features.12               576         15      446    77.4%
  features.13               576         12      511    88.7%
  features.14               576          1      341    59.2%
  features.15               960         69      753    78.4%
  features.16               960          2      656    68.3%
  features.17               960         43      548    57.1%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  6          1      16.7%
  features.3                 42          1       2.4%
  features.4                 22          1       4.5%
  features.5                 41          1       2.4%
  features.6                  6          1      16.7%
  features.7                 10          1      10.0%
  features.8                 73          1       1.4%
  features.9                 62          1       1.6%
  features.10                18          1       5.6%
  features.11                36          1       2.8%
  features.12               145          1       0.7%
  features.13                77          1       1.3%
  features.14               236          2       0.8%
  features.15               276          2       0.7%
  features.16               306          2       0.7%
  features.17               455          3       0.7%

[ 블록별 제거 채널 수 ]
  features.11: 10채널 제거
  features.12: 15채널 제거
  features.13: 12채널 제거
  features.14: 1채널 제거
  features.15: 69채널 제거
  features.16: 2채널 제거
  features.17: 43채널 제거
  features.2: 3채널 제거
  features.3: 10채널 제거
  features.4: 1채널 제거
  features.5: 11채널 제거
  features.8: 15채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        49    -0.499848 2.307199e-04 1.057836e-03   1.0000   0.0003       49
features.8                        96    -0.496674 6.855304e-04 5.982702e-08   1.0000   0.0067      137
features.13                      209    -0.477177 4.372199e-04 9.149262e-08   1.0000   0.0456      201
features.3                       143    -0.476271 1.141777e-03 1.264072e-06   0.9589   0.0063       57
features.5                       173    -0.464077 6.518831e-04 2.892237e-07   1.0000   0.0718       73
features.15                      417    -0.436924 1.129373e-03 2.076509e-07   1.0000   0.1262      329
features.3                       128    -0.435658 1.039088e-03 2.634122e-07   0.8726   0.0013       57
features.15                      551    -0.385358 9.130174e-04 6.207671e-08   0.8084   0.0377      329
features.15                      170    -0.385358 9.031528e-04 4.769976e-08   0.7997   0.0290      329
features.3                       136    -0.381383 9.137717e-04 9.237114e-07   0.7674   0.0046       57
features.15                      249    -0.362191 8.354950e-04 2.535804e-08   0.7398   0.0154      329
features.12                      542    -0.361901 6.289592e-04 1.249181e-08   0.7302   0.0064      201
features.15                      739    -0.354666 1.108890e-03 4.485998e-07   0.9819   0.2725      329
features.15                      304    -0.354614 8.351372e-04 4.978106e-08   0.7395   0.0302      329
features.11                      353    -0.339330 1.891814e-03 1.601337e-05   1.0000   0.3213      169
features.5                       127    -0.322039 4.844160e-04 3.986330e-07   0.7431   0.0990       73
features.15                      246    -0.321442 8.793143e-04 2.233723e-07   0.7786   0.1357      329
features.15                      574    -0.314426 7.692020e-04 8.598163e-08   0.6811   0.0522      329
features.8                        29    -0.306249 4.213147e-04 1.874313e-08   0.6146   0.0021      137
features.8                       266    -0.305757 4.355198e-04 2.139567e-07   0.6353   0.0238      137
features.5                       111    -0.305469 4.201773e-04 1.353435e-07   0.6446   0.0336       73
features.15                      547    -0.303849 7.179481e-04 4.610254e-08   0.6357   0.0280      329
features.8                        58    -0.302392 4.501658e-04 4.666429e-07   0.6567   0.0519      137
features.15                      466    -0.300155 7.003664e-04 3.263618e-08   0.6201   0.0198      329
features.15                      402    -0.299279 7.158206e-04 5.804653e-08   0.6338   0.0353      329
features.15                      751    -0.298798 6.970008e-04 3.219853e-08   0.6172   0.0196      329
features.8                        75    -0.297964 5.657900e-04 2.063263e-06   0.8253   0.2294      137
features.17                      145    -0.297313 2.117606e-03 7.973323e-10   0.5967   0.0021      489
features.5                       158    -0.295244 4.595496e-04 4.607988e-07   0.7050   0.1145       73
features.15                      227    -0.291800 6.805772e-04 3.130178e-08   0.6026   0.0190      329
features.5                        67    -0.280401 4.804317e-04 7.092571e-07   0.7370   0.1762       73
features.13                      269    -0.280107 2.986986e-04 2.464631e-07   0.6832   0.1230      201
features.17                      536    -0.276713 2.000683e-03 3.945776e-09   0.5638   0.0103      489
features.13                       77    -0.274636 2.767089e-04 1.675864e-07   0.6329   0.0836      201
features.13                      500    -0.273059 2.805033e-04 1.913013e-07   0.6416   0.0954      201
