================================================================================
Channel Pruning Log
  dataset    : CelebA
  impt_type  : 2
  seed       : 42
  iteration  : 22
  alpha      : 0.5000
  norm       : max
  timestamp  : 2026-09-01 15:40:23
  remove_target  : 19339
  accum_removed  : 19814
  selected_channels : 54
  gamma             : 0.0050
  cap_multiplier    : None
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 683880
  model_sparsity : 70.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      117    81.2%
  features.4                144          0      139    96.5%
  features.5                192          0      186    96.9%
  features.6                192          0      186    96.9%
  features.7                192          0      186    96.9%
  features.8                384          0      372    96.9%
  features.9                384          0      372    96.9%
  features.10               384          0      372    96.9%
  features.11               384          0      372    96.9%
  features.12               576          1      554    96.2%
  features.13               576          0      558    96.9%
  features.14               576          6      526    91.3%
  features.15               960          0      931    97.0%
  features.16               960         31      893    93.0%
  features.17               960         16      735    76.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  8          1      12.5%
  features.2                  3          1      33.3%
  features.3                 27          1       3.7%
  features.4                  5          1      20.0%
  features.5                  6          1      16.7%
  features.6                  6          1      16.7%
  features.7                  6          1      16.7%
  features.8                 12          1       8.3%
  features.9                 12          1       8.3%
  features.10                12          1       8.3%
  features.11                12          1       8.3%
  features.12                23          1       4.3%
  features.13                18          1       5.6%
  features.14                56          1       1.8%
  features.15                29          1       3.4%
  features.16                98          1       1.0%
  features.17               241          2       0.8%

[ 블록별 제거 채널 수 ]
  features.12: 1채널 제거
  features.14: 6채널 제거
  features.16: 31채널 제거
  features.17: 16채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.16                      453    -0.425073 7.737520e-04 1.760643e-07   0.8618   0.0117      329
features.16                      428    -0.374525 8.978344e-04 3.791735e-06   1.0000   0.2509      329
features.16                      500    -0.358081 6.590774e-04 2.706589e-07   0.7341   0.0179      329
features.16                      182    -0.337147 6.406855e-04 5.937449e-07   0.7136   0.0393      329
features.14                      329    -0.318844 3.112189e-03 5.814583e-07   1.0000   0.3623      265
features.16                      306    -0.302158 5.698419e-04 4.588560e-07   0.6347   0.0304      329
features.16                      844    -0.299269 5.719371e-04 5.814376e-07   0.6370   0.0385      329
features.17                      591    -0.295291 2.476607e-03 4.585176e-08   0.9817   0.3911      489
features.16                      628    -0.280999 5.383352e-04 5.680511e-07   0.5996   0.0376      329
features.16                      363    -0.276502 5.061261e-04 1.618911e-07   0.5637   0.0107      329
features.16                      794    -0.267434 5.093320e-04 4.898814e-07   0.5673   0.0324      329
features.16                      472    -0.266419 5.012174e-04 3.839885e-07   0.5583   0.0254      329
features.16                       56    -0.262740 5.523515e-04 1.355681e-06   0.6152   0.0897      329
features.17                      185    -0.260304 1.635629e-03 1.497338e-08   0.6483   0.1277      489
features.14                      395    -0.259525 2.768455e-03 5.946033e-07   0.8896   0.3705      265
features.17                      714    -0.255432 1.798109e-03 2.366673e-08   0.7127   0.2019      489
features.16                      466    -0.249875 4.781517e-04 4.957774e-07   0.5326   0.0328      329
features.17                      260    -0.249141 1.449625e-03 8.946888e-09   0.5746   0.0763      489
features.16                      201    -0.239617 4.326022e-04 3.921146e-08   0.4818   0.0026      329
features.17                      238    -0.238887 1.624039e-03 1.945676e-08   0.6437   0.1660      489
features.17                       37    -0.234798 1.785327e-03 2.791109e-08   0.7077   0.2381      489
features.12                      305    -0.229373 8.769792e-05 1.264401e-07   0.4617   0.0029      201
features.17                      574    -0.227262 1.698894e-03 2.566156e-08   0.6734   0.2189      489
features.16                      545    -0.219253 4.828893e-04 1.500877e-06   0.5378   0.0993      329
features.17                      653    -0.214317 1.786768e-03 3.278056e-08   0.7082   0.2796      489
features.14                      481    -0.212285 1.432466e-03 5.730247e-08   0.4603   0.0357      265
features.16                      688    -0.205381 3.877966e-04 3.197501e-07   0.4319   0.0212      329
features.16                       89    -0.202171 3.836197e-04 3.464664e-07   0.4273   0.0229      329
features.17                      279    -0.201254 1.091758e-03 3.544988e-09   0.4327   0.0302      489
features.16                      438    -0.197286 3.969281e-04 7.180571e-07   0.4421   0.0475      329
features.17                      336    -0.192454 1.484975e-03 2.388220e-08   0.5886   0.2037      489
features.16                      654    -0.192312 3.744977e-04 4.908941e-07   0.4171   0.0325      329
features.17                      843    -0.190420 1.315256e-03 1.647187e-08   0.5213   0.1405      489
features.16                      673    -0.187776 3.577058e-04 3.453755e-07   0.3984   0.0229      329
features.14                      318    -0.186552 1.185265e-03 1.242397e-08   0.3808   0.0077      265
features.17                      872    -0.185781 1.502004e-03 2.623829e-08   0.5954   0.2238      489
features.16                      169    -0.183960 3.325634e-04 3.755332e-08   0.3704   0.0025      329
features.16                      455    -0.183730 3.444640e-04 2.447984e-07   0.3837   0.0162      329
features.16                      894    -0.183627 3.975278e-04 1.140900e-06   0.4428   0.0755      329
features.16                      868    -0.180223 3.240202e-04 6.715152e-09   0.3609   0.0004      329
features.16                      712    -0.176820 3.254248e-04 1.331971e-07   0.3625   0.0088      329
features.16                      686    -0.175180 3.551181e-04 6.824595e-07   0.3955   0.0452      329
features.17                      371    -0.174540 1.113529e-03 1.082085e-08   0.4414   0.0923      489
features.14                       76    -0.173854 1.596866e-03 2.654316e-07   0.5131   0.1654      265
features.16                      570    -0.170660 3.164876e-04 1.689452e-07   0.3525   0.0112      329
features.16                      643    -0.169388 3.251349e-04 3.529156e-07   0.3621   0.0234      329
features.17                      352    -0.168472 1.003465e-03 7.128655e-09   0.3977   0.0608      489
features.16                      164    -0.167917 3.089987e-04 1.258002e-07   0.3442   0.0083      329
features.16                      246    -0.167702 3.143683e-04 2.226500e-07   0.3501   0.0147      329
features.16                      251    -0.164847 3.193078e-04 3.920713e-07   0.3556   0.0259      329
features.14                       84    -0.164501 1.039415e-03 7.992813e-09   0.3340   0.0050      265
features.16                      200    -0.164400 2.966497e-04 2.426514e-08   0.3304   0.0016      329
features.17                      808    -0.163610 1.228976e-03 1.874896e-08   0.4871   0.1599      489
features.17                      486    -0.162813 1.806873e-03 4.579201e-08   0.7162   0.3906      489
