================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 1
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-23 23:08:12
  remove_target  : 44482
  accum_removed  : 44611
  selected_channels : 235
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2147709
  model_sparsity : 2.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        1     3.1%
  features.2                 96          4        4     4.2%
  features.3                144          7        7     4.9%
  features.4                144          4        4     2.8%
  features.5                192         10       10     5.2%
  features.6                192         13       13     6.8%
  features.7                192          6        6     3.1%
  features.8                384         26       26     6.8%
  features.9                384         23       23     6.0%
  features.10               384         19       19     4.9%
  features.11               384         21       21     5.5%
  features.12               576         23       23     4.0%
  features.13               576         13       13     2.3%
  features.14               576         16       16     2.8%
  features.15               960         34       34     3.5%
  features.16               960          9        9     0.9%
  features.17               960          6        6     0.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 32          1       3.1%
  features.2                 96          1       1.0%
  features.3                144          1       0.7%
  features.4                144          1       0.7%
  features.5                192          1       0.5%
  features.6                192          1       0.5%
  features.7                192          1       0.5%
  features.8                384          2       0.5%
  features.9                384          2       0.5%
  features.10               384          2       0.5%
  features.11               384          2       0.5%
  features.12               576          3       0.5%
  features.13               576          3       0.5%
  features.14               576          3       0.5%
  features.15               960          5       0.5%
  features.16               960          5       0.5%
  features.17               960          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 19채널 제거
  features.11: 21채널 제거
  features.12: 23채널 제거
  features.13: 13채널 제거
  features.14: 16채널 제거
  features.15: 34채널 제거
  features.16: 9채널 제거
  features.17: 6채널 제거
  features.2: 4채널 제거
  features.3: 7채널 제거
  features.4: 4채널 제거
  features.5: 10채널 제거
  features.6: 13채널 제거
  features.7: 6채널 제거
  features.8: 26채널 제거
  features.9: 23채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       259    -0.096606 6.806304e-07 2.784263e-08   0.9896   0.0026      137
features.4                         4    -0.093706 7.289306e-07 2.475371e-07   0.9371   0.0000       65
features.8                       373    -0.093211 4.965697e-07 3.107186e-08   0.9791   0.0052      137
features.11                      278    -0.090078 6.510389e-07 6.204607e-08   0.9713   0.0078      169
features.11                       23    -0.087990 8.156411e-07 7.292046e-08   0.9974   0.0131      169
features.5                        30    -0.087958 7.956623e-08 6.728871e-08   0.8796   0.0000       73
features.11                      109    -0.087206 6.083687e-07 6.717733e-08   0.9661   0.0104      169
features.9                       215    -0.083290 4.275133e-07 2.439835e-08   0.9504   0.0131      137
features.12                      424    -0.081739 2.635869e-07 1.749482e-08   0.9426   0.0139      201
features.5                       155    -0.081152 6.027175e-07 1.236625e-07   1.0000   0.0209       73
features.9                       141    -0.079634 4.379542e-07 2.861588e-08   0.9608   0.0183      137
features.6                        45    -0.079581 8.103000e-08 7.387291e-08   0.8901   0.0105       73
features.11                      359    -0.077285 5.742497e-07 8.689919e-08   0.9608   0.0209      169
features.5                        72    -0.075916 7.176097e-08 8.424909e-08   0.8534   0.0105       73
features.5                        85    -0.075916 3.349764e-07 1.454810e-07   0.9948   0.0262       73
features.10                      288    -0.075196 2.457742e-07 2.081795e-08   0.9399   0.0209      137
features.7                        16    -0.074869 9.319405e-07 1.771327e-07   0.7487   0.0000      105
features.3                        49    -0.074825 2.994900e-08 6.862724e-07   0.8112   0.0070       57
features.6                        77    -0.074346 4.818281e-08 5.077646e-08   0.7906   0.0052       73
features.8                       127    -0.074151 1.039704e-06 4.163871e-08   1.0000   0.0287      137
features.11                      249    -0.074151 6.637173e-07 9.030619e-08   0.9765   0.0261      169
features.10                      194    -0.073890 2.883878e-07 2.577277e-08   0.9504   0.0235      137
features.8                        94    -0.072585 8.507889e-08 2.211487e-08   0.7258   0.0000      137
features.9                       250    -0.072063 2.820353e-07 2.881937e-08   0.9086   0.0209      137
features.5                        64    -0.071728 7.251241e-08 8.623498e-08   0.8586   0.0157       73
features.9                        64    -0.071279 5.084456e-07 3.185323e-08   0.9713   0.0287      137
features.9                       173    -0.071018 1.930873e-07 2.534991e-08   0.8512   0.0157      137
features.8                       153    -0.070757 2.266942e-07 3.874037e-08   0.8956   0.0209      137
features.3                        75    -0.070629 2.386781e-08 3.142928e-07   0.7063   0.0000       57
features.8                       160    -0.070496 1.649733e-07 3.864017e-08   0.8460   0.0157      137
features.8                       314    -0.069974 1.051412e-07 3.391688e-08   0.7702   0.0078      137
features.10                      358    -0.069713 3.132916e-07 2.654660e-08   0.9556   0.0287      137
features.8                        93    -0.067624 4.019853e-07 4.241812e-08   0.9582   0.0313      137
features.6                       152    -0.066492 5.052481e-08 9.269738e-08   0.8063   0.0157       73
features.12                      390    -0.065565 2.862559e-07 3.087667e-08   0.9530   0.0330      201
features.11                       49    -0.065274 3.852311e-07 9.031844e-08   0.9112   0.0287      169
features.2                        50    -0.065263 2.378836e-07 7.234793e-07   0.7474   0.0105       49
features.13                      307    -0.064696 1.104893e-07 2.446592e-08   0.8504   0.0226      201
features.9                       257    -0.064491 9.866448e-08 1.799479e-08   0.7389   0.0104      137
features.15                      482    -0.063712 5.783079e-07 1.345113e-08   0.9187   0.0313      329
features.8                       343    -0.063708 1.970778e-07 4.149830e-08   0.8721   0.0261      137
features.14                      476    -0.063478 8.951044e-07 3.073643e-08   0.8696   0.0261      265
features.10                      310    -0.062141 1.954034e-07 2.724743e-08   0.9034   0.0313      137
features.9                       123    -0.061880 3.094445e-07 3.255590e-08   0.9243   0.0339      137
features.9                       310    -0.061097 8.156145e-08 1.418459e-08   0.6815   0.0078      137
features.12                      470    -0.061043 4.241646e-07 3.684450e-08   0.9861   0.0417      201
features.8                       311    -0.060836 5.982324e-07 4.486732e-08   0.9843   0.0418      137
