================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 3
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-23 23:21:11
  remove_target  : 42280
  accum_removed  : 42302
  selected_channels : 214
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2061926
  model_sparsity : 5.9%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        2     6.2%
  features.2                 96          7       18    18.8%
  features.3                144          6       19    13.2%
  features.4                144          6       15    10.4%
  features.5                192          8       25    13.0%
  features.6                192          7       29    15.1%
  features.7                192          9       25    13.0%
  features.8                384         20       72    18.8%
  features.9                384         19       62    16.1%
  features.10               384         15       50    13.0%
  features.11               384         18       60    15.6%
  features.12               576         22       62    10.8%
  features.13               576         10       38     6.6%
  features.14               576          6       36     6.2%
  features.15               960         44      117    12.2%
  features.16               960         10       26     2.7%
  features.17               960          6       18     1.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 31          1       3.2%
  features.2                 85          1       1.2%
  features.3                131          1       0.8%
  features.4                135          1       0.7%
  features.5                175          1       0.6%
  features.6                170          1       0.6%
  features.7                176          1       0.6%
  features.8                332          2       0.6%
  features.9                341          2       0.6%
  features.10               349          2       0.6%
  features.11               342          2       0.6%
  features.12               536          3       0.6%
  features.13               548          3       0.5%
  features.14               546          3       0.5%
  features.15               887          5       0.6%
  features.16               944          5       0.5%
  features.17               948          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 15채널 제거
  features.11: 18채널 제거
  features.12: 22채널 제거
  features.13: 10채널 제거
  features.14: 6채널 제거
  features.15: 44채널 제거
  features.16: 10채널 제거
  features.17: 6채널 제거
  features.2: 7채널 제거
  features.3: 6채널 제거
  features.4: 6채널 제거
  features.5: 8채널 제거
  features.6: 7채널 제거
  features.7: 9채널 제거
  features.8: 20채널 제거
  features.9: 19채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                         0    -0.091667 6.083391e-07 2.953200e-06   0.9167   0.0000       49
features.11                       61    -0.070968 4.855965e-07 2.443675e-07   0.9208   0.0235      169
features.8                       185    -0.068580 1.469486e-07 1.094749e-07   0.8761   0.0211      137
features.8                       341    -0.068580 9.988999e-08 8.783128e-08   0.7674   0.0091      137
features.9                        41    -0.066471 2.523454e-07 6.983073e-08   0.9029   0.0265      137
features.11                      200    -0.062170 1.000734e-06 2.801650e-07   0.9912   0.0411      169
features.15                      324    -0.060948 1.455212e-06 3.775273e-08   0.9955   0.0429      329
features.15                      591    -0.058352 2.923040e-07 2.537414e-08   0.7664   0.0203      329
features.10                      152    -0.057759 1.630813e-07 6.877364e-08   0.8879   0.0345      137
features.9                       305    -0.056471 7.815201e-08 5.228177e-08   0.6706   0.0118      137
features.8                        21    -0.056193 1.083747e-07 1.150537e-07   0.8066   0.0272      137
features.9                       321    -0.056176 4.046831e-07 7.941813e-08   0.9588   0.0441      137
features.5                       126    -0.055747 1.264596e-07 4.835887e-07   0.9195   0.0402       73
features.10                       82    -0.052011 7.638972e-08 5.805885e-08   0.7270   0.0230      137
features.7                        69    -0.051429 1.197937e-06 5.113347e-07   0.7714   0.0286      105
features.8                       257    -0.050151 5.094982e-07 1.460137e-07   0.9909   0.0544      137
features.9                       100    -0.048824 1.946088e-07 7.746813e-08   0.8588   0.0412      137
features.4                         2    -0.048507 2.017521e-07 5.391398e-07   0.4851   0.0000       65
features.15                      847    -0.047291 3.998582e-07 3.589358e-08   0.8284   0.0395      329
features.12                      174    -0.047103 2.511190e-07 6.972263e-08   0.9252   0.0505      201
features.4                        77    -0.047015 5.230573e-07 6.076983e-07   0.8060   0.0373       65
features.2                        70    -0.046429 8.722306e-08 3.000338e-06   0.5714   0.0119       49
features.2                        15    -0.046429 5.885262e-07 3.675763e-06   0.8929   0.0476       49
features.10                      120    -0.044828 5.178555e-08 4.538655e-08   0.6293   0.0201      137
features.15                      367    -0.043567 7.229985e-07 3.974761e-08   0.9334   0.0553      329
features.8                       383    -0.043202 2.552693e-07 1.489024e-07   0.9486   0.0574      137
features.6                        10    -0.042604 2.358929e-08 3.017009e-07   0.6923   0.0296       73
