================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 4
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-23 23:28:07
  remove_target  : 41223
  accum_removed  : 41242
  selected_channels : 202
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2020684
  model_sparsity : 7.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        3     9.4%
  features.2                 96          3       21    21.9%
  features.3                144          4       23    16.0%
  features.4                144          5       20    13.9%
  features.5                192          6       31    16.1%
  features.6                192          8       37    19.3%
  features.7                192          8       33    17.2%
  features.8                384         18       90    23.4%
  features.9                384         17       79    20.6%
  features.10               384         13       63    16.4%
  features.11               384         19       79    20.6%
  features.12               576         19       81    14.1%
  features.13               576         12       50     8.7%
  features.14               576         11       47     8.2%
  features.15               960         40      157    16.4%
  features.16               960         14       40     4.2%
  features.17               960          4       22     2.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 30          1       3.3%
  features.2                 78          1       1.3%
  features.3                125          1       0.8%
  features.4                129          1       0.8%
  features.5                167          1       0.6%
  features.6                163          1       0.6%
  features.7                167          1       0.6%
  features.8                312          2       0.6%
  features.9                322          2       0.6%
  features.10               334          2       0.6%
  features.11               324          2       0.6%
  features.12               514          3       0.6%
  features.13               538          3       0.6%
  features.14               540          3       0.6%
  features.15               843          5       0.6%
  features.16               934          5       0.5%
  features.17               942          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 13채널 제거
  features.11: 19채널 제거
  features.12: 19채널 제거
  features.13: 12채널 제거
  features.14: 11채널 제거
  features.15: 40채널 제거
  features.16: 14채널 제거
  features.17: 4채널 제거
  features.2: 3채널 제거
  features.3: 4채널 제거
  features.4: 5채널 제거
  features.5: 6채널 제거
  features.6: 8채널 제거
  features.7: 8채널 제거
  features.8: 18채널 제거
  features.9: 17채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        80    -0.083117 4.043836e-07 3.957141e-06   0.8312   0.0000       49
features.9                       234    -0.071340 3.079143e-07 9.508960e-08   0.9377   0.0249      137
features.8                       280    -0.066559 9.112654e-08 1.435485e-07   0.7524   0.0096      137
features.4                        51    -0.066406 3.744411e-07 6.470163e-07   0.7344   0.0078       65
features.12                      150    -0.064717 3.462717e-07 7.833727e-08   0.9630   0.0351      201
features.7                       119    -0.062048 9.621439e-07 5.026541e-07   0.6747   0.0060      105
features.8                       131    -0.059807 8.684645e-08 1.499421e-07   0.7428   0.0161      137
features.5                       142    -0.059036 5.774056e-08 5.422456e-07   0.8072   0.0241       73
features.11                       11    -0.058824 4.552596e-07 3.747887e-07   0.9226   0.0372      169
features.10                       45    -0.054955 1.512189e-07 8.077584e-08   0.8739   0.0360      137
features.15                      220    -0.053919 3.267039e-07 4.176252e-08   0.7850   0.0273      329
features.2                        52    -0.053247 1.671685e-07 4.539203e-06   0.6494   0.0130       49
features.8                       273    -0.047588 1.474466e-07 1.734224e-07   0.8810   0.0450      137
features.15                      148    -0.047031 2.718720e-07 4.228157e-08   0.7482   0.0309      329
features.12                       54    -0.046979 1.346106e-07 8.417246e-08   0.8382   0.0409      201
features.15                      606    -0.046912 2.107203e-07 4.164316e-08   0.7043   0.0261      329
features.15                      582    -0.046675 6.039544e-07 4.858116e-08   0.9050   0.0487      329
features.9                       337    -0.046106 4.541991e-07 1.166009e-07   0.9657   0.0561      137
features.15                      692    -0.044774 2.527038e-07 4.228258e-08   0.7363   0.0321      329
features.9                        66    -0.044237 5.592163e-08 9.305846e-08   0.5545   0.0125      137
features.6                        35    -0.043827 1.881375e-08 3.150473e-07   0.6049   0.0185       73
features.16                      824    -0.043194 1.082847e-07 5.294343e-09   0.5766   0.0161      329
features.7                        40    -0.042169 1.147078e-06 6.009974e-07   0.7470   0.0361      105
features.9                       120    -0.041745 4.913758e-07 1.237533e-07   0.9782   0.0623      137
features.15                      161    -0.041568 7.112080e-08 1.644102e-08   0.4477   0.0036      329
features.8                       124    -0.041479 1.322070e-07 1.837101e-07   0.8489   0.0482      137
features.15                      410    -0.040024 3.060503e-07 4.612087e-08   0.7743   0.0416      329
features.9                       346    -0.039875 1.880479e-07 1.155368e-07   0.8474   0.0498      137
features.12                      135    -0.038791 1.101108e-07 8.889914e-08   0.8090   0.0468      201
features.12                       26    -0.037817 5.802793e-07 9.930674e-08   0.9922   0.0682      201
features.9                       139    -0.037383 5.675226e-08 9.456480e-08   0.5701   0.0218      137
features.3                        65    -0.037097 9.284639e-09 1.727113e-06   0.4435   0.0081       57
features.11                      186    -0.036842 8.710139e-08 2.991212e-07   0.4520   0.0093      169
features.5                        18    -0.034940 1.013784e-07 6.543663e-07   0.8916   0.0602       73
features.6                       185    -0.033951 8.708322e-08 4.671680e-07   0.8951   0.0617       73
features.12                       83    -0.033723 1.436829e-07 9.291522e-08   0.8460   0.0565      201
features.4                        76    -0.033594 2.259859e-07 7.175865e-07   0.5469   0.0234       65
features.15                      831    -0.033135 3.539042e-07 4.910784e-08   0.8017   0.0523      329
features.15                      333    -0.032423 7.627594e-08 3.463487e-08   0.4739   0.0166      329
features.15                      559    -0.031710 8.249859e-07 5.375349e-08   0.9477   0.0701      329
features.15                      626    -0.031710 8.814663e-08 4.091889e-08   0.5202   0.0226      329
features.6                       147    -0.031481 2.612775e-07 5.314888e-07   0.9815   0.0741       73
features.11                      104    -0.030650 3.392306e-07 4.153115e-07   0.8638   0.0619      169
features.3                        74    -0.030645 2.343215e-08 2.143120e-06   0.6694   0.0403       57
features.15                      909    -0.030641 2.404947e-07 4.845909e-08   0.7233   0.0463      329
features.9                       178    -0.030218 4.104134e-08 9.406417e-08   0.4424   0.0156      137
features.15                      436    -0.028741 5.743019e-07 5.310198e-08   0.8967   0.0677      329
features.8                       236    -0.027974 4.413871e-07 2.016551e-07   0.9743   0.0772      137
features.12                      458    -0.027875 3.057102e-07 1.003594e-07   0.9454   0.0741      201
features.8                       345    -0.027331 2.087546e-08 1.270509e-07   0.3023   0.0032      137
