================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 13
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 00:30:33
  remove_target  : 32802
  accum_removed  : 32890
  selected_channels : 146
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1692219
  model_sparsity : 22.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          2       11    34.4%
  features.2                 96          3       53    55.2%
  features.3                144          4       53    36.8%
  features.4                144          4       55    38.2%
  features.5                192          6       82    42.7%
  features.6                192          6       79    41.1%
  features.7                192          7       93    48.4%
  features.8                384          7      179    46.6%
  features.9                384          6      169    44.0%
  features.10               384          7      136    35.4%
  features.11               384         12      171    44.5%
  features.12               576          9      205    35.6%
  features.13               576          4      101    17.5%
  features.14               576         17      162    28.1%
  features.15               960         20      454    47.3%
  features.16               960         22      209    21.8%
  features.17               960         10      105    10.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 23          1       4.3%
  features.2                 46          1       2.2%
  features.3                 95          1       1.1%
  features.4                 93          1       1.1%
  features.5                116          1       0.9%
  features.6                119          1       0.8%
  features.7                106          1       0.9%
  features.8                212          2       0.9%
  features.9                221          2       0.9%
  features.10               255          2       0.8%
  features.11               225          2       0.9%
  features.12               380          2       0.5%
  features.13               479          3       0.6%
  features.14               431          3       0.7%
  features.15               526          3       0.6%
  features.16               773          4       0.5%
  features.17               865          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 2채널 제거
  features.10: 7채널 제거
  features.11: 12채널 제거
  features.12: 9채널 제거
  features.13: 4채널 제거
  features.14: 17채널 제거
  features.15: 20채널 제거
  features.16: 22채널 제거
  features.17: 10채널 제거
  features.2: 3채널 제거
  features.3: 4채널 제거
  features.4: 4채널 제거
  features.5: 6채널 제거
  features.6: 6채널 제거
  features.7: 7채널 제거
  features.8: 7채널 제거
  features.9: 6채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      164    -0.071048 3.413275e-07 1.815606e-07   0.8133   0.0114      329
features.15                      773    -0.064762 1.898512e-06 2.190081e-07   0.9905   0.0381      329
features.2                        32    -0.062222 1.900623e-07 3.788248e-05   0.6222   0.0000       49
features.15                      335    -0.061905 1.405679e-06 2.206605e-07   0.9790   0.0400      329
features.15                      298    -0.059429 4.800245e-07 2.171837e-07   0.8686   0.0305      329
features.15                      753    -0.058286 2.105330e-07 1.872947e-07   0.7029   0.0133      329
features.15                       10    -0.054857 2.257287e-07 2.021039e-07   0.7200   0.0190      329
features.9                       364    -0.054091 2.357494e-07 3.733091e-07   0.8273   0.0318      137
features.8                        99    -0.049763 1.910981e-07 8.489318e-07   0.8815   0.0427      137
features.15                      921    -0.046476 4.442651e-07 2.337804e-07   0.8590   0.0438      329
features.11                      340    -0.046429 3.882738e-07 1.637334e-06   0.7455   0.0312      169
features.6                        11    -0.041525 9.027760e-08 1.820646e-06   0.8729   0.0508       73
features.4                        27    -0.040217 7.655270e-07 3.745799e-06   0.6957   0.0326       65
features.15                      668    -0.038857 9.083831e-08 1.702054e-07   0.4571   0.0076      329
features.12                      319    -0.038786 1.842790e-07 3.045740e-07   0.8865   0.0554      201
features.15                      706    -0.038286 3.405595e-07 2.418392e-07   0.8114   0.0476      329
features.2                        25    -0.037778 4.379866e-07 4.041499e-05   0.7778   0.0444       49
features.3                       103    -0.037234 1.885087e-08 6.106270e-06   0.3723   0.0000       57
features.6                       133    -0.036441 4.238531e-08 1.737099e-06   0.6695   0.0339       73
features.15                      403    -0.035810 2.351321e-07 2.284102e-07   0.7352   0.0419      329
features.7                        18    -0.035238 1.363438e-06 2.463829e-06   0.6095   0.0286      105
features.15                      943    -0.033333 1.117815e-06 2.720402e-07   0.9676   0.0705      329
features.7                        33    -0.033333 8.030794e-07 2.377557e-06   0.4190   0.0095      105
features.9                       162    -0.033182 7.237309e-08 3.563892e-07   0.5364   0.0227      137
features.10                      178    -0.033071 4.909434e-08 1.814930e-07   0.4370   0.0118      137
features.12                      167    -0.032718 1.446512e-07 3.087727e-07   0.8496   0.0580      201
features.16                      846    -0.032124 1.036670e-07 2.445891e-08   0.4145   0.0104      329
