================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 15
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 00:44:52
  remove_target  : 31175
  accum_removed  : 31389
  selected_channels : 125
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1628622
  model_sparsity : 25.7%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       13    40.6%
  features.2                 96          2       58    60.4%
  features.3                144          3       59    41.0%
  features.4                144          3       63    43.8%
  features.5                192          5       90    46.9%
  features.6                192          3       85    44.3%
  features.7                192          4      100    52.1%
  features.8                384          6      192    50.0%
  features.9                384          8      185    48.2%
  features.10               384          7      150    39.1%
  features.11               384          7      183    47.7%
  features.12               576          3      214    37.2%
  features.13               576          4      108    18.8%
  features.14               576         13      190    33.0%
  features.15               960         20      496    51.7%
  features.16               960         20      246    25.6%
  features.17               960         16      138    14.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 20          1       5.0%
  features.2                 40          1       2.5%
  features.3                 88          1       1.1%
  features.4                 84          1       1.2%
  features.5                107          1       0.9%
  features.6                110          1       0.9%
  features.7                 96          1       1.0%
  features.8                198          1       0.5%
  features.9                207          2       1.0%
  features.10               241          2       0.8%
  features.11               208          2       1.0%
  features.12               365          2       0.5%
  features.13               472          3       0.6%
  features.14               399          2       0.5%
  features.15               484          3       0.6%
  features.16               734          4       0.5%
  features.17               838          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 7채널 제거
  features.12: 3채널 제거
  features.13: 4채널 제거
  features.14: 13채널 제거
  features.15: 20채널 제거
  features.16: 20채널 제거
  features.17: 16채널 제거
  features.2: 2채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 5채널 제거
  features.6: 3채널 제거
  features.7: 4채널 제거
  features.8: 6채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.1                        28    -0.073684 5.334264e-07 1.028496e-04   0.7368   0.0000       25
features.2                         8    -0.061538 6.747047e-07 5.344077e-05   0.8462   0.0256       49
features.10                      357    -0.057500 1.098765e-06 2.568459e-07   0.9875   0.0458      137
features.14                      565    -0.057035 1.133240e-06 2.544701e-07   0.7286   0.0176      265
features.15                      476    -0.053209 7.035082e-07 2.910493e-07   0.9234   0.0435      329
features.12                      103    -0.046429 2.341822e-07 2.776216e-07   0.9093   0.0495      201
features.15                      956    -0.046170 7.405077e-07 3.000197e-07   0.9275   0.0518      329
features.9                       175    -0.045146 2.540260e-07 4.481376e-07   0.8010   0.0388      137
features.10                       81    -0.045000 9.391761e-08 2.120993e-07   0.6000   0.0167      137
features.17                      803    -0.044683 2.013122e-07 3.259144e-09   0.6511   0.0227      489
features.15                      635    -0.043271 1.084584e-07 2.225204e-07   0.4700   0.0041      329
features.14                       29    -0.042462 9.224098e-07 2.580008e-07   0.6281   0.0226      265
features.16                      535    -0.041064 3.839335e-07 4.335755e-08   0.7790   0.0409      329
features.2                        49    -0.041026 4.079195e-08 5.155501e-05   0.4103   0.0000       49
features.15                      413    -0.040373 1.599758e-07 2.672923e-07   0.6087   0.0228      329
features.7                       151    -0.040000 1.221114e-06 3.324394e-06   0.4947   0.0105      105
features.12                       87    -0.039835 7.237307e-08 2.533757e-07   0.6951   0.0330      201
features.8                       117    -0.038071 2.695801e-07 9.879785e-07   0.8832   0.0558      137
features.11                      184    -0.036715 2.011988e-07 1.945449e-06   0.4976   0.0145      169
features.17                        8    -0.036440 1.142851e-07 2.467917e-09   0.4289   0.0072      489
features.15                      689    -0.036439 1.267777e-07 2.634529e-07   0.5135   0.0166      329
features.11                      303    -0.034300 3.676788e-07 2.102733e-06   0.6908   0.0386      169
features.7                       163    -0.033684 6.736884e-07 2.972043e-06   0.3368   0.0000      105
features.4                        13    -0.032530 2.882065e-07 4.835077e-06   0.4337   0.0120       65
features.14                      545    -0.031910 1.019883e-06 2.847914e-07   0.6583   0.0377      265
features.15                      594    -0.030642 9.210859e-08 2.520181e-07   0.4182   0.0124      329
features.16                      541    -0.029604 1.473133e-07 3.368090e-08   0.4802   0.0205      329
features.10                      110    -0.029583 6.491258e-08 2.132149e-07   0.4833   0.0208      137
