================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 17
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 00:58:41
  remove_target  : 29624
  accum_removed  : 29676
  selected_channels : 124
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1568306
  model_sparsity : 28.5%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       15    46.9%
  features.2                 96          3       63    65.6%
  features.3                144          4       66    45.8%
  features.4                144          3       69    47.9%
  features.5                192          2       96    50.0%
  features.6                192          3       92    47.9%
  features.7                192          4      106    55.2%
  features.8                384          3      202    52.6%
  features.9                384          8      199    51.8%
  features.10               384          6      162    42.2%
  features.11               384          9      196    51.0%
  features.12               576          5      226    39.2%
  features.13               576          8      117    20.3%
  features.14               576         18      223    38.7%
  features.15               960         17      530    55.2%
  features.16               960         20      289    30.1%
  features.17               960         10      163    17.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 18          1       5.6%
  features.2                 36          1       2.8%
  features.3                 82          1       1.2%
  features.4                 78          1       1.3%
  features.5                 98          1       1.0%
  features.6                103          1       1.0%
  features.7                 90          1       1.1%
  features.8                185          1       0.5%
  features.9                193          1       0.5%
  features.10               228          2       0.9%
  features.11               197          1       0.5%
  features.12               355          2       0.6%
  features.13               467          3       0.6%
  features.14               371          2       0.5%
  features.15               447          3       0.7%
  features.16               691          4       0.6%
  features.17               807          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 6채널 제거
  features.11: 9채널 제거
  features.12: 5채널 제거
  features.13: 8채널 제거
  features.14: 18채널 제거
  features.15: 17채널 제거
  features.16: 20채널 제거
  features.17: 10채널 제거
  features.2: 3채널 제거
  features.3: 4채널 제거
  features.4: 3채널 제거
  features.5: 2채널 제거
  features.6: 3채널 제거
  features.7: 4채널 제거
  features.8: 3채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                       101    -0.069565 8.727398e-07 1.184287e-06   0.9891   0.0326      137
features.15                      849    -0.055381 5.609126e-07 3.532901e-07   0.8767   0.0359      329
features.15                      899    -0.053363 2.520482e-06 3.844250e-07   0.9978   0.0516      329
features.9                        30    -0.052083 2.102649e-07 5.176584e-07   0.7083   0.0208      137
features.15                      837    -0.048879 3.023379e-07 3.410362e-07   0.7713   0.0314      329
features.15                      696    -0.045291 1.246725e-07 3.034546e-07   0.5336   0.0090      329
features.14                      392    -0.043243 2.120456e-06 3.618391e-07   0.8946   0.0514      265
features.4                        42    -0.041558 6.834786e-07 4.703952e-06   0.5325   0.0130       65
features.1                        19    -0.041176 8.932660e-08 7.266560e-05   0.4118   0.0000       25
features.15                      521    -0.041031 1.162225e-06 3.966090e-07   0.9753   0.0628      329
features.7                       158    -0.040449 7.378142e-06 3.924245e-06   0.9101   0.0562      105
features.5                       175    -0.040206 3.534989e-08 3.846068e-06   0.4948   0.0103       73
features.6                        36    -0.039216 3.483594e-08 2.241353e-06   0.6569   0.0294       73
features.14                      470    -0.038108 1.540069e-06 3.461574e-07   0.7946   0.0459      265
features.14                      301    -0.037297 7.789101e-07 2.952784e-07   0.4703   0.0108      265
features.10                       71    -0.036564 1.232465e-07 2.727974e-07   0.6432   0.0308      137
features.15                      510    -0.035874 2.200332e-07 3.600771e-07   0.7018   0.0381      329
features.14                      159    -0.034865 5.857914e-07 2.904896e-07   0.3973   0.0054      265
features.14                      207    -0.034324 2.469925e-06 3.788165e-07   0.9270   0.0649      265
features.6                       150    -0.034314 5.639972e-08 2.499885e-06   0.7843   0.0490       73
features.16                      226    -0.032899 7.388885e-07 6.486904e-08   0.9159   0.0652      329
features.16                      857    -0.032609 5.647817e-07 6.425939e-08   0.8609   0.0594      329
features.9                        25    -0.031771 3.960035e-08 3.481921e-07   0.3177   0.0000      137
features.14                      539    -0.031622 1.290118e-06 3.414521e-07   0.7054   0.0432      265
features.14                      505    -0.031081 8.486538e-07 3.206771e-07   0.5297   0.0243      265
features.16                      855    -0.030870 9.805989e-07 6.658875e-08   0.9609   0.0725      329
features.16                      313    -0.030870 1.024767e-07 3.528107e-08   0.3870   0.0087      329
