================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 28
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 02:24:57
  remove_target  : 22378
  accum_removed  : 22699
  selected_channels : 91
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1285442
  model_sparsity : 41.4%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       27    84.4%
  features.2                 96          1       77    80.2%
  features.3                144          3       93    64.6%
  features.4                144          2       94    65.3%
  features.5                192          2      123    64.1%
  features.6                192          3      131    68.2%
  features.7                192          3      133    69.3%
  features.8                384          5      253    65.9%
  features.9                384          5      260    67.7%
  features.10               384          4      217    56.5%
  features.11               384          4      257    66.9%
  features.12               576          5      273    47.4%
  features.13               576          3      141    24.5%
  features.14               576         12      347    60.2%
  features.15               960         12      686    71.5%
  features.16               960         15      524    54.6%
  features.17               960         11      290    30.2%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  6          1      16.7%
  features.2                 20          1       5.0%
  features.3                 54          1       1.9%
  features.4                 52          1       1.9%
  features.5                 71          1       1.4%
  features.6                 64          1       1.6%
  features.7                 62          1       1.6%
  features.8                136          1       0.7%
  features.9                129          1       0.8%
  features.10               171          1       0.6%
  features.11               131          1       0.8%
  features.12               308          2       0.6%
  features.13               438          3       0.7%
  features.14               241          2       0.8%
  features.15               286          2       0.7%
  features.16               451          3       0.7%
  features.17               681          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 4채널 제거
  features.11: 4채널 제거
  features.12: 5채널 제거
  features.13: 3채널 제거
  features.14: 12채널 제거
  features.15: 12채널 제거
  features.16: 15채널 제거
  features.17: 11채널 제거
  features.2: 1채널 제거
  features.3: 3채널 제거
  features.4: 2채널 제거
  features.5: 2채널 제거
  features.6: 3채널 제거
  features.7: 3채널 제거
  features.8: 5채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.1                         8    -0.100000 2.938861e-06 2.599538e-02   1.0000   0.0000       25
features.14                      113    -0.067500 2.153613e-06 7.626088e-07   0.7500   0.0083      265
features.16                       63    -0.066889 4.101502e-07 1.228661e-07   0.7289   0.0067      329
features.15                      100    -0.063158 7.131080e-07 9.847571e-07   0.8842   0.0281      329
features.16                      649    -0.060667 1.250142e-06 1.898714e-07   0.9467   0.0378      329
features.7                       177    -0.055738 2.310810e-06 8.968533e-06   0.5574   0.0000      105
features.15                      512    -0.052281 2.078243e-07 7.317976e-07   0.5860   0.0070      329
features.11                      255    -0.050769 1.104670e-06 8.473907e-06   0.7846   0.0308      169
features.15                      722    -0.049123 4.302515e-07 1.010506e-06   0.8070   0.0351      329
features.4                         6    -0.049020 2.151196e-06 1.760592e-05   0.6667   0.0196       65
features.4                        73    -0.049020 1.124636e-06 1.546508e-05   0.4902   0.0000       65
features.16                      307    -0.048444 4.778851e-07 1.858975e-07   0.7644   0.0311      329
features.14                      441    -0.047083 2.913797e-06 9.599901e-07   0.8458   0.0417      265
features.5                       103    -0.042857 1.209213e-07 6.934665e-06   0.5571   0.0143       73
features.9                       335    -0.042188 1.312810e-07 1.128718e-06   0.4922   0.0078      137
features.15                      627    -0.041754 1.852499e-07 9.041903e-07   0.5439   0.0140      329
features.11                      100    -0.041538 3.371989e-07 6.507379e-06   0.4154   0.0000      169
features.15                      471    -0.037895 2.700241e-07 9.880075e-07   0.6632   0.0316      329
features.3                       130    -0.037736 3.556376e-08 3.441991e-05   0.3774   0.0000       57
features.14                       11    -0.037083 1.457532e-06 8.977411e-07   0.5958   0.0250      265
features.10                      126    -0.037059 1.444959e-07 4.721639e-07   0.5824   0.0235      137
features.8                       102    -0.037037 1.716378e-07 2.828074e-06   0.6370   0.0296      137
features.15                       26    -0.036842 4.605494e-07 1.041527e-06   0.8105   0.0491      329
features.12                      143    -0.036808 9.192444e-08 4.065904e-07   0.6612   0.0326      201
features.6                       136    -0.036508 9.803232e-08 5.710600e-06   0.6508   0.0317       73
features.10                        1    -0.036471 7.197646e-07 5.673977e-07   0.9471   0.0647      137
features.14                      212    -0.036250 2.545673e-06 9.964022e-07   0.8125   0.0500      265
features.3                       124    -0.035849 6.908898e-08 4.105116e-05   0.5283   0.0189       57
features.15                      253    -0.035439 1.696097e-07 9.107620e-07   0.5123   0.0175      329
features.16                      235    -0.034889 2.000167e-07 1.478367e-07   0.5089   0.0178      329
features.10                        5    -0.034706 1.794241e-07 5.087626e-07   0.6647   0.0353      137
features.16                      818    -0.033556 4.562724e-07 1.986471e-07   0.7556   0.0467      329
features.16                      400    -0.033333 5.832137e-07 2.012096e-07   0.8133   0.0533      329
features.14                      456    -0.031667 7.350038e-07 7.602974e-07   0.3542   0.0042      265
features.12                      534    -0.030619 1.361338e-07 5.141846e-07   0.7459   0.0489      201
features.17                      406    -0.029706 2.981362e-07 1.331445e-08   0.6279   0.0368      489
features.12                      122    -0.029316 6.538018e-08 4.046003e-07   0.5570   0.0293      201
features.11                      241    -0.026923 2.676831e-07 6.618041e-06   0.3385   0.0077      169
features.17                      386    -0.026324 1.809163e-07 1.114220e-08   0.4353   0.0191      489
features.8                       372    -0.025926 7.835949e-08 2.215868e-06   0.3926   0.0148      137
features.9                        77    -0.025781 1.184329e-07 1.242735e-06   0.4688   0.0234      137
features.16                      427    -0.025333 4.882375e-07 2.067198e-07   0.7733   0.0578      329
features.12                      393    -0.023779 8.833936e-08 4.960517e-07   0.6482   0.0456      201
features.8                       222    -0.023704 8.852429e-08 2.437130e-06   0.4370   0.0222      137
features.9                       228    -0.023438 1.388121e-07 1.301591e-06   0.5156   0.0312      137
features.16                      165    -0.023333 1.695032e-06 2.273300e-07   0.9733   0.0822      329
features.10                      159    -0.022941 2.740817e-07 5.666691e-07   0.7588   0.0588      137
features.16                      110    -0.021778 3.405007e-07 2.012058e-07   0.6778   0.0511      329
features.5                        66    -0.021429 3.403912e-08 5.239969e-06   0.2143   0.0000       73
features.17                      505    -0.020294 3.505155e-07 1.477250e-08   0.6926   0.0544      489
features.13                      190    -0.020137 8.798252e-07 2.581597e-07   0.9840   0.0870      201
features.7                        48    -0.018033 3.375533e-06 9.684698e-06   0.6230   0.0492      105
features.16                      802    -0.017778 3.974860e-07 2.118197e-07   0.7178   0.0600      329
features.15                      569    -0.017544 1.917147e-07 1.026812e-06   0.5544   0.0421      329
features.15                      734    -0.015789 3.665866e-07 1.116742e-06   0.7579   0.0667      329
features.17                      417    -0.015294 1.125271e-07 1.008428e-08   0.2853   0.0147      489
features.16                       30    -0.015111 6.665563e-07 2.228893e-07   0.8311   0.0756      329
features.7                        23    -0.014754 1.726938e-06 9.574206e-06   0.4426   0.0328      105
features.16                      124    -0.014000 1.638657e-07 1.881971e-07   0.4600   0.0356      329
features.14                      552    -0.013750 1.555979e-06 1.002214e-06   0.6250   0.0542      265
features.17                      738    -0.013529 3.679418e-07 1.546164e-08   0.7176   0.0647      489
features.17                      297    -0.013088 1.113509e-07 1.058272e-08   0.2765   0.0162      489
features.6                       127    -0.012698 9.048683e-09 4.514539e-06   0.1270   0.0000       73
features.15                      570    -0.012632 5.576617e-08 6.870686e-07   0.1579   0.0035      329
features.9                       128    -0.012500 6.044548e-07 1.552201e-06   0.8984   0.0859      137
features.9                       244    -0.010938 5.839068e-08 1.221427e-06   0.2500   0.0156      137
features.17                      284    -0.010735 6.074971e-08 6.452185e-09   0.1338   0.0029      489
features.2                        29    -0.010526 8.241822e-09 4.348300e-04   0.1053   0.0000       49
features.14                        7    -0.010417 4.407115e-07 8.359422e-07   0.2167   0.0125      265
features.16                      578    -0.010222 3.641661e-07 2.190317e-07   0.7022   0.0667      329
features.11                       47    -0.010000 2.061662e-07 8.164031e-06   0.2385   0.0154      169
features.6                       117    -0.009524 9.904321e-08 7.190601e-06   0.6667   0.0635       73
features.14                       31    -0.008750 7.195852e-07 9.151611e-07   0.3500   0.0292      265
features.13                      274    -0.008696 5.143517e-07 2.763198e-07   0.9519   0.0961      201
features.17                      538    -0.007941 1.114530e-07 1.143506e-08   0.2779   0.0221      489
features.14                      350    -0.007917 1.791047e-06 1.012285e-06   0.6792   0.0667      265
features.12                      249    -0.007818 2.150528e-08 2.773394e-07   0.2541   0.0195      201
features.14                      143    -0.007500 7.973664e-07 9.527159e-07   0.3750   0.0333      265
features.8                       146    -0.005926 1.584249e-07 3.327455e-06   0.5926   0.0593      137
features.3                        73    -0.005660 1.246854e-07 4.636083e-05   0.7358   0.0755       57
features.14                      291    -0.005000 2.196552e-06 1.049889e-06   0.7625   0.0792      265
features.17                      244    -0.005000 9.636039e-08 1.119915e-08   0.2353   0.0206      489
features.15                      766    -0.004912 3.109645e-07 1.131939e-06   0.7123   0.0737      329
features.17                      403    -0.004706 5.091640e-08 7.858512e-09   0.1000   0.0059      489
features.16                      210    -0.004667 9.929799e-08 1.851027e-07   0.3067   0.0289      329
features.14                      359    -0.004583 1.497458e-06 1.008936e-06   0.6083   0.0625      265
features.8                       365    -0.002963 1.130355e-08 1.689603e-06   0.0296   0.0000      137
features.17                      591    -0.002941 1.255747e-07 1.267589e-08   0.3206   0.0324      489
features.15                      760    -0.002807 2.315590e-08 6.259242e-07   0.0281   0.0000      329
features.13                       63    -0.002517 3.660654e-08 1.287353e-07   0.3753   0.0389      201
features.16                      190    -0.002444 2.000743e-08 7.155618e-08   0.0644   0.0044      329
