================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 31
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 02:46:22
  remove_target  : 20726
  accum_removed  : 20828
  selected_channels : 84
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1221247
  model_sparsity : 44.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       30    93.8%
  features.2                 96          1       80    83.3%
  features.3                144          2       98    68.1%
  features.4                144          2       99    68.8%
  features.5                192          3      130    67.7%
  features.6                192          2      140    72.9%
  features.7                192          3      141    73.4%
  features.8                384          6      267    69.5%
  features.9                384          5      274    71.4%
  features.10               384          5      230    59.9%
  features.11               384          2      268    69.8%
  features.12               576          6      288    50.0%
  features.13               576          3      153    26.6%
  features.14               576          9      376    65.3%
  features.15               960         10      716    74.6%
  features.16               960         12      554    57.7%
  features.17               960         12      333    34.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  3          1      33.3%
  features.2                 17          1       5.9%
  features.3                 48          1       2.1%
  features.4                 47          1       2.1%
  features.5                 65          1       1.5%
  features.6                 54          1       1.9%
  features.7                 54          1       1.9%
  features.8                123          1       0.8%
  features.9                115          1       0.9%
  features.10               159          1       0.6%
  features.11               118          1       0.8%
  features.12               294          2       0.7%
  features.13               426          3       0.7%
  features.14               209          2       1.0%
  features.15               254          2       0.8%
  features.16               418          3       0.7%
  features.17               639          4       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 5채널 제거
  features.11: 2채널 제거
  features.12: 6채널 제거
  features.13: 3채널 제거
  features.14: 9채널 제거
  features.15: 10채널 제거
  features.16: 12채널 제거
  features.17: 12채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 3채널 제거
  features.8: 6채널 제거
  features.9: 5채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.9                       154    -0.078947 7.918064e-07 1.360315e-06   0.8684   0.0088      137
features.15                      755    -0.077075 4.440281e-07 9.709451e-07   0.8419   0.0079      329
features.4                       121    -0.071739 3.217355e-06 2.082673e-05   0.9130   0.0217       65
features.14                       93    -0.068269 4.199296e-06 1.181666e-06   0.9423   0.0288      265
features.9                        94    -0.064912 1.289238e-06 1.565484e-06   0.9649   0.0351      137
features.6                        82    -0.064151 6.703933e-08 6.064466e-06   0.6415   0.0000       73
features.15                      240    -0.059684 3.549964e-07 1.120066e-06   0.7747   0.0198      329
features.8                       132    -0.057377 1.883958e-07 3.337729e-06   0.7213   0.0164      137
features.17                      748    -0.054389 2.886016e-07 1.327625e-08   0.6426   0.0110      489
features.16                      491    -0.053717 9.988788e-07 2.016290e-07   0.9041   0.0408      329
features.12                      281    -0.051195 2.505487e-07 5.705615e-07   0.8805   0.0410      201
features.1                         5    -0.050000 4.323670e-07 1.734653e-01   0.5000   0.0000       25
features.14                      442    -0.049038 3.195434e-06 1.204407e-06   0.8798   0.0433      265
features.9                       161    -0.048246 2.300684e-07 1.386940e-06   0.6404   0.0175      137
features.16                       77    -0.047482 4.310501e-07 1.632272e-07   0.7338   0.0288      329
features.10                      221    -0.046835 2.875795e-07 5.281217e-07   0.7532   0.0316      137
features.17                      300    -0.045455 3.691274e-07 1.642810e-08   0.7367   0.0313      489
features.2                        31    -0.043750 1.129696e-07 3.611625e-04   0.4375   0.0000       49
features.15                      287    -0.040711 1.272319e-07 8.995009e-07   0.4427   0.0040      329
features.15                      762    -0.040316 2.077294e-07 1.158680e-06   0.6166   0.0237      329
features.14                      157    -0.037500 2.876739e-06 1.225134e-06   0.8510   0.0529      265
features.16                       12    -0.036451 1.716942e-07 1.324986e-07   0.4940   0.0144      329
features.15                      675    -0.034783 3.034582e-07 1.233399e-06   0.7391   0.0435      329
features.8                        78    -0.034426 1.400833e-07 3.599080e-06   0.5656   0.0246      137
features.10                      215    -0.034177 1.538910e-07 5.241464e-07   0.5696   0.0253      137
features.15                      481    -0.033202 6.180300e-07 1.269282e-06   0.9012   0.0632      329
features.14                       26    -0.033173 9.825231e-07 1.110305e-06   0.4615   0.0144      265
