================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 39
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 03:53:39
  remove_target  : 16897
  accum_removed  : 17169
  selected_channels : 65
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1071731
  model_sparsity : 51.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       31    96.9%
  features.2                 96          1       87    90.6%
  features.3                144          1      108    75.0%
  features.4                144          2      114    79.2%
  features.5                192          2      148    77.1%
  features.6                192          3      158    82.3%
  features.7                192          3      160    83.3%
  features.8                384          1      286    74.5%
  features.9                384          2      310    80.7%
  features.10               384          2      256    66.7%
  features.11               384          2      294    76.6%
  features.12               576          2      313    54.3%
  features.13               576          2      181    31.4%
  features.14               576          8      446    77.4%
  features.15               960         11      775    80.7%
  features.16               960         16      657    68.4%
  features.17               960          7      425    44.3%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  1          1     100.0%
  features.2                 10          1      10.0%
  features.3                 37          1       2.7%
  features.4                 32          1       3.1%
  features.5                 46          1       2.2%
  features.6                 37          1       2.7%
  features.7                 35          1       2.9%
  features.8                 99          1       1.0%
  features.9                 76          1       1.3%
  features.10               130          1       0.8%
  features.11                92          1       1.1%
  features.12               265          2       0.8%
  features.13               397          2       0.5%
  features.14               138          1       0.7%
  features.15               196          1       0.5%
  features.16               319          2       0.6%
  features.17               542          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 2채널 제거
  features.11: 2채널 제거
  features.12: 2채널 제거
  features.13: 2채널 제거
  features.14: 8채널 제거
  features.15: 11채널 제거
  features.16: 16채널 제거
  features.17: 7채널 제거
  features.2: 1채널 제거
  features.3: 1채널 제거
  features.4: 2채널 제거
  features.5: 2채널 제거
  features.6: 3채널 제거
  features.7: 3채널 제거
  features.8: 1채널 제거
  features.9: 2채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.14                      475    -0.074453 6.734002e-06 3.146953e-06   0.8759   0.0146      265
features.3                        84    -0.072222 1.093700e-07 6.386904e-05   0.7222   0.0000       57
features.14                       49    -0.064234 3.602124e-06 2.978851e-06   0.7080   0.0073      265
features.15                      672    -0.062564 1.032814e-06 2.302406e-06   0.8564   0.0256      329
features.9                        76    -0.058667 2.793817e-07 3.012125e-06   0.5867   0.0000      137
features.16                      540    -0.054717 4.371929e-07 2.733755e-07   0.6321   0.0094      329
features.15                      151    -0.045641 4.387882e-07 2.074904e-06   0.6410   0.0205      329
features.4                       132    -0.045161 1.632346e-06 4.178080e-05   0.4516   0.0000       65
features.7                       100    -0.044118 3.254346e-05 2.732044e-05   0.9706   0.0588      105
features.15                       55    -0.043590 6.539952e-07 2.478923e-06   0.7590   0.0359      329
features.5                        23    -0.040000 1.003335e-06 1.944172e-05   1.0000   0.0667       73
features.11                      339    -0.039560 3.494967e-07 1.363454e-05   0.3956   0.0000      169
features.15                      677    -0.038974 3.211591e-07 1.766718e-06   0.5282   0.0154      329
features.16                      320    -0.038679 6.863241e-07 3.455432e-07   0.7264   0.0377      329
features.7                       136    -0.038235 5.659993e-06 2.629293e-05   0.6471   0.0294      105
features.14                      274    -0.037226 4.269939e-06 3.358207e-06   0.7664   0.0438      265
features.11                      275    -0.036264 9.994302e-07 1.688327e-05   0.6593   0.0330      169
features.6                        65    -0.036111 1.276077e-07 1.614849e-05   0.6111   0.0278       73
features.8                       271    -0.035714 2.596396e-07 4.411845e-06   0.6327   0.0306      137
features.15                      118    -0.034359 8.061907e-07 2.536900e-06   0.8051   0.0513      329
features.14                       35    -0.034307 4.848687e-06 3.402571e-06   0.8029   0.0511      265
features.2                         2    -0.033333 5.961781e-07 1.901617e-03   0.3333   0.0000       49
features.17                       94    -0.033087 3.907146e-07 2.768924e-08   0.6470   0.0351      489
features.16                      693    -0.033019 6.335117e-07 3.513059e-07   0.6981   0.0409      329
features.16                      624    -0.032390 2.751304e-07 3.047385e-07   0.4937   0.0189      329
features.5                        37    -0.028889 5.661403e-08 1.799170e-05   0.2889   0.0000       73
features.10                      227    -0.026357 6.447949e-07 7.858761e-07   0.8915   0.0698      137
features.4                       138    -0.025806 1.742941e-06 4.390446e-05   0.5484   0.0323       65
features.16                      186    -0.025786 5.670220e-07 3.630608e-07   0.6824   0.0472      329
features.15                      751    -0.025128 4.122497e-07 2.510235e-06   0.6205   0.0410      329
features.15                      674    -0.023590 1.341187e-07 1.402090e-06   0.2359   0.0000      329
features.9                       231    -0.021333 3.770785e-07 3.896803e-06   0.6933   0.0533      137
features.15                      774    -0.020000 1.294585e-06 2.748864e-06   0.8923   0.0769      329
features.16                      473    -0.019811 9.782298e-08 2.675758e-07   0.2547   0.0063      329
features.16                      737    -0.019182 8.128386e-08 2.301838e-07   0.1918   0.0000      329
