================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 100
  iteration  : 41
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 04:10:54
  remove_target  : 16046
  accum_removed  : 16174
  selected_channels : 62
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1038703
  model_sparsity : 52.6%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       31    96.9%
  features.2                 96          1       89    92.7%
  features.3                144          2      111    77.1%
  features.4                144          1      117    81.2%
  features.5                192          1      152    79.2%
  features.6                192          3      163    84.9%
  features.7                192          2      164    85.4%
  features.8                384          3      290    75.5%
  features.9                384          3      315    82.0%
  features.10               384          4      263    68.5%
  features.11               384          3      299    77.9%
  features.12               576          0      314    54.5%
  features.13               576          2      186    32.3%
  features.14               576          7      461    80.0%
  features.15               960          7      788    82.1%
  features.16               960         14      685    71.4%
  features.17               960          9      445    46.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                  1          1     100.0%
  features.2                  8          1      12.5%
  features.3                 35          1       2.9%
  features.4                 28          1       3.6%
  features.5                 41          1       2.4%
  features.6                 32          1       3.1%
  features.7                 30          1       3.3%
  features.8                 97          1       1.0%
  features.9                 72          1       1.4%
  features.10               125          1       0.8%
  features.11                88          1       1.1%
  features.12               262          2       0.8%
  features.13               392          2       0.5%
  features.14               122          1       0.8%
  features.15               179          1       0.6%
  features.16               289          2       0.7%
  features.17               524          3       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 4채널 제거
  features.11: 3채널 제거
  features.13: 2채널 제거
  features.14: 7채널 제거
  features.15: 7채널 제거
  features.16: 14채널 제거
  features.17: 9채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 1채널 제거
  features.5: 1채널 제거
  features.6: 3채널 제거
  features.7: 2채널 제거
  features.8: 3채널 제거
  features.9: 3채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                         3    -0.085714 5.013701e-06 2.434659e-03   0.8571   0.0000       49
features.16                      289    -0.075000 1.032384e-06 3.035177e-07   0.8438   0.0104      329
features.14                      536    -0.061983 3.510227e-06 3.446748e-06   0.6942   0.0083      265
features.15                      498    -0.060674 9.280349e-07 2.189660e-06   0.8596   0.0281      329
features.15                      419    -0.055056 2.607586e-07 1.710035e-06   0.5506   0.0000      329
features.15                      372    -0.053371 3.986198e-07 2.032548e-06   0.6854   0.0169      329
features.14                      141    -0.041322 1.413688e-06 2.987569e-06   0.4132   0.0000      265
features.16                      363    -0.040625 1.987606e-07 3.012268e-07   0.4688   0.0069      329
features.15                      323    -0.040449 2.306806e-07 1.878119e-06   0.5056   0.0112      329
features.11                      108    -0.033333 2.430915e-06 1.745085e-05   0.8506   0.0575      169
features.8                       169    -0.033333 7.312163e-08 4.038509e-06   0.3333   0.0000      137
features.8                       319    -0.032292 1.989025e-07 4.450009e-06   0.6042   0.0312      137
features.11                        1    -0.031034 3.895594e-07 1.299548e-05   0.4138   0.0115      169
features.17                      375    -0.030593 1.739756e-07 2.430170e-08   0.3576   0.0057      489
features.17                      959    -0.030402 3.386782e-07 3.126378e-08   0.5966   0.0325      489
features.8                        12    -0.028125 3.175223e-07 4.906532e-06   0.7500   0.0521      137
features.16                      526    -0.027778 2.413793e-06 5.161766e-07   0.9653   0.0764      329
features.17                      137    -0.027151 5.000222e-07 3.558781e-08   0.7361   0.0516      489
features.14                      376    -0.026446 6.483354e-06 3.971021e-06   0.9339   0.0744      265
features.16                      425    -0.025694 9.035106e-08 2.801670e-07   0.2882   0.0035      329
features.10                      332    -0.025000 1.445286e-07 6.219144e-07   0.5403   0.0323      137
features.15                      547    -0.024157 2.590010e-07 2.192574e-06   0.5449   0.0337      329
features.11                      156    -0.024138 1.756268e-07 1.053239e-05   0.2414   0.0000      169
features.16                       61    -0.023611 2.112176e-07 3.840446e-07   0.4861   0.0278      329
features.16                      301    -0.023264 1.868198e-06 5.196537e-07   0.9514   0.0799      329
features.14                       28    -0.023140 1.738088e-06 3.497012e-06   0.4545   0.0248      265
features.5                       150    -0.022500 2.652526e-08 2.164725e-05   0.2250   0.0000       73
features.16                      684    -0.021875 1.727984e-07 3.692797e-07   0.4375   0.0243      329
features.10                      224    -0.021774 2.531465e-07 6.762958e-07   0.6532   0.0484      137
features.16                      455    -0.017361 6.161756e-08 2.291362e-07   0.1736   0.0000      329
features.9                         1    -0.016901 7.468121e-08 3.306680e-06   0.2958   0.0141      137
features.14                      323    -0.015702 4.002612e-06 3.958889e-06   0.7521   0.0661      265
features.16                      237    -0.014931 1.585056e-07 3.947054e-07   0.4306   0.0312      329
features.17                      660    -0.014723 5.070928e-07 3.818084e-08   0.7495   0.0669      489
features.15                      359    -0.014607 9.286843e-08 1.876514e-06   0.1966   0.0056      329
features.16                      915    -0.014583 3.538035e-07 4.813127e-07   0.6146   0.0521      329
features.7                       113    -0.013793 5.843531e-07 3.340782e-05   0.1379   0.0000      105
features.14                      245    -0.013223 2.910535e-06 3.717116e-06   0.6529   0.0579      265
features.15                      258    -0.012921 2.553454e-07 2.276559e-06   0.5337   0.0449      329
features.16                      682    -0.012153 8.231398e-08 3.467870e-07   0.2465   0.0139      329
features.17                      319    -0.012046 1.606269e-07 3.004289e-08   0.3270   0.0229      489
features.16                      181    -0.011806 8.773807e-08 3.580305e-07   0.2743   0.0174      329
features.3                        64    -0.011765 1.039466e-08 6.541759e-05   0.1176   0.0000       57
features.10                      140    -0.011290 5.168667e-07 8.360718e-07   0.8387   0.0806      137
features.17                       57    -0.011281 4.050322e-07 3.732160e-08   0.6635   0.0612      489
features.13                       67    -0.011253 6.748101e-08 1.891670e-07   0.5269   0.0460      201
features.16                      705    -0.010069 2.233103e-07 4.306683e-07   0.5069   0.0451      329
features.17                      494    -0.009943 1.362220e-07 2.956497e-08   0.2715   0.0191      489
features.9                       367    -0.009859 3.117276e-07 4.357230e-06   0.6056   0.0563      137
features.6                         8    -0.009677 9.440934e-08 1.914401e-05   0.3871   0.0323       73
features.10                      299    -0.009677 6.812754e-08 5.522003e-07   0.2419   0.0161      137
features.6                        16    -0.009677 2.371723e-07 2.105508e-05   0.6774   0.0645       73
features.16                      401    -0.009028 5.045930e-07 5.091857e-07   0.6840   0.0660      329
features.7                       112    -0.006897 2.679843e-06 3.343377e-05   0.3793   0.0345      105
features.17                      363    -0.006692 2.337886e-07 3.382124e-08   0.4455   0.0421      489
features.3                         1    -0.005882 3.543235e-08 6.831074e-05   0.3235   0.0294       57
features.4                       115    -0.003704 2.241476e-08 3.353657e-05   0.0370   0.0000       65
features.13                       64    -0.003581 7.967606e-08 2.370018e-07   0.5882   0.0614      201
features.6                        91    -0.003226 7.998676e-09 1.891105e-05   0.0323   0.0000       73
features.9                       264    -0.002817 3.824608e-09 3.125911e-06   0.0282   0.0000      137
features.17                      186    -0.002677 4.998100e-07 3.964934e-08   0.7323   0.0784      489
features.14                      248    -0.002479 6.029246e-07 3.491142e-06   0.1736   0.0165      265
