================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 3
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 11:14:40
  remove_target  : 42282
  accum_removed  : 42515
  selected_channels : 219
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 2061769
  model_sparsity : 6.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        2     6.2%
  features.2                 96          6       18    18.8%
  features.3                144          6       17    11.8%
  features.4                144          8       17    11.8%
  features.5                192          8       26    13.5%
  features.6                192          7       28    14.6%
  features.7                192         10       25    13.0%
  features.8                384         20       73    19.0%
  features.9                384         22       67    17.4%
  features.10               384         15       52    13.5%
  features.11               384         16       54    14.1%
  features.12               576         20       65    11.3%
  features.13               576         12       37     6.4%
  features.14               576         12       39     6.8%
  features.15               960         42      116    12.1%
  features.16               960         10       28     2.9%
  features.17               960          4       15     1.6%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 31          1       3.2%
  features.2                 84          1       1.2%
  features.3                133          1       0.8%
  features.4                135          1       0.7%
  features.5                174          1       0.6%
  features.6                171          1       0.6%
  features.7                177          1       0.6%
  features.8                331          2       0.6%
  features.9                339          2       0.6%
  features.10               347          2       0.6%
  features.11               346          2       0.6%
  features.12               531          3       0.6%
  features.13               551          3       0.5%
  features.14               549          3       0.5%
  features.15               886          5       0.6%
  features.16               942          5       0.5%
  features.17               949          5       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 15채널 제거
  features.11: 16채널 제거
  features.12: 20채널 제거
  features.13: 12채널 제거
  features.14: 12채널 제거
  features.15: 42채널 제거
  features.16: 10채널 제거
  features.17: 4채널 제거
  features.2: 6채널 제거
  features.3: 6채널 제거
  features.4: 8채널 제거
  features.5: 8채널 제거
  features.6: 7채널 제거
  features.7: 10채널 제거
  features.8: 20채널 제거
  features.9: 22채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.8                        92    -0.084545 3.154280e-07 1.258113e-07   0.9545   0.0121      137
features.11                      225    -0.068406 1.238921e-06 3.254808e-07   0.9971   0.0348      169
features.11                      106    -0.063768 7.635426e-07 3.260704e-07   0.9768   0.0377      169
features.9                        41    -0.060947 2.167247e-07 8.933822e-08   0.8757   0.0296      137
features.9                       136    -0.060651 2.683765e-07 9.501870e-08   0.8994   0.0325      137
features.10                      135    -0.059538 1.450012e-07 8.817859e-08   0.8555   0.0289      137
features.11                      306    -0.056812 3.074319e-07 3.019549e-07   0.8029   0.0261      169
features.8                       341    -0.055758 1.320530e-07 1.512517e-07   0.8303   0.0303      137
features.8                        21    -0.055758 1.179292e-07 1.494574e-07   0.8030   0.0273      137
features.8                       124    -0.055455 1.466346e-07 1.576356e-07   0.8545   0.0333      137
features.3                        14    -0.054545 9.584188e-08 1.867412e-06   0.9545   0.0455       57
features.10                      152    -0.054335 1.675984e-07 9.578210e-08   0.8815   0.0376      137
features.15                      367    -0.052768 5.705249e-07 4.380591e-08   0.9040   0.0418      329
features.15                      591    -0.049492 2.497940e-07 3.972069e-08   0.7390   0.0271      329
features.2                        70    -0.049398 6.756144e-08 3.632830e-06   0.4940   0.0000       49
features.11                       30    -0.048986 2.041750e-07 2.916970e-07   0.6986   0.0232      169
features.9                        68    -0.048817 7.010811e-08 8.033251e-08   0.6213   0.0148      137
features.5                        34    -0.048555 4.849566e-08 5.876649e-07   0.7457   0.0289       73
features.4                         2    -0.048507 1.815077e-07 6.977672e-07   0.4851   0.0000       65
features.10                       82    -0.045665 8.307754e-08 9.057457e-08   0.7428   0.0318      137
features.12                      269    -0.045283 5.242305e-07 9.728384e-08   0.9792   0.0585      201
features.11                      324    -0.045217 3.192179e-07 3.275109e-07   0.8174   0.0406      169
features.8                       257    -0.044848 6.156327e-07 1.860666e-07   0.9939   0.0606      137
features.4                       126    -0.044776 4.059843e-07 7.827928e-07   0.7164   0.0299       65
features.9                       138    -0.044379 7.268083e-08 8.471378e-08   0.6302   0.0207      137
features.15                      916    -0.044068 1.291455e-07 3.073424e-08   0.5932   0.0169      329
features.11                      169    -0.042899 5.950356e-07 3.420433e-07   0.9507   0.0580      169
