================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 10
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 11:54:33
  remove_target  : 35385
  accum_removed  : 35419
  selected_channels : 155
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1793000
  model_sparsity : 18.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1        7    21.9%
  features.2                 96          4       48    50.0%
  features.3                144          3       46    31.9%
  features.4                144          3       43    29.9%
  features.5                192          7       73    38.0%
  features.6                192          8       70    36.5%
  features.7                192          4       69    35.9%
  features.8                384         10      151    39.3%
  features.9                384          8      139    36.2%
  features.10               384          7      119    31.0%
  features.11               384         12      138    35.9%
  features.12               576         12      175    30.4%
  features.13               576          3       83    14.4%
  features.14               576         17      141    24.5%
  features.15               960         32      373    38.9%
  features.16               960         12      136    14.2%
  features.17               960         12       77     8.0%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 26          1       3.8%
  features.2                 52          1       1.9%
  features.3                101          1       1.0%
  features.4                104          1       1.0%
  features.5                126          1       0.8%
  features.6                130          1       0.8%
  features.7                127          1       0.8%
  features.8                243          2       0.8%
  features.9                253          2       0.8%
  features.10               272          2       0.7%
  features.11               258          2       0.8%
  features.12               413          3       0.7%
  features.13               496          3       0.6%
  features.14               452          3       0.7%
  features.15               619          4       0.6%
  features.16               836          5       0.6%
  features.17               895          5       0.6%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 7채널 제거
  features.11: 12채널 제거
  features.12: 12채널 제거
  features.13: 3채널 제거
  features.14: 17채널 제거
  features.15: 32채널 제거
  features.16: 12채널 제거
  features.17: 12채널 제거
  features.2: 4채널 제거
  features.3: 3채널 제거
  features.4: 3채널 제거
  features.5: 7채널 제거
  features.6: 8채널 제거
  features.7: 4채널 제거
  features.8: 10채널 제거
  features.9: 8채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.2                        45    -0.070588 8.566612e-07 3.407892e-05   0.8824   0.0196       49
features.15                      737    -0.068285 1.136680e-06 1.512984e-07   0.9595   0.0307      329
features.5                       146    -0.060800 7.327593e-08 2.085355e-06   0.8240   0.0240       73
features.10                      274    -0.057565 2.386747e-07 1.871234e-07   0.8745   0.0332      137
features.6                        58    -0.057364 3.760690e-08 1.086419e-06   0.7132   0.0155       73
features.2                        83    -0.056863 1.291518e-06 3.561931e-05   0.9216   0.0392       49
features.2                        39    -0.054902 8.920341e-08 2.878790e-05   0.5490   0.0000       49
features.7                        63    -0.054762 1.120039e-06 1.413318e-06   0.6190   0.0079      105
features.15                      534    -0.054369 3.434967e-07 1.477612e-07   0.7913   0.0275      329
features.14                      115    -0.052772 7.552466e-07 1.579312e-07   0.5876   0.0067      265
features.15                      497    -0.051618 2.427522e-07 1.323600e-07   0.7055   0.0210      329
features.7                        51    -0.051587 1.586800e-06 1.639908e-06   0.7302   0.0238      105
features.6                       190    -0.051163 1.092037e-07 1.326988e-06   0.9302   0.0465       73
features.15                       24    -0.047087 2.160210e-07 1.414178e-07   0.6893   0.0243      329
features.9                       381    -0.046429 1.131380e-07 2.682267e-07   0.6429   0.0198      137
features.15                      549    -0.042880 1.039860e-07 1.148045e-07   0.4871   0.0065      329
features.8                       207    -0.041736 5.472161e-08 4.038597e-07   0.4917   0.0083      137
features.15                      668    -0.041262 1.248730e-07 1.266764e-07   0.5583   0.0162      329
features.16                      893    -0.039880 1.568314e-07 1.521552e-08   0.5605   0.0180      329
features.3                        27    -0.039000 2.318011e-08 5.097073e-06   0.5700   0.0200       57
features.9                       132    -0.038095 9.519240e-08 2.696900e-07   0.5952   0.0238      137
features.11                      198    -0.037354 3.027027e-07 1.055282e-06   0.6887   0.0350      169
features.11                       16    -0.035019 2.122553e-07 9.727935e-07   0.5603   0.0233      169
features.15                      527    -0.033819 2.578752e-07 1.634231e-07   0.7168   0.0421      329
features.12                       70    -0.032767 1.943664e-07 2.465423e-07   0.8956   0.0631      201
features.15                      335    -0.031230 1.785717e-06 1.905865e-07   0.9822   0.0744      329
features.9                       368    -0.030952 1.170578e-07 2.893808e-07   0.6667   0.0397      137
