================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 11
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 12:00:00
  remove_target  : 34499
  accum_removed  : 34553
  selected_channels : 145
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1758447
  model_sparsity : 19.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0        7    21.9%
  features.2                 96          3       51    53.1%
  features.3                144          1       47    32.6%
  features.4                144          5       48    33.3%
  features.5                192          7       80    41.7%
  features.6                192          5       75    39.1%
  features.7                192          4       73    38.0%
  features.8                384         10      161    41.9%
  features.9                384         11      150    39.1%
  features.10               384          8      127    33.1%
  features.11               384          9      147    38.3%
  features.12               576         12      187    32.5%
  features.13               576          3       86    14.9%
  features.14               576         11      152    26.4%
  features.15               960         30      403    42.0%
  features.16               960          8      144    15.0%
  features.17               960         18       95     9.9%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 25          1       4.0%
  features.2                 48          1       2.1%
  features.3                 98          1       1.0%
  features.4                101          1       1.0%
  features.5                119          1       0.8%
  features.6                122          1       0.8%
  features.7                123          1       0.8%
  features.8                233          2       0.9%
  features.9                245          2       0.8%
  features.10               265          2       0.8%
  features.11               246          2       0.8%
  features.12               401          3       0.7%
  features.13               493          3       0.6%
  features.14               435          3       0.7%
  features.15               587          3       0.5%
  features.16               824          5       0.6%
  features.17               883          5       0.6%

[ 블록별 제거 채널 수 ]
  features.10: 8채널 제거
  features.11: 9채널 제거
  features.12: 12채널 제거
  features.13: 3채널 제거
  features.14: 11채널 제거
  features.15: 30채널 제거
  features.16: 8채널 제거
  features.17: 18채널 제거
  features.2: 3채널 제거
  features.3: 1채널 제거
  features.4: 5채널 제거
  features.5: 7채널 제거
  features.6: 5채널 제거
  features.7: 4채널 제거
  features.8: 10채널 제거
  features.9: 11채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      832    -0.064334 2.182076e-07 1.066791e-07   0.6894   0.0051      329
features.15                      252    -0.060410 1.479308e-06 2.042638e-07   0.9727   0.0410      329
features.7                       129    -0.054918 1.557825e-06 1.883756e-06   0.6967   0.0164      105
features.15                      920    -0.054266 4.880736e-07 1.928014e-07   0.8345   0.0324      329
features.9                       274    -0.052869 5.268238e-07 3.705505e-07   0.9344   0.0451      137
features.3                       103    -0.046392 2.026012e-08 6.230372e-06   0.4639   0.0000       57
features.15                      719    -0.046246 8.104499e-07 2.106913e-07   0.9078   0.0495      329
features.8                       218    -0.046121 7.938280e-08 6.207860e-07   0.5776   0.0129      137
features.11                      175    -0.045306 1.963917e-07 1.162939e-06   0.4531   0.0000      169
features.11                      162    -0.044490 2.862164e-07 1.315919e-06   0.5918   0.0163      169
features.2                        32    -0.042553 1.162972e-07 4.164488e-05   0.6170   0.0213       49
features.14                      224    -0.042396 8.950232e-07 2.596020e-07   0.6313   0.0230      265
features.12                      213    -0.042250 1.315255e-07 2.739870e-07   0.8050   0.0425      201
features.8                         8    -0.040086 5.513878e-08 5.621034e-07   0.4397   0.0043      137
features.9                       127    -0.038525 3.215624e-07 3.784860e-07   0.8648   0.0533      137
features.15                      781    -0.037884 7.724600e-07 2.199532e-07   0.9010   0.0580      329
features.11                      363    -0.037551 1.953973e-07 1.270001e-06   0.4490   0.0082      169
features.15                       83    -0.037543 5.622537e-07 2.137917e-07   0.8515   0.0529      329
features.11                      246    -0.037143 4.146308e-07 1.552487e-06   0.7020   0.0367      169
features.5                       120    -0.036441 2.134167e-08 2.429091e-06   0.3644   0.0000       73
features.11                      370    -0.036327 2.079163e-07 1.294062e-06   0.4735   0.0122      169
features.14                      387    -0.035023 1.830180e-06 2.905894e-07   0.8687   0.0576      265
features.6                       191    -0.034711 2.683484e-08 1.564741e-06   0.5702   0.0248       73
features.5                        88    -0.033051 2.183226e-07 3.953316e-06   0.9407   0.0678       73
features.9                       297    -0.031557 7.621660e-08 3.324014e-07   0.5000   0.0205      137
features.11                      248    -0.029796 2.218604e-07 1.457795e-06   0.5184   0.0245      169
features.6                       179    -0.028926 2.779838e-07 1.943896e-06   0.9587   0.0744       73
