================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 19
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 12:43:59
  remove_target  : 28158
  accum_removed  : 28370
  selected_channels : 114
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1510990
  model_sparsity : 31.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       19    59.4%
  features.2                 96          2       69    71.9%
  features.3                144          2       66    45.8%
  features.4                144          2       73    50.7%
  features.5                192          3      107    55.7%
  features.6                192          2      111    57.8%
  features.7                192          4      111    57.8%
  features.8                384         10      215    56.0%
  features.9                384          7      210    54.7%
  features.10               384          4      193    50.3%
  features.11               384          5      214    55.7%
  features.12               576          7      248    43.1%
  features.13               576          3      114    19.8%
  features.14               576         13      272    47.2%
  features.15               960         17      575    59.9%
  features.16               960         20      243    25.3%
  features.17               960         12      218    22.7%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 14          1       7.1%
  features.2                 29          1       3.4%
  features.3                 80          1       1.2%
  features.4                 73          1       1.4%
  features.5                 88          1       1.1%
  features.6                 83          1       1.2%
  features.7                 85          1       1.2%
  features.8                179          1       0.6%
  features.9                181          1       0.6%
  features.10               195          1       0.5%
  features.11               175          1       0.6%
  features.12               335          2       0.6%
  features.13               465          3       0.6%
  features.14               317          2       0.6%
  features.15               402          3       0.7%
  features.16               737          4       0.5%
  features.17               754          4       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 4채널 제거
  features.11: 5채널 제거
  features.12: 7채널 제거
  features.13: 3채널 제거
  features.14: 13채널 제거
  features.15: 17채널 제거
  features.16: 20채널 제거
  features.17: 12채널 제거
  features.2: 2채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 2채널 제거
  features.7: 4채널 제거
  features.8: 10채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.7                       168    -0.075000 5.059345e-06 3.879851e-06   0.8571   0.0119      105
features.15                      129    -0.074564 5.323333e-07 3.617042e-07   0.8354   0.0100      329
features.7                        33    -0.067857 2.371985e-06 3.793132e-06   0.6786   0.0000      105
features.15                      309    -0.064339 3.684078e-07 3.640273e-07   0.7556   0.0125      329
features.14                      101    -0.063608 1.869195e-06 4.457824e-07   0.7500   0.0127      265
features.9                       253    -0.060000 3.087521e-07 5.866080e-07   0.8000   0.0222      137
features.14                      373    -0.057911 1.983146e-06 4.715745e-07   0.7785   0.0222      265
features.15                      336    -0.055112 1.081881e-06 4.353616e-07   0.9327   0.0424      329
features.1                        12    -0.053846 2.598899e-07 2.544088e-03   0.5385   0.0000       25
features.15                      174    -0.051122 2.873703e-07 4.045806e-07   0.7132   0.0224      329
features.15                      222    -0.050623 3.955730e-06 4.748184e-07   1.0000   0.0549      329
features.11                      193    -0.048276 2.982066e-07 2.678403e-06   0.5345   0.0057      169
features.10                      296    -0.047423 8.562832e-08 2.945964e-07   0.5670   0.0103      137
features.14                      208    -0.046203 1.073747e-06 4.360966e-07   0.5190   0.0063      265
features.5                        47    -0.045977 4.846128e-08 3.384838e-06   0.4598   0.0000       73
features.3                        89    -0.045570 6.329781e-08 1.381844e-05   0.6835   0.0253       57
features.11                      251    -0.045402 4.278050e-07 3.110664e-06   0.6609   0.0230      169
features.7                       176    -0.044048 2.325149e-06 4.343598e-06   0.6548   0.0238      105
features.2                        19    -0.042857 3.767915e-07 1.783926e-04   0.7500   0.0357       49
features.15                      576    -0.041147 6.192054e-07 4.617276e-07   0.8603   0.0499      329
features.13                      551    -0.039655 1.380309e-07 1.286132e-07   0.7651   0.0409      201
features.14                      151    -0.038924 2.339340e-06 5.178758e-07   0.8449   0.0506      265
features.8                       152    -0.038764 1.339876e-07 1.228967e-06   0.6404   0.0281      137
features.14                      164    -0.037975 1.422821e-06 4.745616e-07   0.6646   0.0316      265
features.14                      161    -0.037658 1.328268e-06 4.723981e-07   0.6044   0.0253      265
features.15                       29    -0.037406 1.112520e-07 2.967300e-07   0.3965   0.0025      329
features.15                      295    -0.036658 1.814549e-07 4.073745e-07   0.5910   0.0249      329
features.4                       104    -0.036111 4.069292e-07 5.208801e-06   0.3611   0.0000       65
features.15                      441    -0.032918 6.454581e-07 4.941957e-07   0.8678   0.0599      329
features.9                        22    -0.031667 8.619136e-08 5.535662e-07   0.4667   0.0167      137
features.12                      508    -0.031437 9.138754e-08 3.820590e-07   0.7186   0.0449      201
features.17                      875    -0.030544 1.319476e-07 5.387856e-09   0.4489   0.0159      489
features.10                      117    -0.030412 4.488279e-08 2.910088e-07   0.3505   0.0052      137
features.14                       32    -0.029430 3.576675e-06 5.556628e-07   0.9494   0.0728      265
features.17                      552    -0.028951 1.253692e-07 5.329243e-09   0.4210   0.0146      489
features.16                      223    -0.028668 3.598049e-07 4.601613e-08   0.6780   0.0435      329
features.8                       270    -0.028652 1.099502e-07 1.237294e-06   0.5899   0.0337      137
features.9                       236    -0.028333 1.131527e-07 6.375113e-07   0.5833   0.0333      137
features.8                        99    -0.028090 1.990930e-07 1.367864e-06   0.7865   0.0562      137
features.16                      113    -0.027446 1.950973e-07 3.415583e-08   0.4946   0.0245      329
features.8                       155    -0.026966 1.674594e-07 1.336489e-06   0.7247   0.0506      137
features.10                      229    -0.026804 2.987086e-07 3.929064e-07   0.8711   0.0670      137
features.16                      916    -0.026495 2.377481e-07 4.048827e-08   0.5462   0.0312      329
features.8                       254    -0.025843 1.541362e-07 1.295262e-06   0.6629   0.0449      137
features.16                      928    -0.025408 4.271533e-07 4.946975e-08   0.7432   0.0543      329
features.13                      374    -0.025000 6.601017e-08 1.228161e-07   0.5991   0.0388      201
features.16                      585    -0.025000 9.743128e-08 1.073284e-08   0.2989   0.0054      329
features.15                      381    -0.024439 1.188573e-07 3.963465e-07   0.4239   0.0200      329
features.8                       109    -0.024157 4.167200e-07 1.378380e-06   0.9494   0.0787      137
features.15                      837    -0.023940 1.332162e-06 5.208857e-07   0.9576   0.0798      329
features.15                      644    -0.021696 1.319096e-07 4.149286e-07   0.4863   0.0299      329
features.14                      289    -0.021203 1.779705e-06 5.364066e-07   0.7247   0.0570      265
features.4                        47    -0.020833 9.504561e-07 6.691592e-06   0.5833   0.0417       65
features.9                       145    -0.020000 4.474640e-07 6.821057e-07   0.8500   0.0722      137
features.8                       145    -0.017416 2.351923e-08 8.717591e-07   0.1742   0.0000      137
features.6                        73    -0.017073 1.698960e-08 2.793465e-06   0.2805   0.0122       73
features.16                      510    -0.015489 4.125426e-07 5.412158e-08   0.7296   0.0639      329
features.14                      492    -0.015190 5.714440e-07 4.362390e-07   0.2373   0.0095      265
features.8                       205    -0.015169 3.929798e-08 1.196065e-06   0.3034   0.0169      137
features.16                      253    -0.014674 5.554982e-07 5.637327e-08   0.8193   0.0747      329
features.16                      411    -0.014538 2.026712e-07 4.521645e-08   0.5000   0.0394      329
features.9                        34    -0.014444 6.541617e-08 6.151237e-07   0.3944   0.0278      137
features.16                      328    -0.013995 1.679623e-07 4.109170e-08   0.4457   0.0340      329
features.16                      648    -0.013995 1.281748e-07 3.554579e-08   0.3723   0.0258      329
features.12                       10    -0.013174 3.334357e-08 3.471913e-07   0.4281   0.0329      201
features.12                      219    -0.012874 3.080375e-07 4.660942e-07   0.9371   0.0898      201
features.17                      658    -0.012616 6.073798e-08 4.412138e-09   0.1859   0.0066      489
features.16                      399    -0.012500 5.988420e-07 5.920378e-08   0.8465   0.0802      329
features.16                      774    -0.012364 1.797442e-07 4.504965e-08   0.4660   0.0380      329
features.14                      330    -0.012342 1.329115e-06 5.231435e-07   0.6076   0.0538      265
features.15                      870    -0.012219 6.717551e-08 3.677956e-07   0.2569   0.0150      329
features.15                      690    -0.011721 1.293097e-07 4.330825e-07   0.4763   0.0399      329
features.15                      828    -0.011721 3.251537e-08 2.739999e-07   0.1172   0.0000      329
features.9                        63    -0.011667 2.354522e-08 4.440890e-07   0.1667   0.0056      137
features.17                      915    -0.011421 4.780926e-08 4.096886e-09   0.1381   0.0027      489
features.17                      168    -0.010890 9.113256e-08 5.804559e-09   0.2882   0.0199      489
features.9                       370    -0.010556 2.706695e-08 5.410155e-07   0.2056   0.0111      137
features.5                       184    -0.010345 5.290367e-08 4.887652e-06   0.5172   0.0460       73
features.16                      672    -0.010326 6.349170e-07 6.081800e-08   0.8614   0.0842      329
features.16                      575    -0.009783 7.889783e-08 2.280018e-08   0.2568   0.0177      329
features.17                      373    -0.009031 2.023734e-07 7.046466e-09   0.6042   0.0571      489
features.16                      318    -0.008967 3.849177e-07 5.501067e-08   0.7011   0.0679      329
features.14                      359    -0.008228 9.593864e-07 5.068684e-07   0.4810   0.0443      265
features.12                       98    -0.007784 3.049396e-08 3.512294e-07   0.4012   0.0359      201
features.3                       111    -0.007595 5.755100e-09 1.274842e-05   0.0759   0.0000       57
features.15                      877    -0.007481 3.277921e-08 3.154072e-07   0.1197   0.0050      329
features.11                       22    -0.007471 2.605652e-07 3.594935e-06   0.4885   0.0460      169
features.17                      738    -0.007304 1.735833e-07 6.868735e-09   0.5392   0.0518      489
features.15                      646    -0.007232 2.348533e-07 5.050106e-07   0.6559   0.0648      329
features.2                        47    -0.007143 6.462197e-09 1.461368e-04   0.0714   0.0000       49
features.7                       167    -0.007143 8.988892e-07 4.350409e-06   0.3929   0.0357      105
features.17                      655    -0.006640 2.976252e-08 2.957085e-09   0.0664   0.0000      489
features.17                      263    -0.006507 2.227973e-07 7.250243e-09   0.6388   0.0637      489
features.10                      238    -0.006186 7.521322e-08 3.742612e-07   0.5258   0.0515      137
features.8                       364    -0.006180 1.502361e-08 9.690712e-07   0.1124   0.0056      137
features.17                      493    -0.006109 4.148545e-08 4.311052e-09   0.1089   0.0053      489
features.17                      582    -0.006109 3.184128e-08 3.313381e-09   0.0730   0.0013      489
features.12                      316    -0.005988 1.556466e-08 2.939024e-07   0.2485   0.0210      201
features.16                      647    -0.005571 4.225046e-08 1.928013e-08   0.1535   0.0109      329
features.16                      355    -0.005435 2.608163e-07 5.207732e-08   0.5679   0.0571      329
features.12                      245    -0.005389 1.114813e-07 4.462391e-07   0.7814   0.0808      201
features.16                      208    -0.004755 9.459426e-08 3.747358e-08   0.2921   0.0272      329
features.5                       156    -0.004598 1.297453e-08 3.500905e-06   0.1494   0.0115       73
features.16                      426    -0.003804 3.822415e-07 5.608237e-08   0.6984   0.0734      329
features.6                       168    -0.003659 1.507001e-08 3.303496e-06   0.2561   0.0244       73
features.12                      244    -0.003593 1.582515e-08 3.154591e-07   0.2515   0.0240      201
features.16                      382    -0.003261 5.081531e-08 2.271831e-08   0.1793   0.0163      329
features.13                       78    -0.003233 5.526198e-08 1.501684e-07   0.5560   0.0582      201
features.11                      195    -0.002299 4.069301e-07 3.713463e-06   0.6437   0.0690      169
features.11                      293    -0.002299 1.310193e-08 2.594856e-06   0.0230   0.0000      169
features.8                       299    -0.002247 4.633712e-08 1.246612e-06   0.3764   0.0393      137
features.14                      467    -0.001899 1.750410e-07 4.359422e-07   0.0475   0.0032      265
features.14                      320    -0.001899 6.763302e-08 3.400942e-07   0.0190   0.0000      265
features.17                       67    -0.001726 2.685619e-08 4.247022e-09   0.0531   0.0040      489
