================================================================================
Channel Pruning Log
  dataset    : UTKFace
  impt_type  : 2
  seed       : 42
  iteration  : 20
  alpha      : 0.9000
  norm       : rank
  timestamp  : 2026-08-24 12:49:39
  remove_target  : 27449
  accum_removed  : 27457
  selected_channels : 113
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1483533
  model_sparsity : 32.3%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          1       20    62.5%
  features.2                 96          1       70    72.9%
  features.3                144          2       68    47.2%
  features.4                144          2       75    52.1%
  features.5                192          3      110    57.3%
  features.6                192          5      116    60.4%
  features.7                192          3      114    59.4%
  features.8                384          7      222    57.8%
  features.9                384          7      217    56.5%
  features.10               384         12      205    53.4%
  features.11               384          7      221    57.6%
  features.12               576          7      255    44.3%
  features.13               576          1      115    20.0%
  features.14               576         12      284    49.3%
  features.15               960         15      590    61.5%
  features.16               960         12      255    26.6%
  features.17               960         16      234    24.4%

[ 레이어별 보호 영역 (γ=0.0050) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 13          1       7.7%
  features.2                 27          1       3.7%
  features.3                 78          1       1.3%
  features.4                 71          1       1.4%
  features.5                 85          1       1.2%
  features.6                 81          1       1.2%
  features.7                 81          1       1.2%
  features.8                169          1       0.6%
  features.9                174          1       0.6%
  features.10               191          1       0.5%
  features.11               170          1       0.6%
  features.12               328          2       0.6%
  features.13               462          3       0.6%
  features.14               304          2       0.7%
  features.15               385          2       0.5%
  features.16               717          4       0.6%
  features.17               742          4       0.5%

[ 블록별 제거 채널 수 ]
  features.1: 1채널 제거
  features.10: 12채널 제거
  features.11: 7채널 제거
  features.12: 7채널 제거
  features.13: 1채널 제거
  features.14: 12채널 제거
  features.15: 15채널 제거
  features.16: 12채널 제거
  features.17: 16채널 제거
  features.2: 1채널 제거
  features.3: 2채널 제거
  features.4: 2채널 제거
  features.5: 3채널 제거
  features.6: 5채널 제거
  features.7: 3채널 제거
  features.8: 7채널 제거
  features.9: 7채널 제거

[ 선택된 채널 상세 ]
  (phi/perf: raw, phi_n/perf_n: 정규화 후 값 — score = α·perf_n − (1−α)·phi_n)
block                             ch        score          phi         perf    phi_n   perf_n  weights
----------------------------------------------------------------------------------------------------
features.15                      488    -0.083854 1.180103e-06 4.180359e-07   0.9323   0.0104      329
features.17                      530    -0.063563 2.817705e-07 5.564750e-09   0.6721   0.0040      489
features.1                        30    -0.058333 4.050426e-07 5.463522e-03   0.5833   0.0000       25
features.6                       132    -0.053750 2.700741e-07 4.869026e-06   0.8750   0.0375       73
features.3                         5    -0.053247 5.733541e-08 1.648259e-05   0.5325   0.0000       57
features.5                       162    -0.052381 2.060788e-07 6.049339e-06   0.8452   0.0357       73
features.12                      444    -0.047401 1.245462e-06 5.019054e-07   0.9969   0.0581      201
features.7                        98    -0.045000 1.229858e-06 4.618486e-06   0.4500   0.0000      105
features.15                      370    -0.044010 1.748489e-07 4.033931e-07   0.5104   0.0078      329
features.11                      178    -0.042604 3.471143e-07 3.512494e-06   0.5325   0.0118      169
features.14                      223    -0.042574 1.388398e-06 5.713619e-07   0.5446   0.0132      265
features.15                      944    -0.041927 1.326251e-07 1.407504e-07   0.4193   0.0000      329
features.12                      401    -0.041896 8.803573e-08 4.105724e-07   0.6391   0.0245      201
features.8                       293    -0.041667 2.137656e-07 1.629671e-06   0.7381   0.0357      137
features.14                      187    -0.041584 1.560494e-06 6.047447e-07   0.5941   0.0198      265
features.5                        50    -0.039286 5.455429e-08 5.192946e-06   0.3929   0.0000       73
features.15                      915    -0.038542 4.808517e-07 5.992988e-07   0.8073   0.0469      329
features.4                        83    -0.037143 4.324345e-07 6.226938e-06   0.3714   0.0000       65
features.16                      243    -0.036313 6.403135e-07 6.204933e-08   0.8282   0.0517      329
features.14                      375    -0.036304 3.050796e-06 6.741393e-07   0.8680   0.0561      265
features.11                      221    -0.035503 4.873034e-07 4.053385e-06   0.6213   0.0296      169
features.11                      284    -0.035503 2.029316e-07 3.294835e-06   0.3550   0.0000      169
features.7                       105    -0.033750 2.514228e-06 5.506708e-06   0.6750   0.0375      105
features.9                       249    -0.033526 9.149493e-08 6.267638e-07   0.4393   0.0116      137
features.10                      312    -0.033158 1.156624e-07 4.127193e-07   0.5684   0.0263      137
features.11                       51    -0.031953 5.856853e-07 4.061321e-06   0.6923   0.0414      169
features.10                        7    -0.031579 1.335770e-07 4.127270e-07   0.6000   0.0316      137
